"title","slug","short_description","long_description","category","provider","source_url","licence","update_frequency","format","record_count","date_coverage","geographic_coverage","access_method","schema_fields","sample_rows","tags","access_type","priority","notes"
"Companies House Free Company Data Product","companies-house-free-company-data","Monthly snapshot of basic data for all live UK companies including registration, status, and SIC codes.","Monthly bulk CSV snapshot of all active companies on the UK register, including registered address, company type, status, SIC codes, and key dates. Updated within 5 working days of month end. Contains approximately 5 million active companies split across multiple ZIP files. Widely used for business intelligence, compliance screening, and market analysis. Does not include dissolved companies or detailed officer/shareholder data.","Corporate Registries","Companies House","https://download.companieshouse.gov.uk/en_output.html","Open Government Licence v3.0","Monthly","CSV, ZIP","~5 million companies","Single monthly snapshot updated each month end","United Kingdom","Free bulk download","CompanyName|string|Registered company name; CompanyNumber|string|Unique 8-digit company identifier; RegAddress.AddressLine1|string|First line of registered address; RegAddress.PostCode|string|Postcode of registered office; CompanyCategory|string|Legal type e.g. Private Limited Company; CompanyStatus|string|Current status e.g. Active/Liquidation; IncorporationDate|date|Date company was incorporated DD/MM/YYYY; SICCode.SicText_1|string|Primary SIC code and description","ANZON LIMITED,00001548,CALDER HOUSE,HG1 2UD,Private Limited Company,Active,12/10/1898,47110 - Retail sale in non-specialised stores; AIREDALE ALLOYS LIMITED,00001567,INGS ROAD,BD21 4DT,Private Limited Company,Active,01/01/1896,24200 - Manufacture of tubes pipes hollow profiles; BRITISH MUSEUM,00104721,GREAT RUSSELL STREET,WC1B 3DG,PRI/LBG/NSC (Private, Limited by guarantee, no share capital),Active,01/01/1963,91020 - Museum activities","companies, register, corporate, UK, incorporation, SIC codes, business, addresses, compliance","both","High","~55 fields total. Field spec PDF at https://resources.companieshouse.gov.uk/toolsToHelp/pdf/freeDataProductDataset.pdf. Companion API provides real-time officer/filing data."
"HM Land Registry Price Paid Data","hmlr-price-paid-data","All residential property sales in England and Wales from January 1995 to present with price and full address.","Complete record of every residential property transaction registered with HMLR since January 1995, covering over 28 million sales. Includes sale price, completion date, full address, property type, freehold/leasehold tenure, and whether new build. Updated monthly. Approximately 1 million new transactions added per year. Does not cover Scotland, Northern Ireland, or commercial property. Foundational for housing market analysis, automated valuations, and economic research.","Real Estate","HM Land Registry","https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads","Open Government Licence v3.0","Monthly","CSV, TXT","~28 million transactions","January 1995 to present","England and Wales","Free bulk download — full file 5.3 GB CSV or annual splits","transaction_unique_identifier|string|Auto-generated unique reference; price|integer|Sale price GBP; date_of_transfer|date|Completion date YYYY-MM-DD; postcode|string|Property postcode; property_type|string|D=Detached S=Semi T=Terraced F=Flat O=Other; old_new|string|Y=new build N=established; duration|string|F=Freehold L=Leasehold; street|string|Street name; town_city|string|Town or city; county|string|County name","{B40CF7A6-5099-4153-B545-45F16BB00B7D},95000,1995-06-30,BS5 8JB,T,N,L,8,WYKEN ROAD,BRISTOL,CITY OF BRISTOL,A; {A8B6E5E2-4C68-41C2-9A9D-0B2E7D24F6D3},375000,2010-03-15,SW1A 2AA,F,N,L,45,VICTORIA STREET,LONDON,GREATER LONDON,A; {C7D3F1B9-8E2A-4B6C-A1D5-9F0E8C7D2B4A},620000,2023-07-21,W1K 4HR,F,N,L,12,MAYFAIR PLACE,LONDON,GREATER LONDON,A","property, housing, real estate, sales, prices, land registry, residential, England, Wales, transactions","both","High","No column headers in raw file by default. Full file 5.3 GB. Linked data version via SPARQL at landregistry.data.gov.uk. Category Type B includes repossessions and buy-to-lets."
"Charity Commission Register of Charities","charity-commission-register","Full register of all charities in England and Wales including income, classification, trustees, and registration dates.","Daily extract of all registered and recently removed charities in England and Wales, covering approximately 170,000 organisations across 15 linked tables. Includes registration history, trustee details, area of operation, classification by theme and beneficiary, and annual financials. Income and expenditure data available for charities with income over £500,000. Updated daily. Widely used for due diligence, grant-making, and civil society research.","Corporate Registries","Charity Commission for England and Wales","https://register-of-charities.charitycommission.gov.uk/en/register/full-register-download","Open Government Licence v3.0","Daily","JSON, TSV","~170,000 charities","All currently and recently registered charities; historical from founding","England and Wales","Free bulk download","regno|integer|Unique charity registration number; subno|integer|Subsidiary number; name|string|Registered charity name; orgtype|string|Organisation type code; income|integer|Latest annual income GBP; expenditure|integer|Latest annual expenditure GBP; registration_date|date|Date first registered; removal_date|date|Date removed from register if applicable","234567,0,ST JOHN AMBULANCE,R,17500000,16800000,1963-06-14,; 1089464,0,OXFAM,R,435000000,418000000,2003-02-07,; 1128479,0,BRITISH RED CROSS SOCIETY,R,310000000,298000000,2009-04-01,","charities, nonprofits, third sector, England, Wales, income, trustees, registration, voluntary sector","both","High","15 linked relational tables joined on regno+subno. Detailed financials only for income above £500k. Format changed from BCP to JSON/TSV in 2021."
"Ofsted State-funded School Inspections and Outcomes","ofsted-school-inspections-outcomes","Monthly dataset of all Ofsted inspection outcomes for state-funded schools in England with judgements across key areas.","Monthly management information dataset covering all Ofsted inspection outcomes for approximately 22,000 state-funded schools in England including primary, secondary, special schools, and alternative provision. Contains inspection dates, overall effectiveness judgements on a 1-4 scale, and sub-judgements for quality of education, behaviour, personal development, and leadership. Covers September 2005 to present. Key resource for local authority benchmarking and school improvement planning.","Education","Office for Standards in Education Children's Services and Skills (Ofsted)","https://www.gov.uk/government/statistical-data-sets/monthly-management-information-ofsteds-school-inspections-outcomes","Open Government Licence v3.0","Monthly","CSV, ODS","~22,000 schools","September 2005 to present","England","Free bulk download","URN|string|Unique Reference Number; EstablishmentName|string|School name; OverallEffectiveness|integer|Overall Ofsted judgement 1-4; QualityOfEducation|integer|Quality of education sub-judgement; LeadershipAndManagement|integer|Leadership sub-judgement; InspectionDate|date|Date of most recent inspection; SchoolType|string|Type of school; Postcode|string|School postcode","100000,Riverside Primary School,2,2,2,15/11/2022,Community School,SW1A 2AA; 100001,St Mary Catholic Academy,1,1,1,10/03/2023,Academy Converter,M1 2AB; 100002,Hillside Secondary School,3,3,3,07/09/2023,Foundation School,LS1 4DY","schools, Ofsted, inspection, education, England, outstanding, primary, secondary, academy, judgement","api","High","Separate datasets for early years, further education, and children's social care. URN links to GIAS register. Five-Year Ofsted Inspection Data also published annually."
"ONS Mid-Year Population Estimates England and Wales","ons-mid-year-population-estimates","Annual mid-year population estimates for England and Wales by local authority, single year of age, and sex from 1971.","Annual official population estimates for England and Wales published by ONS, covering all local authorities and London boroughs by single year of age and sex. Includes components of change: births, deaths, and internal and international migration. Available from 1971 to present. Published annually approximately 18 months after the reference year. Used by NHS, local authorities, and central government for resource allocation and demographic analysis.","Demographics","Office for National Statistics","https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales","Open Government Licence v3.0","Annual","Excel, CSV","~300,000 rows per annual release","1971 to present","England and Wales","Free bulk download; Free API via developer.ons.gov.uk","geography_code|string|ONS geography code e.g. E09000001; geography_name|string|Local authority name; year|integer|Reference mid-year; age|integer|Single year of age 0-90+; sex|string|Male/Female/Persons; population|integer|Estimated mid-year population count","E09000001,City of London,2023,25,Male,1450; E09000002,Barking and Dagenham,2023,0,Persons,4234; E92000001,England,2023,45,Female,2143800","population, demographics, local authority, London, age, sex, migration, births, deaths, England, Wales","both","High","ONS API at developer.ons.gov.uk. 2021 Census-based estimates rebased from 2022 release. Ethnicity breakdowns published separately."
"UK House Price Index","uk-house-price-index","Monthly house price index for 441 UK areas from 1995 broken down by property type and buyer status.","Official UK HPI published jointly by HMLR, ONS, Registers of Scotland, and NISRA. Covers average prices and index values (base 100 = January 2023) for 441 geographic areas including regions, counties, local authorities, and London boroughs. Includes breakdowns by property type and buyer type (first-time buyer, existing owner). Published monthly with approximately 2-month lag.","Real Estate","HM Land Registry","https://landregistry.data.gov.uk/app/ukhpi/","Open Government Licence v3.0","Monthly","CSV, JSON-LD, Turtle, SPARQL","~441 areas x 360+ monthly periods","January 1995 to present (England and Wales); 2004 Scotland; 2005 Northern Ireland","United Kingdom","Free bulk download; Free API (SPARQL endpoint)","refArea|string|ONS geography code; refPeriod|date|Reference month YYYY-MM-DD; averagePrice|decimal|Mean house price GBP; index|decimal|Index value; percentageChange|decimal|Monthly % change; percentageAnnualChange|decimal|Annual % change; salesVolume|integer|Number of sales in period","E09000019,2024-01-01,512000,520.5,0.8,3.2,1250; E09000013,2024-01-01,695000,598.2,1.1,4.5,890; K02000001,2024-01-01,285000,289.4,0.4,2.1,65400","house prices, property, index, housing market, UK, London, mortgage, real estate, first time buyer","both","High","SPARQL endpoint at landregistry.data.gov.uk/landregistry/query. Sales volume has 3-4 month additional lag. Re-referenced to January 2023 from February 2025."
"FCA Financial Services Register","fca-financial-services-register","Live register of all FCA-authorised firms and individuals in UK financial services including permissions and regulatory status.","The Financial Services Register is the definitive record of all firms and individuals authorised or registered by the FCA, covering approximately 50,000 authorised firms and 1.5 million approved individuals. Includes firm permissions, trading names, appointed representatives, and current regulatory status. Updated in real-time. Public API free with registration; bulk extract requires paid subscription via Register Extract Service (RES).","Financial Regulation","Financial Conduct Authority","https://register.fca.org.uk/s/","UNKNOWN — check publisher terms (public search free; bulk extract via commercial Register Extract Service)","Real-time","REST API; CSV bulk extract via paid RES","~50,000 authorised firms; ~1.5 million approved individuals","Current register; real-time updates","United Kingdom","Free API — registration required; Paid subscription for bulk extract","firm_reference_number|string|Unique FCA firm reference number; firm_name|string|Registered firm name; status|string|Authorised/Registered/Appointed Representative; permissions|string|List of regulated activities; registered_address|string|Principal place of business; date_authorised|date|Date of FCA authorisation; firm_type|string|Type e.g. Bank/Insurer/IFA","122702,BARCLAYS BANK PLC,Authorised,Accepting deposits; Issuing electronic money,1 Churchill Place London E14 5HP,1997-01-01,Bank; 106054,AVIVA INSURANCE LIMITED,Authorised,Effecting contracts of insurance,St Helen's 1 Undershaft London EC3P 3DQ,1994-09-01,Insurer","FCA, financial services, authorised firms, regulated, compliance, banking, investment, insurance, permissions","both","High","API rate limited to 50 req/10s. RES bulk extract delivers 17 linked files. RES handbook at https://www.fca.org.uk/publication/documents/register-extract-handbook.pdf. Commercial licence required for RES."
"Met Office HadUK-Grid Gridded Climate Observations","met-office-haduk-grid","1km gridded UK climate observations from 1836 covering temperature, rainfall, sunshine, and frost days.","HadUK-Grid is the Met Office's official gridded dataset of UK climate observations, interpolated from the surface station network onto a 1km grid. Available at 1km, 5km, 12km, and 25km resolutions with daily, monthly, seasonal, and annual aggregations. Variables include max/min/mean temperature, rainfall, sunshine, snow, and frost days. Some variables from 1836. Accessed via CEDA Archive. Used for climate trend analysis and environmental modelling.","Environment","Met Office","https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid","Open Government Licence v3.0","Annual (monthly updates for recent years)","NetCDF","~320,000 grid cells x multiple variables x 180+ years","1836 to present (varies by variable)","United Kingdom","Free bulk download — free registration required via CEDA Archive (ceda.ac.uk)","longitude|float|Longitude of grid cell centre; latitude|float|Latitude of grid cell centre; time|date|Observation date; tas|float|Mean air temperature degrees C; tasmax|float|Max temperature degrees C; tasmin|float|Min temperature degrees C; rainfall|float|Total rainfall mm; sun|float|Sunshine hours","51.5,-0.1,2023-06-01,17.4,22.1,12.8,35.2,198.5; 51.4,-0.2,2023-06-01,17.2,21.9,12.5,38.1,201.0; 53.8,-1.5,2023-06-01,14.8,19.2,10.4,52.3,156.2","climate, weather, temperature, rainfall, sunshine, UK, environment, meteorology, grid, historical","snowflake","Medium","NetCDF format requires specialist tooling (Python xarray). CEDA free registration required. Current version HadUK-Grid v1.2."
"London Fire Brigade Incident Records","lfb-incident-records","Every incident attended by London Fire Brigade since January 2009 with location, type, and response details.","Comprehensive record of every incident attended by the London Fire Brigade since 1 January 2009. Covers fire incidents, special services (road traffic collisions, flooding, animal rescues), and false alarms. Each record includes incident date, type, borough, ward, postcode, property type, number of casualties, and pumping appliances deployed. Updated monthly. Over 2 million records to date. Essential for fire risk analysis, urban planning, and emergency service benchmarking.","Public Safety","London Fire Brigade","https://data.london.gov.uk/dataset/london-fire-brigade-incident-records","Open Government Licence v3.0","Monthly","CSV, Excel","~2 million incidents since 2009","January 2009 to present","Greater London","Free bulk download","IncidentNumber|string|Unique incident identifier; DateOfCall|date|Date incident reported; CalYear|integer|Calendar year; HourOfCall|integer|Hour of call 0-23; IncidentGroup|string|High-level category e.g. Fire/Special Service/False Alarm; StopCodeDescription|string|Detailed incident type; Borough|string|London borough; Ward|string|Electoral ward; Postcode|string|Incident postcode; NumPumpsAttending|integer|Number of fire engines dispatched","000001-2023,01/01/2023,2023,2,Special Service,Lift Release,Tower Hamlets,Bethnal Green,E2 6PQ,1; 000002-2023,01/01/2023,2023,3,False Alarm,Automatic False Alarm,Westminster,St James's,SW1A 2AA,1; 000003-2023,01/01/2023,2023,4,Fire,Primary Fire,Hackney,Hackney Central,E8 1LA,2","fire, incidents, London, emergency response, LFB, safety, borough, ward, rescue","both","High","Separate dataset for mobilisation records (individual appliance movements). 523 MB total download. Dashboard available on London Datastore for ward/postcode drill-down."
"London Fire Brigade Mobilisation Records","lfb-mobilisation-records","Every fire engine deployed to an LFB incident since 2009 including station, response times, and appliance details.","Detailed record of every fire engine (pumping appliance) sent to an LFB incident since January 2009. Includes the appliance type, station it was deployed from, turnout time, arrival time, and whether it was the first pump attending. Links to incident records via IncidentNumber. Enables analysis of response time compliance, station performance, and resource deployment patterns. Over 5 million mobilisation records.","Public Safety","London Fire Brigade","https://data.london.gov.uk/dataset/london-fire-brigade-mobilisation-records","Open Government Licence v3.0","Monthly","CSV","~5 million mobilisation records","January 2009 to present","Greater London","Free bulk download","IncidentNumber|string|Links to incident records; CalYear|integer|Calendar year; DateAndTimeMobilised|datetime|When appliance was mobilised; DateAndTimeArrived|datetime|When appliance arrived at scene; TurnoutTime|integer|Seconds from mobilisation to leaving station; TravelTime|integer|Seconds from leaving station to arriving; Resource_Code|string|Appliance identifier; DeployedFromStation_Name|string|Station name","000001-2023,2023,01/01/2023 02:14:00,01/01/2023 02:19:00,45,285,C211,Bethnal Green; 000002-2023,2023,01/01/2023 03:22:00,01/01/2023 03:27:00,52,310,W111,Paddington","fire brigade, response times, mobilisation, stations, LFB, London, emergency services","both","Medium","Links to LFB Incident Records via IncidentNumber. Total download ~433 MB. Useful for response time benchmarking against national standards."
