title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Survey of Londoners 2018-19,e119j,"The Mayor of London has placed a high priority on improving social integration, equality, diversity and inclusion, economic fairness and food security...","The Mayor of London has placed a high priority on improving social integration, equality, diversity and inclusion, economic fairness and food security across the city. Recognising the need for better evidence in these areas to ensure that policy and programmes have maximum impact, the GLA conducted the Survey of Londoners in 2018-19, an online and paper self-completion survey of adults aged 16 and over in London. The Survey, which received responses from 6,601 Londoners, aims to fill evidence gaps and help improve analysis and policy making in these areas. It uses questions that allow for comparison with existing London and national data, and has a larger sample size than regular opinion polling. This offers a more accurate picture of society in London and allows for detailed and robust an",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e119j,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,clevercities,snowflake,Medium,"Topics: art-and-culture, demographics, employment-and-skills, health, housing, income-poverty-welfare, sport, young-people. Last updated: 2022-09-05."
Taking Part Survey 2019-20 - London summary,29x7q,The Taking Part survey is a continuous face to face household survey of adults aged 16 and over in England (and children aged 5 to 15 years old). The survey...,"The Taking Part survey is a continuous face to face household survey of adults aged 16 and over in England (and children aged 5 to 15 years old). The survey provides evidence for the Department for Digital, Culture, Media & Sport (DCMS) for measuring engagement with the cultural sectors in England. This report summarises the results from the 2019/20 adult survey and provides comparisons between London and the rest of England. It should be noted that all of the fieldwork took place prior to the COVID-19 pandemic. Fieldwork was terminated before its intended end date due to the COVID-19 coronavirus pandemic. DCMS do not expect that either the pandemic or reduced fieldwork has affected the accuracy of the estimates. Further details of the breakdowns presented in this report can be accessed th",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/29x7q,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"survey, culture, social integration",snowflake,Medium,Topics: art-and-culture. Last updated: 2021-08-03.
Researching Community Collecting During COVID-19   ,2ox4d,The Community Engagement team at the Greater London Authority (GLA) commissioned this report to identify and examine past and present projects which involve...,"The Community Engagement team at the Greater London Authority (GLA) commissioned this report to identify and examine past and present projects which involve collecting Londoners experiences of COVID-19 through a variety of creative and non-traditional materials. The purpose of the report is to: provide an overview of projects and activities which record Londoners COVID-19 stories and experiences. outline who is responsible for these projects and activities (individuals, museums, community groups, charities, community interest groups, non-profits, other institutions and organisations). analyse the voices of individuals/groups/communities targeted in the projects and activities. highlight obvious gaps in the collected data which can inform future programmes geographically map out projects an",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2ox4d,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, covid-19, education, environment, health, housing, income-poverty-welfare, sport, young-people. Last updated: 2021-07-13."
Life in Generation Z ,ex4gl,"This is a survey of over 3,000 young Londoners that was completed in June 2020 in partnership with the Museum of London. This focuses on the key issues and...","This is a survey of over 3,000 young Londoners that was completed in June 2020 in partnership with the Museum of London. This focuses on the key issues and concerns affecting young people aged between 16-24 and reviews the challenges they face and what needs to happen to help young people thrive across the capital. This dataset is being reviewed. The data will be made available again soon.",Other,Museum of London and Partnership for Young London ,https://data.london.gov.uk/dataset/ex4gl,Open Data Commons Attribution License — http://www.opendefinition.org/licenses/odc-by,One off,UNKNOWN,UNKNOWN,UNKNOWN,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, business-and-economy, championing-london, covid-19, crime-and-community-safety, demographics, education, employment-and-skills, health, income-poverty-welfare, young-people. Last updated: 2020-10-27."
Tourism estimates for London in 2019 and forecasts for 2020,2ryyd,London’s Tourism Direct GVA (TDGVA) in 2019 is estimated by taking London’s share of the latest ONS regional TDGVA publication (2013) and multiplying it...,"London’s Tourism Direct GVA (TDGVA) in 2019 is estimated by taking London’s share of the latest ONS regional TDGVA publication (2013) and multiplying it with the latest TDGVA estimate (2017) for the UK. The resulting figure is then multiplied with a ratio of London spend data from VisitBritain’s International Passenger Surveys from 2019 and 2017. This approach assumes 1) that London’s share of UK TDGVA has remained constant from 2013 to 2017 and 2) a constant relation between spend and GVA from 2017 to 2019. The annual VisitBritain forecast for the volume and value of inbound tourism to the UK is issued in December each year. They have however updated this to reflect the impact of COVID-19 on inbound tourism to the UK, as well as an estimate of impact on domestic tourism within England. Th",Other,London & Partners and Visit Britain,https://data.london.gov.uk/dataset/2ryyd,UNKNOWN,One off,"PDF, SLIDESHOW",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, business-and-economy, championing-london, covid-19, transparency. Last updated: 2020-10-21."
Number of International Visitors to London,20opj,Visit Britain publish data relating to international visitors to the UK. They produce the data in two formats - individual spreadsheets for each region that...,"Visit Britain publish data relating to international visitors to the UK. They produce the data in two formats - individual spreadsheets for each region that are updated annually, and a single spreadsheet for all regions, containing less detail but updated quarterly. Data shows London totals for nights, visits, and spend. Data broken down by age, purpose, duration, mode and country. This data is also available from Visit Britain website, including the latest quarterly data for other regions. All data taken from the International Passenger Survey (IPS). Some additional data on domestic tourism can be found on the Visit Britain website, and Visit England both overnight tourism and Day visits pages. Data on accomodation occupancy levels is also available from Visit England . An overview of all",Other,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/20opj,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Quarterly,"CSV, SPREADSHEET",UNKNOWN,2002-01 to 2020-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"ips, international, visitors, tourists, overseas, tourism, visits, spend, trips, holiday, nto",snowflake,Medium,"Topics: art-and-culture, business-and-economy, championing-london, transport. Last updated: 2020-09-01."
Approved Food Establishments ,2zwwy,"A full list of establishments approved to handle, prepare or produce products of animal origin for which requirements are laid down in Regulation (EC) No...","A full list of establishments approved to handle, prepare or produce products of animal origin for which requirements are laid down in Regulation (EC) No 853/2004.",Other,Food Standards Agency,https://data.london.gov.uk/dataset/2zwwy,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: art-and-culture. Last updated: 2020-06-01.
Percentage of Londoners engaged/accessing culture/cultural events by socio-economic group / borough,2y5jq,,UNKNOWN,Other,GOV.UK,https://data.london.gov.uk/dataset/2y5jq,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,2008-01 to 2019-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, business-and-economy. Last updated: 2019-11-28."
Food Hygiene Ratings Scheme,2oggd,"Food hygiene rating or inspection results given to a businesses and date of inspection or visit by the local authority. Businesses include restaurants,...","Food hygiene rating or inspection results given to a businesses and date of inspection or visit by the local authority. Businesses include restaurants, pubs, cafés, takeaways, hotels and other places consumers eat, as well as in supermarkets and other food shops. The data is held on behalf of local authorities participating in the FSA's national food hygiene rating schemes.",Other,Food Standards Agency,https://data.london.gov.uk/dataset/2oggd,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Realtime,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: art-and-culture. Last updated: 2019-11-18.
"The 2014 Internet User Classification (IUC), LSOA",v8o11,This bespoke geodemographic classifi cation maps the geography of digital consumers within England by combining over seventy measures selected from survey...,"This bespoke geodemographic classifi cation maps the geography of digital consumers within England by combining over seventy measures selected from survey and lifestyle data, alongside census and infrastructure performance statistics. This project forms an output of an ESRC funded PhD and research project, both undertaken at the University of Liverpool. This project aims to assist the pro ling of customer databases, targeted marketing applications, policy delivery and strategic planning, where Internet use and engagement characteristics of a target population are of high importance. The Internet User Classi cation (IUC) has a two-tier structure comprising four Super-groups and eleven Groups that are used to classify all Lower Layer Super Output areas in England. Classication groups: Superg",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8o11,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,2014-01 to 2014-12,Lower Super Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"technology, Social networking, email, access, broadband, mobile, smartphones, internet, tablet, portable, computer, Information, laptop, borough-economic",snowflake,Medium,"Topics: art-and-culture, employment-and-skills. Last updated: 2019-10-17."
