title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Number of new FDI projects secured in London (businesses and jobs),2kol8,,UNKNOWN,Other,fDi Markets,https://data.london.gov.uk/dataset/2kol8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2008-01 to 2018-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: business-and-economy. Last updated: 2019-11-28.
Number of LLW employers by sector,exy0l,"Number of employers that have joined the London Living Wage Programme in London. The London Living Wage is an hourly rate of pay, currently set at £10.55,...","Number of employers that have joined the London Living Wage Programme in London. The London Living Wage is an hourly rate of pay, currently set at £10.55, that is calculated independently to reflect the high cost of living in the capital, giving a worker in London and their family enough to afford the essentials and to save.",Other,Living wage foundation,https://data.london.gov.uk/dataset/exy0l,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: business-and-economy. Last updated: 2019-11-28.
Temporary job rate in London,2gy1q,The temporary job rate is considered a measure of job stability and is calculated as the proportion of temporary employee jobs out of the total employee...,The temporary job rate is considered a measure of job stability and is calculated as the proportion of temporary employee jobs out of the total employee jobs in the capital.,Other,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2gy1q,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2008-01 to 2019-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: business-and-economy. Last updated: 2019-11-28.
City Tools: London,2knyx,This dataset covers the various technologies used across London boroughs to deliver their services and back office operations. The data includes information...,"This dataset covers the various technologies used across London boroughs to deliver their services and back office operations. The data includes information on 809 IT systems and their respective contracts and suppliers. The data has been visualised in the City Tools: London dashboard and key insights are covered in the accompanying report . This data is provided and maintained by the London Office of Technology and Innovation (LOTI) . The data has been prepared to the best of our knowledge, but LOTI accepts no liabilities caused by errors or omissions. The following notes define some of the key terms used in the dataset. Borough refers to a London local authority. AfC refers to Achieving for Children , a not-for-profit social enterprise set up by the boroughs of Kingston and Richmond, to ",Other,LOTI,https://data.london.gov.uk/dataset/2knyx,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"CSV, HTML",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"LOTI, London Office of Technology and Innovation, Bloomberg Associates",snowflake,Medium,"Topics: business-and-economy, transparency. Last updated: 2019-11-25."
Benefit Cap in London,e11xd,"More than 26,500 London households have had their total benefit payment capped since the benefit cap was introduced in April 2013. Nearly half (45 per cent)...","More than 26,500 London households have had their total benefit payment capped since the benefit cap was introduced in April 2013. Nearly half (45 per cent) of all households in Great Britain that have received reduced amounts because of the cap on the total payable, up to February 2015, were in London. Nearly 90 per cent of households with one or two children whose payments have been capped lived in London, whereas only a few households of this size in other regions could have received payments over the cap limit.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e11xd,Open Data Commons Attribution License — http://www.opendefinition.org/licenses/odc-by,Unknown,"PDF, SPREADSHEET",UNKNOWN,2013-04 to 2015-02,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,borough-economic,snowflake,Medium,"Topics: business-and-economy, employment-and-skills. Last updated: 2019-10-16."
Differences in Employment by Gender in London (Report),e7xpm,This report uses Census data as well as other sources to give an overview of the differences in employment and economic activity between males and females...,"This report uses Census data as well as other sources to give an overview of the differences in employment and economic activity between males and females in London, looking in particular detail at: What kinds of jobs men and women tend to have Age variation The effect of having children Cultural variations",Other,Census Information Scheme,https://data.london.gov.uk/dataset/e7xpm,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"economic, activity, job, men, sex, workforce, children, women, borough-economic",snowflake,Medium,"Topics: business-and-economy, demographics, employment-and-skills. Last updated: 2019-10-16."
The Economics of London's Housing Market,2r4zo,"Through reading this publication you will: • gain an understanding of how house prices are set in economics terms, how they are measured, and why the cost...","Through reading this publication you will: • gain an understanding of how house prices are set in economics terms, how they are measured, and why the cost of housing matters for London’s economy and its residents • see whether incomes and earnings in London have kept pace with the costs of home ownership in London, and see how affordability may be affected by future changes in interest rates • find out about the drivers of demand for residential property in London, and how the supply of homes has responded to changing conditions",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r4zo,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"HTML, SPREADSHEET",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"GLA Economics, housing, house prices, economy, borough-economic",snowflake,Medium,"Topics: business-and-economy, housing. Last updated: 2019-10-16."
London's Zero Carbon Energy Resource - Secondary Heat,2r8x4,These datasets accompany the London Secondary Heat Study (2013) and provides an understanding of the technical potential (available heat) and deployment...,These datasets accompany the London Secondary Heat Study (2013) and provides an understanding of the technical potential (available heat) and deployment potential (delivered heat) of eleven key secondary heat sources in London. The accompanying reports are available on the GLA website . Data available for Middle Super Output Areas (MSOA).,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r8x4,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, JSON, SPREADSHEET, ZIP",UNKNOWN,2014-10 to 2014-10,Middle Super Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"waste, living-environment, 2050, power, zero-carbon, heat, secondary-heat, heat-pump, sustainability, energy, msoa, borough-economic",snowflake,Medium,"Topics: business-and-economy, environment. Last updated: 2019-10-16."
"VAT Enterprises by Age of Business, Borough",2w903,Number of businesses by age of business. The 2008 publication has been enhanced to include enterprises based on PAYE employers that are not also registered...,"Number of businesses by age of business. The 2008 publication has been enhanced to include enterprises based on PAYE employers that are not also registered for VAT, extending the scope from the previous VAT based enterprise publication. This is a major change to the scope of the publication. The increase in units is most noticeable in the VAT-exempt industries of finance (J), education (M), health (N) and public administration (L, O and Q). See more on the ONS website",Other,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2w903,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2004-01 to 2013-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"age, business, vat, paye, enterprise, firm, borough-economic",snowflake,Medium,Topics: business-and-economy. Last updated: 2019-10-16.
"Local Units by Public or Private Status and Single or Multi-Site, Borough",2jr4m,Data shows the number of businesses (local units such as a factory or a shop) broken down by whether hold public or private status and whether single or...,"Data shows the number of businesses (local units such as a factory or a shop) broken down by whether hold public or private status and whether single or multi-site. The private sector enterprises are further categorised by: number of private sector enterprises with more than one local unit, number of private sector enterprises with one local unit and with one or less persons employed and number of private sector enterprises with one local unit and with more than one person employed.",Other,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2jr4m,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, HTML, SPREADSHEET",UNKNOWN,2008-01 to 2009-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"business, public, local-units, idbr, private, paye, vat, borough-economic",snowflake,Medium,Topics: business-and-economy. Last updated: 2019-10-16.
