title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Youth Systems Map,2n14x,The GLA Civil Society and Sport Unit Youth Team have commissioned London Metropolitan University Centre for Applied Research in Empowering Society (CARES)...,"The GLA Civil Society and Sport Unit Youth Team have commissioned London Metropolitan University Centre for Applied Research in Empowering Society (CARES) team to undertake research into the challenges that young Londoners face, to help shape the GLA’s holistic approach to empowering the voice of young Londoners. The project involves reviewing evidence gathered by the GLA to map out the ecosystem and interactions that underpin youth social action in London, as well as participatory research with active participation from members of London’s youth community. You can view the interactive map here - GLA Youth Social Action Link to the map ---> https://kumu.io/LondonMet-CARES/gla-youth-social-action#ysa-map-1 The presentation supporting the map, presenting the research approach and findings an",Other,GLA Civil Society and Sport,https://data.london.gov.uk/dataset/2n14x,UNKNOWN,Annual,"HTML, PDF",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: championing-london, demographics, education, employment-and-skills, health, income-poverty-welfare, young-people. Last updated: 2025-05-06."
London Legacy Development Corporation,2lw3x,"Formed in April 2012, the London Legacy Development Corporation’s purpose is to use the once-in-a-lifetime opportunity of the London 2012 Games and the...","Formed in April 2012, the London Legacy Development Corporation’s purpose is to use the once-in-a-lifetime opportunity of the London 2012 Games and the creation of Queen Elizabeth Olympic Park to develop a dynamic new heart for east London, creating opportunities for local people and driving innovation and growth in London and the UK.",Other,London Legacy Development Corporation,https://data.london.gov.uk/dataset/2lw3x,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: championing-london, transparency. Last updated: 2025-02-05."
The Experience of Mutual Aid in London ,2knl8,"We developed a survey for mutual aid groups which asked questions about the number of participants, activities they were carrying out, challenges they...","We developed a survey for mutual aid groups which asked questions about the number of participants, activities they were carrying out, challenges they faced, what worked well, resources they found useful and relationships with other organisations (Appendix 1). The Survey was open for responses for four weeks from 12 th May - 9 th June 2020. We received 38 responses in total from across 18 different boroughs. We also held an online conversation with 20 individuals from 13 groups on the 26 th May 2020. This report outlines findings from this qualitative data and sets out observations and recommendations that that can be used to inform future conversations and policy discussion with mutual aid groups, the volunteering sector and strategic partners.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2knl8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,2020-05 to 2020-06,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: championing-london, covid-19. Last updated: 2020-08-05."
Excel Mapping Template for London Boroughs and Wards,2w9lz,A free mapping tool that allows you to create a thematic map of London without any specialist GIS skills or software - all you need is Microsoft Excel....,"A free mapping tool that allows you to create a thematic map of London without any specialist GIS skills or software - all you need is Microsoft Excel. Templates are available for London’s Boroughs and Wards. Full instructions are contained within the spreadsheets. Macros The tool works in any version of Excel. But the user MUST ENABLE MACROS, for the features to work. There a some restrictions on functionality in the ward maps in Excel 2003 and earlier - full instructions are included in the spreadsheet. To check whether the macros are enabled in Excel 2003 click Tools, Macro, Security and change the setting to Medium. Then you have to re-start Excel for the changes to take effect. When Excel starts up a prompt will ask if you want to enable macros - click yes. In Excel 2007 and later, it",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w9lz,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2013-05 to 2018-05,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"mapping, wards, maps, gis, cartogram, choropleth",snowflake,Medium,"Topics: championing-london, planning. Last updated: 2020-04-09."
Create your own mapping templates - Excel Add-In,2jx1l,"With this add in it is possible to create map templates from GIS files in KML format, and create choropleths with them. Providing you have access to KML...","With this add in it is possible to create map templates from GIS files in KML format, and create choropleths with them. Providing you have access to KML format map boundary files, it is possible to create your own quick and easy choropleth maps in Excel. The KML format files can be converted from 'shape' files. Many shape files are available to download for free from the web, including from Ordnance Survey and the London Datastore. Standard mapping packages such as QGIS ( free to download ) and ArcGIS can convert the files to KML format. A sample of a KML file (London wards) can be downloaded from this page, so that users can easily test the tool out. Macros must be enabled for the tool to function. When creating the map using the Excel tool, the 'unique ID' should normally be the area cod",Other,Tim Lund,https://data.london.gov.uk/dataset/2jx1l,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"mapping, excel",snowflake,Medium,Topics: championing-london. Last updated: 2016-03-07.
Annual London Survey 2015,e6wk9,"London is changing; with an expanding service-led economy, increasing wealth, consumption and leisure time for many of its residents and a growing...","London is changing; with an expanding service-led economy, increasing wealth, consumption and leisure time for many of its residents and a growing multiplicity of tastes and preferences across a growing population. From November 3 rd to December 1 st , 4000 Londoners took part in Talk London’s Annual London Survey (ALS) to share their views on what makes London a great place to live, and what aspects of life in the capital could do with some improvement. The London Survey aims to address three key questions: To what extent are Londoners satisfied with their quality of life, and what drives this satisfaction? What do Londoners think are the most important drivers of a successful place to live and work? What does the balance of satisfaction and rank of different aspects of London life mean f",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/e6wk9,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2015-11 to 2015-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"priorities, satisfaction, als2015, survey, residents, opinion",snowflake,Medium,"Topics: championing-london, transparency. Last updated: 2016-02-18."
Annual London Survey 2014,2r4n1,"In November 2014, 3,674 Londoners took part in the first London Survey run by Talk London , to tell us what they thought of the city and their...","In November 2014, 3,674 Londoners took part in the first London Survey run by Talk London , to tell us what they thought of the city and their neighbourhood. The London Survey enables us to: • Assess Londoners’ priorities across the breadth of Mayoral responsibilities • Understand Londoners’ perceptions of their quality of life • Identify those areas that require improvement, or where we need to improve outcomes for particular groups of people. TECHNICAL DETAILS • Results are based on interviews with 3,674 London residents aged 18+. • Interviews were carried out online via the Talk London community between 3 Oct and 5 Nov. • Interviews were not randomly sampled, but self-selecting via a number of known databases. This achieved a non-representative sample of Londoners. • The data has been w",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2r4n1,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"IMAGE, PDF, SPREADSHEET",UNKNOWN,2014-10 to 2014-11,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"priorities, residents, satisfaction, survey, top, opinion",snowflake,Medium,"Topics: championing-london, crime-and-community-safety, employment-and-skills, environment, health, housing, transparency, transport. Last updated: 2015-03-03."
Global City Population Estimates,24r1z,"Population of Urban Agglomerations with 300,000 Inhabitants or more in 2014, by city, 1950-2030 (thousands). Data for 1,692 cities contained in the Excel...","Population of Urban Agglomerations with 300,000 Inhabitants or more in 2014, by city, 1950-2030 (thousands). Data for 1,692 cities contained in the Excel file. Note: Each country has its own definition of what is 'urban' and therefore use exercise caution when comparing cities in different countries. Data available from the United Nations , Department of Economic and Social Affairs, Population Division (2014). World Urbanization Prospects: The 2014 Revision, CD-ROM Edition. Further detail of population estimates, land area, and population density for world urban areas with over 500,000 people (924 areas) is available with Demographia's World Urban Areas report (2014) . Much of this data is based on the UN urban agglomerations, though a range of other sources are also used.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/24r1z,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,1950-01 to 2030-01,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"population, global, city, demographics, growth, areas, metropolitan, region",snowflake,Medium,"Topics: championing-london, demographics. Last updated: 2015-01-20."
Global City Data,ep8yz,A range of indicators for a selection of cities from the New York City Global City database . Dataset includes the following: Geography City Area (km2)...,"A range of indicators for a selection of cities from the New York City Global City database . Dataset includes the following: Geography City Area (km2) Metro Area (km2) People City Population (millions) Metro Population (millions) Foreign Born Annual Population Growth Economy GDP Per Capita (thousands $, PPP rates, per resident) Primary Industry Secondary Industry Share of Global 500 Companies (%) Unemployment Rate Poverty Rate Transportation Public Transportation Mass Transit Commuters Major Airports Major Ports Education Students Enrolled in Higher Education Percent of Population with Higher Education (%) Higher Education Institutions Tourism Total Tourists Annually (millions) Foreign Tourists Annually (millions) Domestic Tourists Annually (millions) Annual Tourism Revenue ($US billions)",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/ep8yz,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"global, world, city, indicators",snowflake,Medium,Topics: championing-london. Last updated: 2014-10-15.
Annual London Survey 2010,em9wp,"The data is taken from a face-to-face survey of 1,490 residents of Greater London, undertaken in early 2010 by BMG Research on behalf of the GLA. The...","The data is taken from a face-to-face survey of 1,490 residents of Greater London, undertaken in early 2010 by BMG Research on behalf of the GLA. The questions explore areas of Mayoral policy and priority including policing and safety, the environment, transport, the Olympics and london life. The data is available by demographic group, including gender, age, ethnicity and social class. A full report and a summary of topline results were published on the GLA website in May 2010.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/em9wp,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, DOCUMENT, SPREADSHEET",UNKNOWN,2009-01 to 2010-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"residents, satisfaction, opinion, top-priorities, survey",snowflake,Medium,"Topics: championing-london, crime-and-community-safety, environment, london-2012, sport, transparency, transport. Last updated: 2014-07-07."
