title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
2011 Census Infographics,v8pnq,2011 Census Infographics,2011 Census Infographics,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/v8pnq,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,IMAGE,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, infographic, visualisation",snowflake,Medium,"Topics: demographics, education, employment-and-skills, housing, transport. Last updated: 2014-10-13."
2011 Census Demography,e790q,Reports and data on population growth and change,Reports and data on population growth and change,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/e790q,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"change, growth, demography, population",snowflake,Medium,Topics: demographics. Last updated: 2014-10-13.
2011 Census Ethnic Group Fact Sheets,2o84g,"A series of fact sheets, one for each of the 18 ethnic groups reported in the census, containing range of data on topics ranging from housing to nationality...","A series of fact sheets, one for each of the 18 ethnic groups reported in the census, containing range of data on topics ranging from housing to nationality and economic activity to religion.",Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/2o84g,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"ethnic group, census",snowflake,Medium,Topics: demographics. Last updated: 2014-10-13.
2011 Census Households & Families,expxp,Reports and data on households and families,Reports and data on households and families,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/expxp,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"cohabiting, divorced, marital staus, students, care home, household composition, household type, married, family, civil partnerships, census, communal establishment, car, households, household, one person, families",snowflake,Medium,Topics: demographics. Last updated: 2014-10-13.
2011 Census Health & Care,2w9wz,"Reports and data on Health, Illness and unpaid care","Reports and data on Health, Illness and unpaid care",Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/2w9wz,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"care, general health, limiting long term illness, unpaid care, illness, census",snowflake,Medium,"Topics: demographics, health. Last updated: 2014-10-13."
2011 Census Migrant Population,2yjoy,Reports and data on the migrant population.,Reports and data on the migrant population.,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/2yjoy,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, short-term residents, migration, counry of birth",snowflake,Medium,Topics: demographics. Last updated: 2014-10-13.
Focus on London - Population and Migration,2zmzq,"This report was released in September 2010. However, recent demographic data is available on the datastore - you may find other datasets on the Datastore...","This report was released in September 2010. However, recent demographic data is available on the datastore - you may find other datasets on the Datastore useful such as: GLA Population Projections , National Insurance Number Registrations of Overseas Nationals , Births by Birthplace of Mother , Births and Fertility Rates , Office for National Statistics (ONS) Population Estimates FOCUS ON LONDON 2010: POPULATION AND MIGRATION London is the United Kingdom’s only city region. Its population of 7.75 million is 12.5 per cent of the UK population living on just 0.6 per cent of the land area. London’s average population density is over 4,900 persons per square kilometre, this is ten times that of the second most densely populated region. Between 2001 and 2009 London’s population grew by over 430",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2zmzq,UNKNOWN,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demographics, fol, population",snowflake,Medium,Topics: demographics. Last updated: 2014-09-17.
London Parliamentary Constituency Profiles 2010,e716q,This report provides a summary of demographic and related data for each Westminster Parliamentary constituency in Greater London. The profiles are designed...,"This report provides a summary of demographic and related data for each Westminster Parliamentary constituency in Greater London. The profiles are designed to provide an overview of the population in each area by combining a range of data on the population, diversity, households, life expectancy, council tax, crime, household income (paycheck), benefits, land use, education, business and deprivation. All data, relate to people who live in the area, i.e. they are residence-based. The vast majority of data used in these profiles was aggregated from either Lower Super Output Area or Ward level data. Lookup tables are available to download from this page so that users can construct their own constituency data from ward or LSOA datasets. In the PDF version of the report are maps for each area t",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e716q,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, PDF, SPREADSHEET",UNKNOWN,2014-10 to 2014-10,Parliamentary Constituency,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, population, indicators, constituency",snowflake,Medium,"Topics: demographics, transparency. Last updated: 2014-08-29."
2011 Census QA Pack,2g14n,The Office for National Statistics released Quality Assurance data for local authorities as part of the first release of 2011 Census data.,The Office for National Statistics released Quality Assurance data for local authorities as part of the first release of 2011 Census data.,Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2g14n,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"HTML, SPREADSHEET",UNKNOWN,2011-01 to 2011-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"2011-census, census, population",snowflake,Medium,Topics: demographics. Last updated: 2014-07-07.
"Census 2011 Population by Age, UK Districts",2jkq6,"Table shows estimates of resident population by 5 year age band from the 2011 Census of England and Wales, Scotland and Northern Ireland. England Wales...","Table shows estimates of resident population by 5 year age band from the 2011 Census of England and Wales, Scotland and Northern Ireland. England Wales local authorities, counties and regions, plus districts of Scotland and Northern Ireland and total UK population are included. 1) For the 2011 Census, a usual resident of the UK is anyone who, on census day 2011, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months. 2) The age of a person is derived from their date of birth. It is their age in years on their last birthday up to and including census day 2011. Dates of birth that imply an age over 115 are treated as invalid and the person's ag",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2jkq6,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2011-01 to 2011-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"borough, united-kingdom, london, 2011-census, county, five, authority, country, outer, inner, district, estimates, countries, region, population, demographics, boroughs, resident, quinary",snowflake,Medium,Topics: demographics. Last updated: 2014-07-07.
