title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Key Stage 2 Results by Borough (Old Measures),2zwrk,This dataset will no longer be updated. For the latest figures click here. Percentage of pupils achieving level 4 or above in their national curriculum...,"This dataset will no longer be updated. For the latest figures click here. Percentage of pupils achieving level 4 or above in their national curriculum assessments at key stage 2 by gender and location of school/educational institution up to the school year 2015. Also includes data by region by ethnic group, language, and free school meal (FSM) eligibility.",Education,Department for Education,https://data.london.gov.uk/dataset/2zwrk,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2007-01 to 2015-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, young-people. Last updated: 2018-05-25."
London Early Years Datastore for Childcare Sufficiency Assessments (CSA),2w1p8,Childcare Sufficiency Assessment Template and Datastore for London boroughs. We have worked closely with London boroughs to produce a common template for...,"Childcare Sufficiency Assessment Template and Datastore for London boroughs. We have worked closely with London boroughs to produce a common template for their Childcare Sufficiency Assessments. We hope this will enable boroughs to effectively intervene in their local markets, provide a more accurate picture of London's childcare provision and help families find the childcare that's right for them. The London Early Years Datastore supports completion of Childcare Sufficiency Assessments (CSA) by providing data at a borough level including early years providers and places, take up of the free early entitlement and providers’ OFSTED ratings. You can find the template Childcare Sufficiency Assessment and guidance here . Contact educationprogramme@london.gov.uk for more information. You can fi",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w1p8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: education. Last updated: 2018-04-17.
Key Stage 1 Results by Borough (Old Measures),2ko43,This dataset will no longer be updated. For the latest figures click here. Percentage of pupils achieving level 2 or above in Key Stage 1 teacher...,"This dataset will no longer be updated. For the latest figures click here. Percentage of pupils achieving level 2 or above in Key Stage 1 teacher assessments by gender and location of school/educational institution up to the school year 2015. Also includes data by region by ethnic group, language, and free school meal (FSM) eligibility (up to the year 2016).",Education,Department for Education,https://data.london.gov.uk/dataset/2ko43,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2010-01 to 2015-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, young-people. Last updated: 2018-04-13."
GCSE Results by Borough (Old Grading System),2jx36,This dataset will no longer be updated. For the latest figures click here. GCSE and equivalent results in maintained schools by gender and location of...,"This dataset will no longer be updated. For the latest figures click here. GCSE and equivalent results in maintained schools by gender and location of school/educational institution up to the school year 2014/15. Also includes data by region by ethnic group, language, and free school meal (FSM) eligibility. This dataset contains data on GCSE results using the old A*-G grading system. This system has since been superceded by the new 1-9 grading system.",Education,Department for Education,https://data.london.gov.uk/dataset/2jx36,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2009-09 to 2015-07,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"gcse, results, fsm, free, school, meals, ethnic, ethnicity, language, english, mathematics, maths",snowflake,Medium,"Topics: education, young-people. Last updated: 2018-02-26."
Schools and educational institutions air quality exposure data broken down by parliamentary constituency,20pj6,This is a dataset of schools and educational institutions air quality exposure data broken down by parliamentary constituency based on the current 2013 data...,This is a dataset of schools and educational institutions air quality exposure data broken down by parliamentary constituency based on the current 2013 data from the London Atmospheric Emissions Inventory. This list includes all educational establishments (excluding private nurseries). Note there are some schools which have closed but these are included for consistency with previous data sets. The legal limit for NO2 is an average annual concentration of 40 ug/m3.,Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/20pj6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, environment. Last updated: 2017-05-02."
Annual London Education Report 2017 Data,20py6,This document is a collection of raw data used in the Mayor’s Annual London Education Report 2017.,This document is a collection of raw data used in the Mayor’s Annual London Education Report 2017.,Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/20py6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,1996-01 to 2016-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, young-people. Last updated: 2017-02-17."
Students by higher education provider,2nlk8,"The Higher Education Statistics Agency provides data on student numbers in the UK. Table 3 covers students by HE provider, level and mode of study as well...","The Higher Education Statistics Agency provides data on student numbers in the UK. Table 3 covers students by HE provider, level and mode of study as well as domicile. https://www.hesa.ac.uk/dox/pressOffice/sfr224/061046_student_sfr224_1415_table_3.xlsx",Education,Higher Education Statistics Agency,https://data.london.gov.uk/dataset/2nlk8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, employment-and-skills. Last updated: 2016-09-09."
"A-Level and Level 3 Point Scores by Gender, Borough",2g161,Achievements of young people in GCE and Applied GCE examinations and other equivalent qualifications. Revised data. Age at the start of the academic year...,"Achievements of young people in GCE and Applied GCE examinations and other equivalent qualifications. Revised data. Age at the start of the academic year i.e. 31 August 2009 for 2009/10. Students entered for a GCE or VCE A level or other Level 3 qualification equivalent in size to an A level. England averages include all schools and FE colleges. A VCE/GCE Applied Double Award at grade AA counts as two grade As, an award at grade AB counts as one. Some figures have been suppressed to protect pupil confidentiality. See statistics on 16 to 19 attainment .",Education,Department for Education,https://data.london.gov.uk/dataset/2g161,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2009-09 to 2015-08,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"a-level, haringey, greenwich, enfield, barking-and-dagenham, gce, barnet, westminster, merton, southwark, harrow, wandsworth, results, scores, bexley, brent, islington, redbridge, hillingdon, croydon, city-of-london, education, hammersmith-and-fulham, bromley, ealing, tower-hamlets, lewisham, london, havering, camden, newham, hounslow, kingston-upon-thames, lambeth, sutton, kensington-and-chelsea, waltham-forest, richmond-upon-thames, hackney",snowflake,Medium,Topics: education. Last updated: 2016-02-01.
"School Revenue, Borough",2zmdp,School level revenue balances for all local authority maintained schools by local authority. These tatistics describing the total revenue balances (showing...,School level revenue balances for all local authority maintained schools by local authority. These tatistics describing the total revenue balances (showing both committed and uncommitted revenue balances) and also the total revenue balances as a proportion of the total revenue income for LA maintained schools. Tables from 1990/00 onwards available on Department for Education website. A schools total revenue income for the year includes all revenue funding available to the year as well as any additional income generated by the school. This does not include any revenue balances carried forward from previous years. Please note that although figures are shown here for committed and uncommitted balances there is considerable variation in how these are defined at local level meaning that at nati,Education,Department for Education,https://data.london.gov.uk/dataset/2zmdp,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"HTML, SPREADSHEET",UNKNOWN,2007-01 to 2013-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"schools, revenue, school-revenue-balances, finance",snowflake,Medium,Topics: education. Last updated: 2016-01-27.
"Further Education and Higher Education destinations of KS5 students, Borough and Institution",20ooj,"Percentage of students, who entered an A Level or equivalent qualification, going to, or remaining in, an education destination or employment. The...","Percentage of students, who entered an A Level or equivalent qualification, going to, or remaining in, an education destination or employment. The percentage of students progressing to further learning in a school, Further Education or Sixth Form College, Apprenticeship, work based learning provider or Higher Education Institution. To be included in the Measure, young people have to show sustained participation in an education destination in all of the first two terms of the year after they completed KS4 or took A level or equivalent qualifications. The first two terms is defined as October to March. The statistics are published as ""Experimental Statistics"" and do not display the National Statistics Logo. They are still being evaluated and remain subject to further testing to determine the",Education,Department for Education,https://data.london.gov.uk/dataset/20ooj,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2009-01 to 2014-09,Education Institution,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"schools, higher-education, pupils, university, destinations, key-stage, further-education, apprenticeships",snowflake,Medium,"Topics: education, young-people. Last updated: 2016-01-22."
