title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
London Employability Performance Rating (EPR) guidance and tools,2jk8m,"In order to receive a rating, providers will be required to enter their data in the Employability Performance Rating Calculator (EPRC); this can be...","In order to receive a rating, providers will be required to enter their data in the Employability Performance Rating Calculator (EPRC); this can be downloaded from the link below. Guidance on completing the calculator can also be found below; we advise that you follow the guidance to make sure that you complete the process with ease. For any questions regarding the calculator or the guidance please contact: EPRC@london.gov.uk The following guidance and templates are below:",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2jk8m,UNKNOWN,Unknown,"DOCUMENT, PDF, SLIDESHOW, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"lseo, esf, lep, data",snowflake,Medium,Topics: employment-and-skills. Last updated: 2018-08-23.
Employability Performance Rating (EPR) Annual Ratings,vqmw7,The EPR is an annual rating which generates a rating from zero to four stars for grant holders based upon a provider’s performance in three Key Performance...,"The EPR is an annual rating which generates a rating from zero to four stars for grant holders based upon a provider’s performance in three Key Performance Areas (KPAs): delivery performance, quality and contract compliance. For each KPA, performance is assessed through one or more performance indicators. The weighting each indicator contributes towards a KPA score has been developed in consultation with providers and the Performance Ratings should place a high emphasis on performance (i.e. outputs and results). Key Performance Area (KPA) Weighting Indicators (KPI) Weighting of indicator within KPA Contract Performance 60% 1. Delivery against grant targets 48% 2. Delivery against grant diversity targets 12% Quality 30% 3. Conversion Factor 12% 4. Self assessment of quality 9% 5. Client Sat",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vqmw7,UNKNOWN,Unknown,"DOCUMENT, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"employment, ESF, rating",snowflake,Medium,Topics: employment-and-skills. Last updated: 2018-08-23.
Wider South East Long Term Labour Market Projections,eprmy,"GLA Economics presents employment projections for the Wider South East. There are separate projections and reports for London, the East of England, and the...","GLA Economics presents employment projections for the Wider South East. There are separate projections and reports for London, the East of England, and the South East of England. The 2017 projections for the East of England and the South East of England are experimental. Links to the 2017 employment projections (latest) Sector projections (East of England) East of England labour market projections 2017 report Sector projections (South East of England) South East of England labour market projections 2017 report London long term labour market projections",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/eprmy,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,UNKNOWN,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"employment, jobs, projections",snowflake,Medium,Topics: employment-and-skills. Last updated: 2018-06-19.
Skills for Londoners 2018 Strategy Consultation,2lzox,Skills for Londoners is the first dedicated post-16 skills and adult education strategy produced by a London Mayor. It sets out the contextual skills...,"Skills for Londoners is the first dedicated post-16 skills and adult education strategy produced by a London Mayor. It sets out the contextual skills challenges London faces, along with the priorities and actions required to make the London skills system the envy of the world and achieve the Mayor’s vision for: ‘A City for all Londoners – making sure Londoners, employers and businesses get the skills they need to succeed in a fair, inclusive society and thriving economy’ The Skills for Londoners Consultation Findings provides a high-level summary and analysis of the issues raised during the consultation of the draft strategy, from technical stakeholders, members of the public and opinion research. This allowed the Mayor to have proper regard to the consultation responses when deciding whet",Demographics,GLA Opinion Research,https://data.london.gov.uk/dataset/2lzox,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,Skills and Employment,snowflake,Medium,"Topics: employment-and-skills, transparency. Last updated: 2018-06-06."
Earnings by industry and occupation,e114d,The ONS Annual Survey of Hours and Earnings (ASHE) provides data on average levels and the distribution of earnings and hours worked for UK employees by...,"The ONS Annual Survey of Hours and Earnings (ASHE) provides data on average levels and the distribution of earnings and hours worked for UK employees by detailed occupation (1- to 4-digit SOC categories), and industry sector (1- and 2-digit SIC category) annually. Data is available from the ONS website at regional level.",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/e114d,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: employment-and-skills. Last updated: 2016-11-15.
UK employer skills survey,20pk8,"Industry sector data is presented on reported vacancies, hard-to-fill vacancies (vacancies reported as such by companies), skill-shortage vacancies...","Industry sector data is presented on reported vacancies, hard-to-fill vacancies (vacancies reported as such by companies), skill-shortage vacancies (vacancies hard to fill due to applicants not having the appropriate skills, qualifications or experience) and density of skills shortages (proportion of skills shortages over all vacancies in occupational group). The data is collected through the UK Commission for Employment and Skills (UKCES) Employer Skills Survey. This survey is run every second year, involves interviews with 91,000 workplace establishments (including more than 10,000 establishments in London). Results for 2015 were released in April 2016. Firms are sampled from the Inter-Departmental Business Register from those firms that have at least two staff (including both employees ",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/20pk8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: employment-and-skills. Last updated: 2016-11-10.
HESA student records,eprwr,,UNKNOWN,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/eprwr,Other (Public Domain),Annual,HTML,UNKNOWN,UNKNOWN,Education Institution,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,1200c,snowflake,Medium,Topics: employment-and-skills. Last updated: 2016-11-02.
Financial Capability and Child Poverty,e64on,"Pan London financial capability data to support Local Authorities Child Poverty Needs Assessments, updated in April 2011 with 2010 data . This data is...","Pan London financial capability data to support Local Authorities Child Poverty Needs Assessments, updated in April 2011 with 2010 data . This data is designed to help local authorities improve their understanding of the areas within their borough where low financial capability is most likely to exist. This could be useful to child poverty needs assessments, and subsequent work to develop and target support services for residents within their borough. Further Information For more information on the Money Advice Service (formerly the Consumer Financial Education Body): http://www.moneyadviceservice.org.uk For more information on Child Poverty Unit: http://www.education.gov.uk/childrenandyoungpeople/ families/childpoverty For details of the Experian model: http://webarchive.nationalarchives.",Demographics,Experian Marketing Services,https://data.london.gov.uk/dataset/e64on,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, PDF, TXT, ZIP",UNKNOWN,2008-01 to 2010-12,Unit Postcode,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"deprivation, child-poverty, low-income, financial-inclusion, debt, families, financial-capability",snowflake,Medium,"Topics: employment-and-skills, health, young-people. Last updated: 2015-11-16."
GLA Key Performance Indicators,2g1gr,The Business Plan 2013/14 established for the first time a suite of GLA Key Performance Indicators (KPI) closely linked to Mayoral priorities. These...,"The Business Plan 2013/14 established for the first time a suite of GLA Key Performance Indicators (KPI) closely linked to Mayoral priorities. These statistics show KPI performance, together with targets, forecasts and traffic light ratings. There are two traffic light ratings for each KPI: First, a backward looking traffic light assessing performance to date. Green indicates that performance is meeting or exceeding targets; amber that it is somewhat short of target; and red that is significantly short. The second traffic light is forward looking and is primarily concerned with whether future targets, and in particular the lifetime target, are likely to be met. Green here indicates that performance is on track and amber that there are risks that may mean future targets will be missed. Red ",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2g1gr,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Quarterly,"PDF, SPREADSHEET",UNKNOWN,2013-04 to 2015-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"public realm, apprenticeships, jobs, living wage, sport, volunteering, performance, pocket parks, trees, schools, CO2, energy, rough sleeping, green space, affordable homes",snowflake,Medium,"Topics: employment-and-skills, housing, sport, transparency, young-people. Last updated: 2015-06-02."
"Tax Credits Recipients, Borough",e795x,"Child Tax Credit (CTC) provides support to families for the children (up to the 31 August after their 16th birthdays) and the ""qualifying"" young people...","Child Tax Credit (CTC) provides support to families for the children (up to the 31 August after their 16th birthdays) and the ""qualifying"" young people (those in full-time non-advanced education until their 20th birthdays) for which they are responsible. It is paid in addition to Child Benefit. Some out of work families with children do not receive CTC but instead receive the equivalent amount via child and related allowances in Income Support or income-based Jobseeker's Allowance (IS/JSA). These families are included in the figures, generally together with out of work families receiving CTC. In due course, they will be ""migrated"" to tax credits. Working Tax Credit (WTC) tops up the earnings of families on low or moderate incomes. People working for at least 16 hours a week can claim it if",Demographics,HM Revenue & Customs,https://data.london.gov.uk/dataset/e795x,UNKNOWN,Unknown,SPREADSHEET,UNKNOWN,2005-01 to 2013-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"hmrc, lone-parents, families, poverty, employment, benefits, tax-credits",snowflake,Medium,Topics: employment-and-skills. Last updated: 2014-09-22.
