title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
"Household Waste Recycling Rates, Borough",vd67o,Table shows the proportion of collected household waste which is recycled or composted. Figures for 2004/5 were taken from the London Councils organisation...,"Table shows the proportion of collected household waste which is recycled or composted. Figures for 2004/5 were taken from the London Councils organisation as the Department for Environment, Food & Rural Affairs (DEFRA) do not list complete LA level statistics for this year. From 1998/99 to 2003/04 estimates for household waste recycling (including composting) rates are based on data supplied to the annual DEFRA Municipal Waste Management Survey. From 1998/99 to 2001/02 figures revised since previous publication. Recycling/composting rates for 1998-99 were first published in Annex A of ""Guidance in Municipal Waste Management Strategies"" published by DEFRA in March 2001 and 1999/00 rates in Annex B of the consultation paper on ""Distribution of the £140 Million Waste Minimisation and Recycli",Environment,"Department for Environment, Food and Rural Affairs",https://data.london.gov.uk/dataset/vd67o,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,1998-04 to 2024-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"recycling, recycle, households, waste, environment",snowflake,Medium,Topics: environment. Last updated: 2025-04-29.
London Building Stock Model 2 (LBSM 2),2k55d,"The London Building Stock Model v2 provides energy efficiency data for all London homes. This includes information on EPC ratings, heating systems,...","The London Building Stock Model v2 provides energy efficiency data for all London homes. This includes information on EPC ratings, heating systems, insulation levels and building fabric. This dataset represents an update of the original London Building Stock Model , and it brings together data from Energy Performance Certificates (EPCs), alongside data from other sources such as the London borough councils and the GLA. For properties that don't have data from an EPC or an alternative source, we’ve generated modelled values for these properties through machine learning. For more information on our methodology, please see this blog post . An interactive map for this data is available here . The data from the London Building Stock Model interactive map has been made available through the data",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2k55d,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Six-monthly,"CSV, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, housing, planning. Last updated: 2025-04-03."
Statistical GIS Boundary Files for London,20od9,"The Zip folder contains a range of key GIS boundary files for ESRI and Map Info covering Greater London. The folder includes: - Output Area (OA) 2011, -...","The Zip folder contains a range of key GIS boundary files for ESRI and Map Info covering Greater London. The folder includes: - Output Area (OA) 2011, - Lower Super Output Area (LSOA) 2004 and 2011, - Middle Super Output Area (MSOA) 2004 and 2011, - London Wards (two files: City of London merged into single area and split into seperate wards). There are separate download file for 2014 & 2018 boundaries. - London Boroughs - Greater London boundary Note: The OA to MSOA boundaries have been generalised to reduce file size/loading time. On maps created using these boundaries the copyright must be stated. This is: ""Contains National Statistics data © Crown copyright and database right [2015]"" and ""Contains Ordnance Survey data © Crown copyright and database right [2015]"" For more information ab",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/20od9,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, ZIP",UNKNOWN,2004-01 to 2024-10,Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"areas, mapinfo, map, shape, boundary, mapping, boundaries, esri, gis, 2001, census, shapefiles, 2011, shapefile",snowflake,Medium,"Topics: environment, planning, transparency. Last updated: 2025-03-13."
Fly-tipping Incidents,e5myg,Number of recorded fly-tipping incidents by action and prosecutions taken. Revision made to 2022/23 data in column F....,Number of recorded fly-tipping incidents by action and prosecutions taken. Revision made to 2022/23 data in column F. https://www.gov.uk/government/news/fly-tipping-in-england-annual-statistics https://www.gov.uk/government/statistical-data-sets/env24-fly-tipping-incidents-and-actions-taken-in-england,Environment,"Department for Environment, Food and Rural Affairs",https://data.london.gov.uk/dataset/e5myg,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2006-01 to 2024-03,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"fly-tipping, environment, rubbish, waste",snowflake,Medium,Topics: environment. Last updated: 2025-03-12.
Tree Canopy Cover 2024,2w4m3,The GLA have produced updates to the tree canopy cover and green cover assessments previously produced in November 2018 and January 2019 respectively (based...,"The GLA have produced updates to the tree canopy cover and green cover assessments previously produced in November 2018 and January 2019 respectively (based on 2016 data). The 2024 updates are based on data primarily from 2022 and estimate London’s tree canopy cover at 19.6% (±0.3%) and its green cover at 51.7% (±1.11%). These estimates were produced via a ‘machine learning’ computer modelling technique that uses algorithms to assess source data (colour aerial imagery, infrared aerial imagery, and height data) to make a judgement about what is tree canopy or other green cover (vegetation that is not trees). The approach makes use of the fact that vegetation reflects infrared light and enables the modelling of all of London’s green infrastructure, not just the elements that are accessible f",Environment,GLA and TFL Air Quality,https://data.london.gov.uk/dataset/2w4m3,Other (Not Open),Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: environment. Last updated: 2024-12-13.
Green Cover 2024,e56n0,The GLA have produced updates to the tree canopy cover and green cover assessments previously produced in November 2018 and January 2019 respectively (based...,"The GLA have produced updates to the tree canopy cover and green cover assessments previously produced in November 2018 and January 2019 respectively (based on 2016 data). The 2024 updates are based on data primarily from 2022 and estimate London’s tree canopy cover at 19.6% (±0.3%) and its green cover at 51.7% (±1.11%). These estimates were produced via a ‘machine learning’ computer modelling technique that uses algorithms to assess source data (colour aerial imagery, infrared aerial imagery, and height data) to make a judgement about what is tree canopy or other green cover (vegetation that is not trees). The approach makes use of the fact that vegetation reflects infrared light and enables the modelling of all of London’s green infrastructure, not just the elements that are accessible f",Environment,GLA and TFL Air Quality,https://data.london.gov.uk/dataset/e56n0,Other (Not Open),Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: environment. Last updated: 2024-12-13.
Hammersmith and Fulham Reduction and Recycling Plan,epo0d,This is the Reduction and Recycling Plan (RRP) for the London Borough of Hammersmith and Fulham. London Local authorities are developing their Reduction and...,This is the Reduction and Recycling Plan (RRP) for the London Borough of Hammersmith and Fulham. London Local authorities are developing their Reduction and Recycling Plans (RRPs) setting out key actions for cutting waste and boosting recycling for the period 2023-2026. The RRPs are used to drive and promote local activity that will also play an important role helping to achieve the Mayor’s London-wide targets to cut food waste by 50 per person and achieve 65 per cent municipal waste recycling by 2030. Click here to navigate to other Boroughs' reduction and recycling plans.,Environment,London Borough of Hammersmith and Fulham (RRP),https://data.london.gov.uk/dataset/epo0d,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,DOCUMENT,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,RRP,snowflake,Medium,Topics: environment. Last updated: 2024-10-21.
"Consumption of Other Fuels, Borough",2r8g4,"Estimates of consumption of non gas, non electricity and non road transport fuels. (1) Includes consumption within industry and the energy sectors including...","Estimates of consumption of non gas, non electricity and non road transport fuels. (1) Includes consumption within industry and the energy sectors including oil refineries. (2) Excludes the consumption of propane. (3) Includes some coal consumption by auto-generators. (4) Excludes renewables and wastes used for electricity generation. (5) The figures in this dataset do not equal those in the AEA report 'UK Local and Regional estimates of non-gas, non-electricity and non-road transport energy consumption for 2005. This is because data have been revised. See more on the DECC website .",Environment,"Department for Business, Energy & Industrial Strategy (BEIS)",https://data.london.gov.uk/dataset/2r8g4,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2005-01 to 2022-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"electricity, consumption, energy, resources, other-fuels",snowflake,Medium,Topics: environment. Last updated: 2024-10-18.
Flood Risk,2w4wy,"The Flood Zones show the probability of river and sea flooding, ignoring the presence of defences. There are four zones, 1, 2, 3a and 3b, that reflect the...","The Flood Zones show the probability of river and sea flooding, ignoring the presence of defences. There are four zones, 1, 2, 3a and 3b, that reflect the annual probability of flooding happening. This map shows all areas with more than a 1 in 1,000 annual probability of either river or sea flooding by combining zones 2, 3a and 3b. If you want to submit a planning application within these zones, you will need to do a flood risk assessment. For a full explanation of when a flood risk assessment is required, visit https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications#when-you-need-an-assessment. To view more detailed information on the flood zones, visit https://flood-map-for-planning.service.gov.uk/.",Environment,Planning Constraints Map,https://data.london.gov.uk/dataset/2w4wy,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,GEOPACKAGE,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"planningconstraintsmap, environment",snowflake,Medium,"Topics: environment, housing, planning. Last updated: 2024-10-02."
Climate Risk Mapping,2oxg6,A series of London-wide climate risk maps has been produced to analyse climate exposure and vulnerability across Greater London. These maps were produced by...,"A series of London-wide climate risk maps has been produced to analyse climate exposure and vulnerability across Greater London. These maps were produced by Bloomberg Associates in collaboration with the Greater London Authority to help the GLA and other London-based organisations deliver equitable responses to the impacts of climate change and target resources to support communities at highest risk. Climate vulnerability relates to people’s exposure to climate impacts like flooding or heatwaves, but also to personal and social factors that affect their ability to cope with and respond to extreme events. High climate risk coincides with areas of income and health inequalities. A series of citywide maps overlays key metrics to identify areas within London that are most exposed to climate im",Environment,Greater London Authority and Bloomberg Associates,https://data.london.gov.uk/dataset/2oxg6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"HTML, PDF",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, income-poverty-welfare. Last updated: 2024-09-21."
