title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
myhealthlondon Indicators,exp1m,Series of indicators underlying the myhealthlondon website . Information about outcome standards is also available. Each indicator is provided as a separate...,"Series of indicators underlying the myhealthlondon website . Information about outcome standards is also available. Each indicator is provided as a separate data file which can be found using the links below. All indicators are provided at GP Practice level except for those marked as Borough level. 19 and 25 as of 04/09/2012 Indicator 6 updated as of 01/05/2013 Indicators 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17a to 17g, 18, 20, 21, 22, 26a, 26c, 27c ,27d and 28 updated as of 17/12/2013 Indicator 26a has been discontinued and is no longer available on the Datastore. There is a possibility that it may be reinstated in the future. Data are provided in a standardised schema with each record containing an indicator ID and organisation ID. These can be matched against the two ",Health,Department of Health,https://data.london.gov.uk/dataset/exp1m,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,CSV,UNKNOWN,2014-10 to 2014-10,Hospital Trust,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"outcomes, health, indicators",snowflake,Medium,Topics: health. Last updated: 2014-08-29.
myhealthlondon Dementia Indicators,2o88d,A set of data on aspects of dementia published on the myhealthlondon website . DEM0001 - Numbers of people with a diagnosis DEM0002 - Diagnosis rates...,A set of data on aspects of dementia published on the myhealthlondon website . DEM0001 - Numbers of people with a diagnosis DEM0002 - Diagnosis rates DEM0003 - Care reviews for GP patients DEM0004 - Dementia today DEM0005 - Spend on anti-dementia drugs DEM0006 - Waiting to be tested by Memory Clinics DEM0007 - Waiting for results at Memory Clinics DEM0008 - Looking for dementia in hospital DEM0009 - Assessing dementia in hospital DEM0010 - Referring people for further tests DEM0011 - Help to remain at home DEM0012 - Dying with dementia in hospital DEM0013 - Involving people in research DEM0014 - Length of stay in hospital DEM0015 - Making sure people are treated well in hospital DEM0016 - Caring for people in hospital DEM0017 - Meeting mental health needs of people in hospital DEM0018 - He,Health,Department of Health,https://data.london.gov.uk/dataset/2o88d,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2014-10 to 2014-10,Hospital Trust,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"health, dementia",snowflake,Medium,Topics: health. Last updated: 2014-08-04.
myhealthlondon Stroke Indicators,24rz8,Series of stroke related indicators underlying the myhealthlondon website . All 19 indicators are provided in a single Excel spreadsheet and complete...,Series of stroke related indicators underlying the myhealthlondon website . All 19 indicators are provided in a single Excel spreadsheet and complete metadata is also available for download.,Health,Department of Health,https://data.london.gov.uk/dataset/24rz8,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2014-10 to 2014-10,Hospital Trust,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"outcomes, stroke",snowflake,Medium,Topics: health. Last updated: 2014-07-07.
"Disability and Mobility, London",em80l,"Disability and mobility data for London and Rest of the UK, for working age (16-64) and all adults (16+). Data includes population with mobility...","Disability and mobility data for London and Rest of the UK, for working age (16-64) and all adults (16+). Data includes population with mobility difficulties, people who use special equipment to help be mobile, people with a mobility impairment, and people who currently have 'DDA' Disability. The definition of ‘DDA disability’ under the Equality Act 2010 shows a person has a disability if: they have a physical or mental impairment the impairment has a substantial and long-term adverse effect on their ability to perform normal day-to-day activities For the purposes of the Act, these words have the following meanings: 'substantial' means more than minor or trivial 'long-term' means that the effect of the impairment has lasted or is likely to last for at least twelve months (there are special",Health,Office for Disability Issues,https://data.london.gov.uk/dataset/em80l,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2009-01 to 2011-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"disability, dda, working-age, mobility, health, disabled",snowflake,Medium,Topics: health. Last updated: 2014-07-07.
"Physically Active Children, Borough",e18yk,Percentage of school children who spend a minimum of two hours each week on high quality Physical Education and school sport within and beyond the...,"Percentage of school children who spend a minimum of two hours each week on high quality Physical Education and school sport within and beyond the curriculum. There is the potential for error in the collection, collation and interpretation of the data (bias may be introduced due to poor response rates and selective opt out of larger children which it is not possible to control for). TNS Social Research: Annual Survey of School Sport Partnerships on behalf of the Department for Children, Schools and Families",Health,Department for Education,https://data.london.gov.uk/dataset/e18yk,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, HTML, SPREADSHEET",UNKNOWN,2007-01 to 2008-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"active, children, exercise, physical-education, sport",snowflake,Medium,"Topics: health, sport. Last updated: 2014-07-04."
Drug Treatment Rates,2486z,Numbers of people in contact with drug action teams. Next release 1/10/2010 http://www.nta.nhs.uk/statistics.aspx,Numbers of people in contact with drug action teams. Next release 1/10/2010 http://www.nta.nhs.uk/statistics.aspx,Health,National Treatment Agency for Substance Misuse (NTA),https://data.london.gov.uk/dataset/2486z,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, HTML",UNKNOWN,2003-01 to 2009-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"drugs, addiction, health, mental",snowflake,Medium,Topics: health. Last updated: 2014-07-04.
Life Expectancy by Deprivation,24865,"Life expectancy at birth, years for all ages by national deprivation quintile and Males and Females. Deprivation quintiles were assigned to Lower Layer...","Life expectancy at birth, years for all ages by national deprivation quintile and Males and Females. Deprivation quintiles were assigned to Lower Layer Super Output Areas (LSOAs) at a national level. Results will be missing for areas where a local authority had none of its population living in a particular quintile. Results are also not presented for areas where the population at risk for the years 2003–07 was less than 5,000 i.e. where the total aggregated population for these years fell below this threshold. Confidence intervals available from the Association of Public Health Observatories website. Relevant links: http://www.apho.org.uk/default.aspx?QN=HP_DATATABLES http://www.apho.org.uk/resource/item.aspx?RID=50198",Health,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/24865,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2003-01 to 2007-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"expectancy, health, life, deprivation",snowflake,Medium,Topics: health. Last updated: 2014-07-04.
"Prevalence of Common Mental Health Problems, Borough",vd5r4,Number of cases of common mental health problems per 1000 of the population aged 16-74 by type of mental health problem. Data on rates are presented as...,"Number of cases of common mental health problems per 1000 of the population aged 16-74 by type of mental health problem. Data on rates are presented as total cases per 1000 population aged 16-74. Detail of case numbers are available from NEPHO for males and females, for quinary age-groups. These are not intended to be used at this level, rather to provide flexible data for grouping up.",Health,Association of Public Health Observatories,https://data.london.gov.uk/dataset/vd5r4,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML, SPREADSHEET",UNKNOWN,2006-01 to 2006-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"health, mental",snowflake,Medium,Topics: health. Last updated: 2014-07-04.
"Active People Survey KPI Data, Borough",e5m0x,"Key Performance Indicators from Active People Survey (APS). Data on volunteering, club membership, tuition, organised sport, competition, satisfaction with...","Key Performance Indicators from Active People Survey (APS). Data on volunteering, club membership, tuition, organised sport, competition, satisfaction with local sports provision, for local authorities, based on Active People Survey. KPI 1 Participation is defined as taking part on at least 3 days a week in moderate intensity sport and active recreation (at least 12 days in the last 4 weeks) for at least 30 minutes continuously in any one session. Participation includes recreational walking and cycling. KPI 2 Volunteering is defined as ‘Volunteering to support sport for at least one hour a week’. KPI 3 Club membership is defined as ‘being a member of a club particularly so that you can participate in sport or recreational activity in the last 4 weeks’. KPI 4 Receiving tuition is defined as",Health,Sport England,https://data.london.gov.uk/dataset/e5m0x,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,UNKNOWN,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"sport, people, competition, organised, participation, survey, active",snowflake,Medium,"Topics: health, sport. Last updated: 2014-07-04."
Quality and Safety Hospital Audits,2r8mw,The Quality and Safety Programme began in January 2012 and built on the review of emergency general surgery and acute medicine in London. This was a...,"The Quality and Safety Programme began in January 2012 and built on the review of emergency general surgery and acute medicine in London. This was a clinically-led programme, supported by over 90 clinicians that formed multi-disciplinary expert panels, and involved patient/service user and public groups. The programme had two key components: 1. Auditing all acute London hospital sites against the agreed and commissioned acute medicine and emergency general surgery standards; and 2. Driving the development and commissioning of London quality standards for further services not covered by the previous review. These were: Critical care; Emergency departments; Fractured neck of femur; Maternity services; and Paediatric emergency services. The audit process was developed by clinical expert and p",Health,Department of Health,https://data.london.gov.uk/dataset/2r8mw,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2013-01 to 2013-12,Hospitals,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"audit, quality, safety, standards",snowflake,Medium,"Topics: health, transparency. Last updated: 2014-05-06."
