title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
London Plan AMR 19 tables and data,e1616,Excel spreadsheets containing the data from London Plan AMR 19 will be published here soon. For more information see Monitoring the London Plan . AMR page 131,Excel spreadsheets containing the data from London Plan AMR 19 will be published here soon. For more information see Monitoring the London Plan . AMR page 131,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e1616,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,SPREADSHEET,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2024-06-10."
"Index of Private Housing Rental Prices, Region",2jkkd,"This dataset is no longer being updated due to redevelopment of private rental prices statistics, impact analysis, UK, please see more information here:...","This dataset is no longer being updated due to redevelopment of private rental prices statistics, impact analysis, UK, please see more information here: Redevelopment of private rental prices statistics, impact analysis, UK - Office for National Statistics (ons.gov.uk) . The Index of Private Housing Rental Prices (IPHRP) is a quarterly experimental price index. It tracks the prices paid for renting property from private landlords in Great Britain. IPHRP is produced from a number of administrative sources and is classified as experimental by ONS. The index compares trends (rather than levels) in average private sector rents across English regions, Wales and Scotland. It uses a complex mix-adjustment and weighting process to produce a single index for each area. This index uses data on actua",Real Estate,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2jkkd,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Monthly,SPREADSHEET,UNKNOWN,2005-01 to 2024-01,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"housing, private, home, rent, rents",snowflake,Medium,Topics: housing. Last updated: 2024-04-25.
Housing Research Notes,2w1y8,Housing Research Notes are a series of analytical reports from the Greater London Authority focusing on individual issues of relevance to housing policy in...,"Housing Research Notes are a series of analytical reports from the Greater London Authority focusing on individual issues of relevance to housing policy in London. The most recent Housing Research Note (published in November 2023) estimates the annual cost to the NHS of homes in poor condition in London. It also estimates the cost of repairing all the homes in London that are in poor condition, calculating how long it would take the savings to pay off the repair costs. The analysis is broken down by tenure and compared with the same figures for the rest of England. Previous Housing Research Notes have analysed topics including housing supply, Help to Buy policy, short-term lettings, international comparisons, the factors behind increasing private rents and race equality.",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w1y8,UNKNOWN,Unknown,"HTML, PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"housing, supply, housing association, local authority, build to rent, developer, small sites, changes of use, new build, large sites, research, analysis, report, help to buy, housing market, house prices, housing transactions",snowflake,Medium,Topics: housing. Last updated: 2023-12-30.
Ad hoc housing analysis,2zj5k,"This page hosts the results of ad hoc housing analysis carried out by the Greater London Authority, including figures that have been referred to in Mayoral...","This page hosts the results of ad hoc housing analysis carried out by the Greater London Authority, including figures that have been referred to in Mayoral press releases.",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2zj5k,UNKNOWN,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: housing. Last updated: 2023-09-01.
"Financial Conduct Authority data on mortgage type and fixed rate end date by region, as at end 2022 ",2w408,"This dataset contains two sheets showing: The number of regulated mortgages outstanding as at end 2022 in the UK by region/country, broken down by interest...","This dataset contains two sheets showing: The number of regulated mortgages outstanding as at end 2022 in the UK by region/country, broken down by interest rate type (for example fixed rate, Standard Variable Rate etc) The number regulated fixed rate mortgages outstanding as at end 2022 in the UK by region/country, broken down by the month in which the fixed rate ('incentive rate') ends The data was provided to the GLA by the FCA, and the source is FCA Mortgages Performance Product Sales Data (PSD007).",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w408,UNKNOWN,One off,SPREADSHEET,UNKNOWN,UNKNOWN,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"housing market, mortgage",snowflake,Medium,Topics: housing. Last updated: 2023-08-16.
Residential approvals dashboard,e5now,This dashboard provides details of residential approvals from the Planning London Datahub (PLD). Data on the datahub is data that is supplied by applicants...,"This dashboard provides details of residential approvals from the Planning London Datahub (PLD). Data on the datahub is data that is supplied by applicants and Planning Authorities. Due to the nature of how it is collected and assimilated, it is not checked for quality as it is received, and as such may require to be amended as data quality reviews are completed and specific analysis highlights deficiencies. Boroughs supply starts and completions data on an annual basis. This report contains multiple pages. To move between pages, the navigation is at the bottom of the report. We are currently running a data improvement program, increasing the availability and quality of the data. If you are looking to use this data for analysis please review the core data for any error before relying on it",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e5now,UNKNOWN,One off,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,datahub,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-08-08."
Analysis of potential savings from freezing private rents,206l9,This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent...,"This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent changes from Savills, resulting in estimated savings to renting households if rents were frozen at the levels of December 2022.",Real Estate,GLA Housing,https://data.london.gov.uk/dataset/206l9,UNKNOWN,One off,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,housing market,snowflake,Medium,Topics: housing. Last updated: 2023-08-02.
Residential completions v London Plan 2021 target,ex9ld,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/ex9ld,UNKNOWN,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-06-08."
Affordable Housing Open Data,246jn,Building affordable and council homes is a priority for the Mayor in tackling London's housing crisis and a key component of the London Housing Strategy....,"Building affordable and council homes is a priority for the Mayor in tackling London's housing crisis and a key component of the London Housing Strategy. The GLA Housing team monitor a range of housing statistics produced by the Department for Levelling Up, Housing and Communities (DLUHC), and this spreadsheet contains a section from the Affordable Housing Open Data. This data has been used to measure the number of affordable and council homes built in London since 2016/17 and includes all affordable homes built, including those which did not receive funding from the GLA. This dataset does not incorporate DLUHC data for 2021/22 or GLA data for 2022/23.",Real Estate,GLA Housing,https://data.london.gov.uk/dataset/246jn,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,SPREADSHEET,UNKNOWN,2015-04 to 2021-03,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Housing, affordable homes, council-housing, social-housing",snowflake,Medium,Topics: housing. Last updated: 2023-06-07.
Indicative site capacity toolkit,2lwjg,The Indicative Site Capacity Toolkit has been developed as part of Optimising Site Capacity: A Design-led Approach London Plan Guidance to assist in...,The Indicative Site Capacity Toolkit has been developed as part of Optimising Site Capacity: A Design-led Approach London Plan Guidance to assist in determining the indicative site capacity of residential sites. This digital toolkit includes a set of 3D residential building types SketchUp files and an excel indicative site capacity calculator.,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2lwjg,UNKNOWN,One off,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-06-07."
Analysis of English Housing Survey data,vd4oo,"This page hosts the results of analysis carried out by the Greater London Authority of English Housing Survey microdata, including figures that have been...","This page hosts the results of analysis carried out by the Greater London Authority of English Housing Survey microdata, including figures that have been referred to in Mayoral press releases.",Real Estate,GLA Housing,https://data.london.gov.uk/dataset/vd4oo,UNKNOWN,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,housing,snowflake,Medium,Topics: housing. Last updated: 2023-04-18.
"Average Band D Council Tax, Region",em8zm,Revised details of the level of council tax set by local authorities in England for 2012-13 were announced on 9 May 2012. Council tax can be measured in...,"Revised details of the level of council tax set by local authorities in England for 2012-13 were announced on 9 May 2012. Council tax can be measured in ‘Band D’ or in ‘per dwelling’ terms. Band D has historically been used as the standard for comparing council tax levels between and across local authorities, as this measure is not affected by the varying distribution of properties in bands that can be found across authorities. Additionally, the number of Band D equivalent dwellings are collected at around the same time that the council tax levels are set by the local authority, whereas the ‘per dwelling’ calculation uses chargeable dwellings figures that are captured some five months in advance of setting council tax levels. The Band D measure therefore better reflects the latest position",Real Estate,"Ministry of Housing, Communities & Local Government (MHCLG)",https://data.london.gov.uk/dataset/em8zm,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2001-01 to 2024-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"band-d, council, tax, council-tax, housing",snowflake,Medium,Topics: housing. Last updated: 2023-03-23.
Residential pipeline dashboard,2k5jj,This dashboard calculates the residential pipeline at the end of each financial year using data from the Planning London Datahub (PLD). Data on the datahub...,"This dashboard calculates the residential pipeline at the end of each financial year using data from the Planning London Datahub (PLD). Data on the datahub is data that is supplied by applicants and Planning Authorities. Due to the nature of how it is collected and assimilated, it is not checked for quality as it is received, and as such may require to be amended as data quality reviews are completed and specific analysis highlights deficiencies. Boroughs supply starts and completions data on an annual basis. We are currently running a data improvement program, increasing the availability and quality of the data. If you are looking to use this data for analysis please review the core data for any error before relying on it. It is currently still in development and the totals displayed will",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2k5jj,UNKNOWN,Weekly,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-03-08."
Residential starts dashboard,240w5,This dashboard provides details of residential commencements (starts) from the Planning London Datahub (PLD). The d ata on the datahub is supplied by...,"This dashboard provides details of residential commencements (starts) from the Planning London Datahub (PLD). The d ata on the datahub is supplied by applicants and Planning Authorities. Due to the nature of how it is collected and assimilated, it is not checked for quality as it is received, and as such may require to be amended as data quality reviews are completed and specific analysis highlights deficiencies . The totals and underlying data in this report are subject to change as and when periodic reviews are undertaken. It is not currently possible to download data from this report. We are currently running a data improvement program, increasing the availability and quality of the data. If you are looking to use this data for analysis please review the core data for any error before r",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/240w5,UNKNOWN,Weekly,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"datahub, housing",snowflake,Medium,"Topics: housing, planning. Last updated: 2023-03-08."
Residential completions dashboard,e196j,This dashboard provides details of residential completions from the Planning London Datahub (PLD). Data on the datahub is data that is supplied by...,"This dashboard provides details of residential completions from the Planning London Datahub (PLD). Data on the datahub is data that is supplied by applicants and Planning Authorities. Due to the nature of how it is collected and assimilated, it is not checked for quality as it is received, and as such may require to be amended as data quality reviews are completed and specific analysis highlights deficiencies. Boroughs supply starts and completions data on an annual basis. We are currently running a data improvement program, increasing the availability and quality of the data. If you are looking to use this data for analysis please review the core data for any error before relying on it. Other residential dashboards from the Planning London Datahub: Residential approvals Residential commen",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e196j,Open Data Commons Public Domain Dedication and License (PDDL) — http://www.opendefinition.org/licenses/odc-pddl,One off,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-03-08."
Planning London Datahub applications,236qk,,UNKNOWN,Real Estate,PLD - Opportunity Area Data,https://data.london.gov.uk/dataset/236qk,UNKNOWN,Daily,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-03-01."
"Planning and Development Control Statistics, Borough",248wz,"Planning decisions by: type of development, speed of decision, type and speed, major or minor and enforcement actions. Regional figures are rounded and do...","Planning decisions by: type of development, speed of decision, type and speed, major or minor and enforcement actions. Regional figures are rounded and do not necessarily sum to the independently rounded national figures. Speed of Decision: Figures exclude 'county matters' decisions. The percentages do not relate directly to the total number of decisions taken, as some applications (eg. an application for a determination as to whether planning permission is required) can neither be granted nor refused. Type and Speed: Percentages may not add up to one hundred due to rounding. Enforcement Actions: TSNs are authorised by the Town and Country Planning Act, new sections 171E to 171H, inserted by Planning and Compulsory Purchase Act 2004 from 28 March 2005. Data collected from July 2005. Where ",Real Estate,"Ministry of Housing, Communities & Local Government (MHCLG)",https://data.london.gov.uk/dataset/248wz,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,1999-01 to 2022-09,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"development, decisions, enforcement, speed, planning, housing, type, major, minor",snowflake,Medium,"Topics: housing, planning. Last updated: 2023-02-07."
Residential approvals of M4(2) Accessible and adaptable and M4(3) Wheelchair user dwellings,e5637,This report uses data from the Planning London Datahub (PLD) to show the proportion of new-build residential dwellings that meet the access standards M4(2)...,"This report uses data from the Planning London Datahub (PLD) to show the proportion of new-build residential dwellings that meet the access standards M4(2) Accessible and adaptable dwellings and M4(3) Wheelchair user dwellings, as set out in Part M of the Building Regulations, Access to and use of buildings . The data is broken down by borough and year. Information on individual applications can be found on the Planning London Datahub , or on our Residential Approvals dashboard . Completions can be viewed at Residential Completions dashboard Please note that compliance with part M of the building regulations is not confirmed at application stage, but must be included as a condition on the decision notice when planning permission is granted. We are currently working with London's planning a",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e5637,Open Data Commons Open Database License (ODbL) — http://www.opendefinition.org/licenses/odc-odbl,Weekly,UNKNOWN,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2023-02-01."
"Total Number of Dwellings and Net Additional Dwellings, Borough",2n8gn,"This spreadsheet contains: the total number of net additional dwellings from all sources, Total number of dwellings, and Average dwelling size (persons per...","This spreadsheet contains: the total number of net additional dwellings from all sources, Total number of dwellings, and Average dwelling size (persons per dwelling) Net additional dwellings includes conversions, change of use, and other reasons, minus demolitions and all dwellings estimates. The net additional data is by borough since 2004/05 and total dwellings estimate is since 2001. More information can be found on the CLG website . Data is from Tables 122 and 125. A figure of persons per dwelling has also been included using population estimates. This release takes annual figures on net housing supply in England from two data sources: 1) information submitted to Communities and Local Government (CLG) by local authorities in all regions except London through the Housing Flows Reconcili",Real Estate,"Ministry of Housing, Communities & Local Government (MHCLG)",https://data.london.gov.uk/dataset/2n8gn,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2001-01 to 2022-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"supply, stock, homes, home, housing, new, total, household, kingston-upon-thames, havering, brent, newham, ealing, hammersmith-and-fulham, greenwich, richmond-upon-thames, westminster, hillingdon, tower-hamlets, islington, bexley, enfield, southwark, hounslow, croydon, lambeth, sutton, wandsworth, kensington-and-chelsea, barnet, merton, lewisham, hackney, camden, haringey, city-of-london, bromley, redbridge, harrow, waltham-forest, barking-and-dagenham",snowflake,Medium,Topics: housing. Last updated: 2022-12-01.
Ealing residential pipeline,2oz65,The residential pipeline for the London Borough of Ealing as at 31st March 20222. The data was extracted from the Planning London Datahub on 29/11/2022 and...,The residential pipeline for the London Borough of Ealing as at 31st March 20222. The data was extracted from the Planning London Datahub on 29/11/2022 and is subject to further checking.,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2oz65,Open Data Commons Open Database License (ODbL) — http://www.opendefinition.org/licenses/odc-odbl,One off,SPREADSHEET,UNKNOWN,UNKNOWN,Coordinates,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: housing, planning. Last updated: 2022-11-29."
