title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
GLA cost of living polling,2465n,Opinions of Londoners are at the heart of policy making at the Greater London Authority (GLA). City Hall conducts regular research with Londoners to provide...,"Opinions of Londoners are at the heart of policy making at the Greater London Authority (GLA). City Hall conducts regular research with Londoners to provide evidence and insight into public opinion and behaviours, in order to support effective and impactful policy making and the development of strategies and programmes of work. These pages detail the latest research conducted by the GLA on public attitudes and behaviours in relation to the cost of living in 2022. All figures, unless otherwise stated, are from YouGov Plc on behalf of the GLA. The surveys were carried out online. The figures have been weighted and are representative of all London adults (aged 18+).",Demographics,GLA Opinion Research,https://data.london.gov.uk/dataset/2465n,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Six-monthly,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,costofliving,snowflake,Medium,"Topics: income-poverty-welfare, transparency. Last updated: 2025-08-20."
London Civic Strength Index,v8651,"Co-designed and co-created with Londoners, the Civic Strength Index was developed by The Young Foundation in 2021 and funded by the GLA. It helps London...","Co-designed and co-created with Londoners, the Civic Strength Index was developed by The Young Foundation in 2021 and funded by the GLA. It helps London boroughs and organisations support discussions about the strengths of their communities and consider how to build on them. Following expert review by WPI Economics, a second version of the index, with updated data and a more robust methodology, debuted in 2023. The index has now been updated for a third time by GLA City Intelligence in 2025 with updated data, and following the robust data management principles set out in the second version. The underlying source data and methodological note to accompany this third iteration are available to download below. Interested in seeing how your neighbourhood scores in civic strength? Please visit o",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8651,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"HTML, PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2025-08-20.
Average Childcare Costs in London,24yn6,"The average weekly costs of childcare for children aged under 2, children aged 2 and over, and after school care. This data is presented for London, England...","The average weekly costs of childcare for children aged under 2, children aged 2 and over, and after school care. This data is presented for London, England and Great Britain (where available). Figures on the summary worksheet are indicative only based on calculating a simple, unweighted average of the relevant constituent figures. All other data is as extracted from the Family and Childcare Trusts's Childcare survey. This dataset is one of the Greater London Authority's measures of Economic Fairness. Click here to find out more.",Demographics,Family and Childcare Trust,https://data.london.gov.uk/dataset/24yn6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,2016-01 to 2025-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,economic-fairness,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2025-07-21.
Adults with access to bank accounts,e55j0,Percentage of adults living in London with at least one bank account. This dataset is one of the Greater London Authority's measures of Economic Fairness....,Percentage of adults living in London with at least one bank account. This dataset is one of the Greater London Authority's measures of Economic Fairness. Click here to find out more.,Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/e55j0,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2016-04 to 2023-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,economic-fairness,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2024-05-21.
"Families with savings under £1,500",2nlzy,"Percentage of families with less than £1,500 in savings. This dataset is one of the Greater London Authority's measures of Economic Fairness. Click here to...","Percentage of families with less than £1,500 in savings. This dataset is one of the Greater London Authority's measures of Economic Fairness. Click here to find out more.",Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/2nlzy,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2016-04 to 2023-03,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,economic-fairness,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2024-05-20.
Problem Debt,20prk,Number and percent of families in arrears on at least one household bill. This dataset is one of the Greater London Authority's measures of Economic...,Number and percent of families in arrears on at least one household bill. This dataset is one of the Greater London Authority's measures of Economic Fairness. Click here to find out more.,Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/20prk,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2016-04 to 2023-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,economic-fairness,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2024-05-20.
Children in low income families,vqzpn,About the dataset This dataset uses information from the DWP benefit system to provide estimates of children living in poverty for wards in London. In order...,"About the dataset This dataset uses information from the DWP benefit system to provide estimates of children living in poverty for wards in London. In order to be counted in this dataset, a family must have claimed Child Benefit and at least one other household benefit (Universal Credit, tax credits or Housing Benefit) during the year. The numbers are calibrated to the Households Below Average Income (HBAI) dataset used to provide the government's headline poverty statistics. The definition of relative low income is living in a household with equivalised* income before housing costs (BHC) below 60% of contemporary national median income. The income measure includes contributions from earnings, state support and pensions. Further detail on the estimates of dependent children living in relat",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vqzpn,UNKNOWN,Annual,SPREADSHEET,UNKNOWN,2014-04 to 2023-03,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2024-05-02.
Benefits Analysis,2k5yr,,UNKNOWN,Demographics,GLA SR Dashboard,https://data.london.gov.uk/dataset/2k5yr,Open Data Commons Public Domain Dedication and License (PDDL) — http://www.opendefinition.org/licenses/odc-pddl,Unknown,CSV,UNKNOWN,2020-01 to 2023-12,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"borough-economic, benefits",snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2024-01-31.
Afghan Emergency Response Survey,2w45z,This dataset presents results of a four-weekly questionnaire sent to a cohort of organisations working directly with Afghan communities in London. The first...,"This dataset presents results of a four-weekly questionnaire sent to a cohort of organisations working directly with Afghan communities in London. The first two surveys, beginning October 2021, were run as pilots to help inform our approach and aimed to engage voluntary, community and faith sector organisations. Wave three, to be launched in January 2022, will be open to a wider group of stakeholders and focus specifically on organisations supporting Afghans living temporarily in bridging hotels. The results are being used to contribute to the collective understanding of the needs of Afghan arrivals in our city. The cohort is being recruited using existing contacts held by the Greater London Authority, and ‘snowball’ sampling, i.e. organisations are asked to forward the invitation to parti",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w45z,UNKNOWN,Monthly,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Afghan Survey, Refugees, Afghan community response",snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2022-02-23.
Families unable to meet unexpected bills,2y5yq,Percentage of families not able to meet unexpected but necessary bill of £800. This dataset is one of the Greater London Authority's measures of Economic...,Percentage of families not able to meet unexpected but necessary bill of £800. This dataset is one of the Greater London Authority's measures of Economic Fairness. Click here to find out more.,Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/2y5yq,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2014-04 to 2017-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,economic-fairness,snowflake,Medium,Topics: income-poverty-welfare. Last updated: 2018-09-20.
