title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Borough Council Election Results 2010,e64qp,"London Borough Council Elections - 6 May 2010 With the aim of making the democratic process as transparent as possible to the London electorate, this report...","London Borough Council Elections - 6 May 2010 With the aim of making the democratic process as transparent as possible to the London electorate, this report includes a great deal of detail on every aspect of the 2010 London Borough council general elections. No other single volume presents the full results and election statistics from the 32 London boroughs enabling the reader to analyse and compare the results across London in one place. The report presents data for every candidate in every ward (excluding the City of London which operates on a different electoral model). Summaries are provided in the form of maps and tables, and to make comparisons easier, they mostly match those included in the 2006 report with a few useful additions. Results of all council by-elections between the gene",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e64qp,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,"CSV, PDF, SPREADSHEET",UNKNOWN,2010-01 to 2010-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"elections, candidate, wards, voting, poll, turnout, party",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
General Election Results 2010,208g1,"The results for each candidate standing in all 73 seats in Greater London. The results presented here include turnout, majority and percentage of vote for...","The results for each candidate standing in all 73 seats in Greater London. The results presented here include turnout, majority and percentage of vote for each candidate that stood in the election that took place on 6 May 2010. A summary of demographic and related data for each Westminster Parliamentary constituency in Greater London can be found in the GLA's recent Constituency Profiles .",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/208g1,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, SPREADSHEET",UNKNOWN,2005-01 to 2010-12,Parliamentary Constituency,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"parliament, voting, constituency, poll, elections, turnout",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
Polling Stations in London for 2010 Local & General Elections,e18rk,"Please note, this dataset is currently not complete. Details for all remaining polling stations along with GIS co-ordinates for each station will be added...","Please note, this dataset is currently not complete. Details for all remaining polling stations along with GIS co-ordinates for each station will be added shortly. As of 19/04/2010, there are polling station locations for 24 of the 33 local authorities in London.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e18rk,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, SPREADSHEET",UNKNOWN,2010-01 to 2010-12,Unit Postcode,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"elections, councils, polling-stations",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
TfL Investment Programme 2009/10 to 2017/18,2l4wg,TfL's Investment Programme will deliver £35bn of improvements across London's transport network. The Investment Programme is based around the key priorities...,TfL's Investment Programme will deliver £35bn of improvements across London's transport network. The Investment Programme is based around the key priorities described in the Mayor's Transport Strategy (published for consultation in October 2009). The data profiles the expenditure associated with the projects that make up the Investment Programme.,Other,Transport for London (TfL),https://data.london.gov.uk/dataset/2l4wg,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Quarterly,CSV,UNKNOWN,2009-01 to 2018-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"transport, travel, investment",snowflake,Medium,"Topics: transparency, transport. Last updated: 2014-07-04."
TfL Business Plan 2009/10 to 2017/18,vqnll,Data incorporated in Transport for London's Business Plan. TfL's Business Plan sets out how TfL will improve and expand London's transport network over the...,Data incorporated in Transport for London's Business Plan. TfL's Business Plan sets out how TfL will improve and expand London's transport network over the next 10 years. It defines the priorities and programmes to be delivered over the period of TfL’s funding settlement with Government. The data supports and describes the Plan's objectives. Data is currently available in Excel format. We are working to make this data available in CSV format.,Other,Transport for London (TfL),https://data.london.gov.uk/dataset/vqnll,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"HTML, SPREADSHEET",UNKNOWN,2009-01 to 2018-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"travel, business-plan, transport",snowflake,Medium,"Topics: transparency, transport. Last updated: 2014-07-04."
"Council Elections candidate results by ward, 2006",2ojzg,"Voting statistics for the local elections in 2006, includes data on each candidate. Data on turnout can also be accessed via the Excel spreadsheet. More...","Voting statistics for the local elections in 2006, includes data on each candidate. Data on turnout can also be accessed via the Excel spreadsheet. More borough level data from this election can be found here . This report gives a detailed breakdown of election facts and figures, including results, full ward voting statistics, a list of all candidates, and a number of maps. This is the latest in a series of publications on London elections dating back to 1964.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2ojzg,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, PDF, SPREADSHEET",UNKNOWN,2006-05 to 2006-05,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"poll, voting, wards, turnout, candidate, elections, council, party",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
GLA Establishment List,238n1,"List of all established posts in the GLA by directorate, department and grade.","List of all established posts in the GLA by directorate, department and grade.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/238n1,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,CSV,UNKNOWN,2010-01 to 2010-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"posts, staff, jobs, establishment",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
GLA Staff Turnover 2009,v88ow,"Number of employees in post together with starters, leavers and turnover. Figures have been rounded to the nearest whole number. Figures taken from GLA...","Number of employees in post together with starters, leavers and turnover. Figures have been rounded to the nearest whole number. Figures taken from GLA Workforce Report - an annual digest of employment data and statistics, year ending 30th September 2009.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v88ow,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,CSV,UNKNOWN,2008-10 to 2009-09,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"jobs, staff",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
Assembly Member Gifts and Hospitality Register,e68wz,"Register of any gift or hospitality worth £25 or over received by Assembly Members in connection with their official duties Since 12 September 2007, when...","Register of any gift or hospitality worth £25 or over received by Assembly Members in connection with their official duties Since 12 September 2007, when the Authority adopted a new Code of Conduct, any Member of the Authority or the Mayor must register with the Monitoring Officer any gift or hospitality worth £25 or over that he or she receives in connection with their official duties. Find out about London Assembly Members here.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e68wz,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,CSV,UNKNOWN,2014-10 to 2014-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"finance, assembly-members, gifts, hospitality",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
Council Elections Voters 2002,2zmwy,Numbers of votes by party for elections on 2 May 2002. Voters were able to make more than one vote.,Numbers of votes by party for elections on 2 May 2002. Voters were able to make more than one vote.,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2zmwy,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, PDF, SPREADSHEET",UNKNOWN,2002-01 to 2002-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"elections, party, poll, voting, turnout",snowflake,Medium,Topics: transparency. Last updated: 2014-07-04.
