title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Public Transport Journeys by Type of Transport,ep8ow,"Number of journeys on the public transport network by TFL reporting period, by type of transport. Data is broken down by bus, underground, DLR, tram,...","Number of journeys on the public transport network by TFL reporting period, by type of transport. Data is broken down by bus, underground, DLR, tram, Overground and cable car. Period lengths are different in periods 1 and 13, and the data is not adjusted to account for that. Docklands Light Railway journeys are based on automatic passenger counts at stations. Overground and Tram journeys are based on automatic on-carriage passenger counts. Reliable Overground journey numbers have only been available since October 2010. The IFS cloud cable car service began 28 June 2012. Weekly passenger statistics are available from the TFL website.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/ep8ow,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Monthly,"CSV, SPREADSHEET",UNKNOWN,2010-04 to 2026-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"cable-car, journeys, transport, buses, travel, london, network, tube, Westminster, Wandsworth, Waltham Forest, newham, greenwich, passengers",snowflake,Medium,Topics: transport. Last updated: 2026-02-19.
"Licensed Vehicles - Type, Borough",2l873,"Number of licensed vehicles (in thousands) at year end broken down by type including , cars, motor cycles, light goods, heavy goods, buses an coaches, and...","Number of licensed vehicles (in thousands) at year end broken down by type including , cars, motor cycles, light goods, heavy goods, buses an coaches, and Other. Vehicles are allocated to a local authority according to the postcode of the registered keeper. This is the keeper's address for privately owned vehicles or the company's registered address for company owned vehicles. Significant changes in the number of vehicles from year to year can often occur when a companies with a large number of vehicles change their registered address. Other vehicles includes rear diggers, lift trucks, rollers, ambulances, Hackney Carriages, three wheelers and agricultural vehicles. Data from DFT Table VEH0104 and VEH0105. https://www.gov.uk/government/collections/vehicles-statistics",Transportation,Department for Transport,https://data.london.gov.uk/dataset/2l873,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,1994-01 to 2024-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"southwark, hammersmith-and-fulham, bromley, brent, camden, barking-and-dagenham, islington, enfield, waltham-forest, lewisham, traffic, lambeth, wandsworth, richmond-upon-thames, car-ownership, hounslow, vehicle, kingston-upon-thames, hillingdon, ealing, croydon, merton, bexley, barnet, kensington-and-chelsea, vehicles, hackney, licensed, haringey, tower-hamlets, havering, city-of-london, westminster, harrow, transport, redbridge, greenwich, sutton, newham",snowflake,Medium,Topics: transport. Last updated: 2025-09-15.
"Traffic Flows, Borough",v8pow,Estimated traffic volume for cars and all vehicles by local authority since 1993 (kilometres). Million Vehicle Kilometres travelled by all motor vehicles...,Estimated traffic volume for cars and all vehicles by local authority since 1993 (kilometres). Million Vehicle Kilometres travelled by all motor vehicles and all cars in London. Data comes from the Department for Transport (DFT) National Road Traffic Survey. Definitions can be found here . https://www.gov.uk/government/collections/road-traffic-statistics https://www.gov.uk/government/statistical-data-sets/tra89-traffic-by-local-authority,Transportation,Department for Transport,https://data.london.gov.uk/dataset/v8pow,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,1993-01 to 2024-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"congestion, traffic, flows, vehicles",snowflake,Medium,Topics: transport. Last updated: 2025-09-11.
Number of Buses by Type of Bus in London,e791n,Number of buses in the TFL fleet by type of bus in London. The fleet size varies slightly from year to year in relation to the placing of route contracts....,Number of buses in the TFL fleet by type of bus in London. The fleet size varies slightly from year to year in relation to the placing of route contracts. The hydrogen fuel cell buses are also hybrid.,Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/e791n,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2010-01 to 2025-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"hybrid, diesel, buses, new-bus-for-london, routemaster, bus",snowflake,Medium,Topics: transport. Last updated: 2025-08-15.
London Underground Average Monthly Temperatures,epr8d,London Underground records temperatures across the Underground in order to inform our cooling initiatives. Platform temperatures on the deep Tube are...,"London Underground records temperatures across the Underground in order to inform our cooling initiatives. Platform temperatures on the deep Tube are routinely monitored using data loggers. Average monthly evening peak temperatures since 2013 are provided on this page. We are investing millions as part of a long-term programme to ensure we can deliver more services, and continue to introduce new trains to meet growing customer numbers whilst providing more comfortable journeys. We have implemented energy efficient solutions on new trains, which saves energy and reduces the heat generated. We have also removed heat from our station and tunnel environment by installing new ventilation or cooling solutions. On the Central line we have installed solar reflective material on the external surfac",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/epr8d,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,CSV,UNKNOWN,2013-01 to 2024-12,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transport. Last updated: 2025-04-23.
Baseline and post-scheme implementation traffic counts for London Borough of Lambeth,2lwg8,"Baseline and post-scheme implementation traffic count data for two Low Traffic Neighbourhood (LTN) schemes in the London Borough of Lambeth. Namely, the...","Baseline and post-scheme implementation traffic count data for two Low Traffic Neighbourhood (LTN) schemes in the London Borough of Lambeth. Namely, the Brixton Hill LTN and Streatham Wells LTN – the latter of which was suspended in March 2024. Datasets include traffic count data by mode, taken from Automatic Traffic Counters (ATCs) on roads within the scheme and on the boundaries. There is also turning count data from key junctions for each of the schemes. Baseline data was collected prior to the installation of each scheme and post-scheme data collection was undertaken in early 2024.",Transportation,London Borough of Lambeth,https://data.london.gov.uk/dataset/2lwg8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transport. Last updated: 2024-10-17.
"Licensed Vehicles - Numbers, Borough",2jk76,"Please note that, as of June 2024, this dataset is no longer being updated. Due to the Department of Transport no longer being able to provide this data....","Please note that, as of June 2024, this dataset is no longer being updated. Due to the Department of Transport no longer being able to provide this data. Trends of total number of Private or Light Goods vehicles at year end since 1997. Exempt: Disabled' are vehicles exempt from tax providing they are used by disabled people claiming the higher rate of the mobility component of Disability Living Allowance, War Pensioners Mobility Supplement or have an invalid carriage. This is not the same thing as disabled parking badges. PLG: Private or Light Goods vehicle (excludes heavy goods, buses and coaches). Numbers in this spreadsheet do not match those found in the DFT's ""Vehicle licensing statistics"" due to the DFT including all vehicles in their dataset including those exempt from tax. https://",Transportation,Department for Transport,https://data.london.gov.uk/dataset/2jk76,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,1997-01 to 2022-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"vehicles, type, cars, transport, licensed, traffic",snowflake,Medium,Topics: transport. Last updated: 2024-07-31.
Key Performance Indicators on the TFL Road Network,e1zzj,This dataset will no longer be updated. Selected key performance indicators on the TFL Road Network. Number of hours of Serious and Severe Disruption on the...,"This dataset will no longer be updated. Selected key performance indicators on the TFL Road Network. Number of hours of Serious and Severe Disruption on the road network by planned and unplanned status, journey time reliability, and total number of works undertaken on the road network. TLRN = TFL Road Network The maximum permissibile total number of road works allowed on the TLRN was capped at 3,250 for any one period, in Period 1 of 2013/14 until the end of the financial year 2014/15. This is a reduction of 13.4 per cent from the cap of 3,753 that applied from Period 7 2011/12 to the end of financial year 2012/13. The key measure for monitoring smoothing traffic flow is journey time reliability. It is defined as the percentage of journeys completed within an allowable excess of 5 minutes ",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/e1zzj,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Monthly,SPREADSHEET,UNKNOWN,2010-06 to 2018-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"boris, road-network, surface, bikes, road-works, cars, tlrn, roads, transport, traffic",snowflake,Medium,Topics: transport. Last updated: 2021-10-26.
Characteristics of Night Bus Users,2y9jq,"Breakdown of night and day bus users by gender, age, ethnicity, household income, disability, frequency and purpose of use. This dataset is included in the...","Breakdown of night and day bus users by gender, age, ethnicity, household income, disability, frequency and purpose of use. This dataset is included in the Greater London Authority's Night Time Observatory. Click here to find out more.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2y9jq,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,SPREADSHEET,UNKNOWN,2014-01 to 2014-12,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,nto,snowflake,Medium,Topics: transport. Last updated: 2020-10-08.
Trips made in London by time of day,2nw8y,"Trips made in London by time of day, mode share, purpose, gender and age. This dataset is included in the Greater London Authority's Night Time Observatory....","Trips made in London by time of day, mode share, purpose, gender and age. This dataset is included in the Greater London Authority's Night Time Observatory. Click here to find out more.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2nw8y,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,2018-01 to 2018-12,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,nto,snowflake,Medium,Topics: transport. Last updated: 2020-10-08.
