title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
City of London Planning Applications,city-of-london-planning-applications,Daily-updated register of all planning applications in the City of London with decision outcomes and status.,"Real-time dataset of all planning applications submitted to the City of London Corporation planning authority. Updated daily as applications are validated and decisions made. Includes application reference, site address, application type, agent/applicant details, and decision status. Accessible via data.gov.uk and the Planning London Datahub.",Real Estate,City of London Corporation,https://www.data.gov.uk/dataset/1ed5446f-ee15-4912-bd2b-e6dba0a2aa19/planning-applications18,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,"CSV, JSON",UNKNOWN,2010 to present,City of London,"Free bulk download, Free API",Application_Reference|text|Unique application ID;Site_Address|text|Property location;Application_Date|date|Submission date;Decision_Date|date|Outcome date;Application_Type|text|Type of application;Decision|text|Approved/Refused/Withdrawn,UNKNOWN,"planning applications,development,city of london,real estate,construction,permissions",both,High,Available from Planning London Datahub and data.gov.uk. Daily updates throughout decision-making process.
Barking and Dagenham Reduction and Recycling Plan,barking-dagenham-reduction-recycling-plan,Council waste reduction and recycling strategy and targets for London Borough of Barking and Dagenham 2023-2026.,"Local authority waste reduction and recycling plan detailing strategic actions and targets for cutting waste and increasing recycling rates for 2023-2026. Includes baseline waste data, recycling performance, targets, initiatives and implementation schedule. Aligns with the Mayor of London's targets to cut food waste by 50% per person and achieve 65% municipal waste recycling by 2030. Borough recycling rate was 32.8% as of 2023.",Environment,London Borough of Barking and Dagenham,https://data.london.gov.uk/dataset/barking-and-dagenham-reduction-and-recycling-plan-29xmy/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"PDF, Excel",UNKNOWN,2023 to 2026,London Borough of Barking and Dagenham,Free bulk download,Waste_Type|text|Classification of waste stream;Baseline_Tonnes|integer|2023 baseline weight;Recycling_Rate|percentage|Current recycling percentage;Target_2026|percentage|Target recycling rate;Initiative|text|Action to be taken;Responsibility|text|Department/partner responsible,UNKNOWN,"waste management,recycling,environment,sustainability,circular economy,waste reduction,tonnage,barking,dagenham",api,Medium,FORMAT: PDF — requires AI extraction. Government-mandated waste strategy. Current plan covers 2023-2026.
Bexley Census 2021 Demographics,bexley-census-2021-demographics,"ONS Census 2021 demographic data for Bexley by ward and LSOA covering population, ethnicity, and housing tenure.","Complete 2021 Census dataset for Bexley covering population, household composition, age structure, ethnicity, language spoken, migration status, and housing tenure. Available by ward and lower layer super output area. Includes population by age, ethnic group and household type with detailed cross-tabulations. Integrated into the Bexley Data Hub with interactive tools.",Demographics,London Borough of Bexley / Office for National Statistics,https://www.bexley.gov.uk/discover-bexley/bexley-data-hub/census-2021,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One-off,"CSV, Excel, Interactive Tool",UNKNOWN,Census 2021,London Borough of Bexley by ward and LSOA,Free bulk download,Area_Code|text|ONS geography code;Area_Name|text|Ward or LSOA name;Total_Population|integer|All persons;Age_0_4|integer|Population aged 0-4;Ethnic_Group|text|Ethnicity classification;Language|text|Main language spoken at home;Tenure|text|Housing tenure type,UNKNOWN,"census 2021,demographics,population,household,age,ethnicity,housing,migration,bexley",snowflake,High,Official Census 2021 data. Available by multiple geographic levels via Bexley Data Hub.
Bexley Property Asset Map,bexley-property-asset-map,"Interactive map and schedule of all properties where Bexley Council holds an interest, excluding social housing.","Transparency Code compliant dataset of all properties where Bexley Council holds an interest, excluding social housing and highway land. Interactive map interface shows property locations. Available as downloadable schedule and alternative formats upon request. Published in line with Local Government Transparency Code 2015 requirements.",Real Estate,London Borough of Bexley,https://www.bexley.gov.uk/services/planning-and-building-control/property-assets/property-asset-map,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Irregular,"Interactive Web Map, Excel",UNKNOWN,Current,London Borough of Bexley,Free bulk download,Property_ID|text|Unique identifier;Address|text|Full property address;Postcode|text|Postal code;Interest_Type|text|Nature of council interest;Value|currency|Estimated property value;Usage|text|Primary use of property,UNKNOWN,"property assets,land,council assets,real estate,transparency,location,mapping,bexley",snowflake,Medium,Complies with Local Government Transparency Code 2015. Contact propertyservices@bexley.gov.uk for GIS formats.
Brent Council Expenditure — What We Spend,brent-council-expenditure,Quarterly council expenditure data for all Brent Council transactions over £500 by supplier and service area.,"Transparency Code compliant dataset showing all Brent Council spending above £500 threshold, published quarterly. Includes payment date, supplier/beneficiary details, transaction amount and description of goods/services. Personal data redacted. Three years of historical data maintained. Published in line with Local Government Transparency Code 2015.",Other,London Borough of Brent,https://data.brent.gov.uk/dataset/vq756/what-we-spend,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"CSV, Excel",UNKNOWN,2022 to present,London Borough of Brent,Free bulk download,Date|date|Transaction date;Supplier_Beneficiary|text|Name of service provider (personal data redacted);Amount|currency|Payment amount in GBP;Description|text|Nature of transaction;Department|text|Council department responsible,UNKNOWN,"council spending,transparency,expenditure,procurement,budget,public money,brent",snowflake,High,Includes Government Procurement Card Transactions separately. Historical data covers 3 years.
Brent Council Contracts and Tenders,brent-contracts-and-tenders,"Full record of contracts awarded by Brent Council including supplier, value, duration, and service description.","Complete record of contracts entered into by Brent Council showing award date, contract duration, supplier details, contract value, and description of goods/services provided. Data available from 2012 onwards via ProContract procurement portal. Includes major and minor contracts. Also published on UK Contracts Finder for contracts over £25,000.",Other,London Borough of Brent,https://data.brent.gov.uk/dataset/contracts-and-tenders-29d41,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Weekly,"Excel, CSV",UNKNOWN,2012 to present,London Borough of Brent,Free bulk download,Contract_ID|text|Unique identifier;Supplier_Name|text|Contracted organisation;Award_Date|date|Contract award date;Contract_Value|currency|Total contract value;Contract_Duration|text|Period of contract;Description|text|Scope of goods/services,UNKNOWN,"contracts,procurement,tenders,suppliers,council spending,award value,brent",snowflake,High,Available via ProContract portal. Data extends to 2012. Overlaps with UK Contracts Finder for large contracts.
Bromley Housing Data Explorer,bromley-housing-data-explorer,"Interactive monthly housing market statistics for Bromley including prices, rentals and property stock data.","Comprehensive housing market dataset combining ONS median house prices, population estimates from Nomis, Council Tax property stock data from the Valuation Office Agency (1993-2024), and MHCLG net additional dwellings figures. Interactive explorer tool provides trends and comparisons. As of November 2025, average house price in Bromley stands at £534,000.",Real Estate,London Borough of Bromley / Open Innovations,https://open-innovations.github.io/housing/data/areas/E09000006/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV, JSON API, Interactive Web Tool",UNKNOWN,1993 to present,London Borough of Bromley,"Free bulk download, Free API",Month_Year|date|Reporting period;Median_House_Price|currency|Property price in GBP;Average_Rent|currency|Monthly rental value;First_Time_Buyer_Price|currency|FTB average price;Property_Stock|integer|Total dwellings;Population|integer|Estimated residents,UNKNOWN,"housing,real estate,house prices,rental,market data,property,bromley,affordability",both,High,"Combines ONS, VOA and MHCLG data sources. House prices updated monthly. Rental data published quarterly."
Croydon Insurance Claims Against Council,croydon-insurance-claims,"FOI dataset of all insurance claim payments made by Croydon Council for public liability, employer liability and motor claims.","Freedom of Information dataset of all insurance claim payments made by Croydon Council for Public Liability, Employer Liability and Third Party Motor claims from 1 January 2007 to 8 March 2019. Individual payments itemised separately as claims may have multiple payments. Includes legal costs (third party and council) and compensation amounts. Sourced from Council Insurance Management System JCAD LACHS.",Legal,London Borough of Croydon,https://www.croydon.gov.uk/council-and-elections/make-comment-or-complaint-and-have-your-say/insurance-claims-against-council/insurance-claim-payments-foi-dataset,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One-off,Excel,UNKNOWN,January 2007 to March 2019,London Borough of Croydon,Free bulk download,Claim_ID|text|Unique claim identifier;Claim_Type|text|Public/Employer/Motor liability;Claim_Date|date|Incident date;Payment_Date|date|When payment made;Payment_Amount|currency|Amount paid in GBP;Legal_Costs|currency|Associated legal costs;Compensation|currency|Compensation to claimant,UNKNOWN,"insurance claims,liability,compensation,foi,transparency,legal costs,croydon",snowflake,Low,Historical dataset — no updates since 2019. Includes data dictionary explaining fields and acronyms.
Ealing Housing Data,ealing-housing-data,"Interactive housing data, maps and key statistics showing housing conditions, prices, and tenure in Ealing by ward.","Comprehensive housing dataset for Ealing borough including interactive maps, key statistics, reports and ward/area profiles. Data sourced from nationally recognised sources covering property types, prices, tenure, affordability, supply and housing quality. Interactive visualization tools allow area-level filtering and trend analysis. Part of joint Ealing Data platform initiative.",Real Estate,London Borough of Ealing,https://data.ealing.gov.uk/housing/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"CSV, Interactive Web Tool",UNKNOWN,2015 to present,London Borough of Ealing by ward,Free bulk download,Ward_Name|text|Electoral ward;Average_Price|currency|Mean property value;Affordability_Ratio|decimal|Price to income ratio;Tenure|text|Ownership type;Property_Type|text|House/flat/other;Bedrooms|integer|Number of bedrooms,UNKNOWN,"housing,ealing,property,affordability,prices,tenure,local areas,statistics",snowflake,Medium,"Part of Ealing Data platform funded by Ealing Council, A2Dominion, Catalyst, Met Police, West London Business."
Enfield Planning Applications Register,enfield-planning-applications,Searchable register of all planning applications submitted to Enfield Council with decision outcomes and documents.,"Comprehensive dataset of all planning applications submitted to the London Borough of Enfield. Includes application details, decision status, and supporting documents. The planning register contains records dating back to 1948, with online documents primarily available from 2006. Data is continuously updated and also available via the national planning.data.gov.uk API.",Real Estate,London Borough of Enfield,https://www.enfield.gov.uk/services/planning/the-planning-register,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,"Web portal, REST API",UNKNOWN,1948 to present,London Borough of Enfield,Free API via planning.data.gov.uk,application_reference|text|Unique application identifier;application_date|date|Date application submitted;location_address|text|Property address;proposal_description|text|Description of proposed works;decision_status|text|Approved/Refused/Pending;decision_date|date|Date decision made,UNKNOWN,"planning,development,applications,permissions,enfield,building",api,High,Records to 1948; online documents from 2006. Also available via national planning.data.gov.uk platform.
