title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
FCA Financial Services Register,fca-financial-services-register,Public record of all FCA-authorised firms and individuals in the UK financial services sector.,"The Financial Services Register is the FCA's public record of authorised and regulated firms and individuals. It contains registration status, permissions, contact details and key personnel. Used by consumers, compliance teams and fintechs to verify firm authorisation. Data spans 50+ years. Updated daily. Bulk extracts available via the Register Extract Service (commercial licence).",Financial Regulation,Financial Conduct Authority,https://register.fca.org.uk/s/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,Web search; CSV/XML via bulk extract,"~90,000 firms",Current register,United Kingdom,Free web search; bulk extract requires commercial licence,firm_reference_number|string|Unique FCA reference;firm_name|string|Registered name;status|string|Authorised/Cancelled/Suspended;address|string|Principal place of business;permissions|string|Regulated activities permitted,"123456|Barclays Bank PLC|Authorised|1 Churchill Place London E14 5HP|Accepting deposits,Issuing e-money","fca,financial services,regulated firms,authorisation,compliance,register,fintech",api,High,Bulk extract (Register Extract Service) requires commercial licence via Spectrum Data Management. Free web search available. High priority for fintech and compliance use cases.
FCA Financial Instruments Reference Data (FIRDS),fca-firds,"Reference data for all financial instruments traded on UK venues, including ISINs, LEI codes and instrument classifications.","FIRDS contains instrument reference data for all traded instruments on UK trading venues. Covers ISIN codes, LEI codes, instrument names, trading venue identifiers, and MiFID II classification data. Full and delta files published daily by 9am UTC. Essential for trade reporting, compliance, and market surveillance. ~5 million instrument records.",Financial Regulation,Financial Conduct Authority,https://data.fca.org.uk/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,"XML, JSON",~5 million instruments,Current; daily deltas,United Kingdom,Free bulk download,isin|string|International Securities Identification Number;instrument_full_name|string|Full name of instrument;trading_venue_id|string|MIC code of trading venue;cfi_code|string|Classification of Financial Instruments;lei|string|Legal Entity Identifier of issuer,GB00B16GWD56|Barclays PLC Ordinary Shares|XLON|ESVUFR|2138003WJCQKSNBJ13,"fca,financial instruments,isin,lei,mifid,trading,securities,reference data",api,High,Critical for financial data infrastructure. Full file plus daily delta files available.
FCA Mortgage Lending Statistics,fca-mortgage-lending-statistics,"Quarterly residential mortgage lending data including advances, loan-to-value ratios and borrower risk profiles.","Published quarterly by the FCA, this dataset covers residential mortgage advances, outstanding balances, borrower income multiples, loan-to-value bands, repayment types and arrears. Covers all FCA-regulated mortgage lenders. Used by property analysts, economists and policymakers. Data from Q1 2007 to present.",Financial Regulation,Financial Conduct Authority,https://www.fca.org.uk/data/mortgage-lending-statistics,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"Excel, CSV",Quarterly aggregate tables,Q1 2007 to present,United Kingdom,Free download,quarter|date|Reporting quarter;gross_advances_count|integer|Number of new mortgage advances;gross_advances_value_gbp|float|Value of new advances in GBP;ltv_band|string|Loan-to-value band;borrower_type|string|First-time buyer/home mover/remortgage,2024-Q4|123456|£34.2bn|75-80%|First-time buyer,"mortgages,lending,housing,fca,loan-to-value,property,finance,interest rates",snowflake,High,Strong signal for London housing market analysis. Borough-level breakdowns not available but UK regional data included.
Ofcom Connected Nations Report Data,ofcom-connected-nations,UK broadband and mobile network coverage maps with speeds and availability by geography.,"Annual and interim Connected Nations reports provide detailed broadband and mobile network coverage data for the UK. Includes fixed broadband availability by technology (FTTP, DOCSIS, ADSL), average download/upload speeds, 4G and 5G outdoor coverage by operator. Data at postcode level in shapefiles. Used by ISPs, local authorities and Ofcom for coverage gap analysis.",Other,Ofcom,https://www.ofcom.org.uk/phones-and-broadband/coverage-and-speeds/connected-nations,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"Shapefiles, GeoJSON, CSV",~1.7 million postcodes,2012 to present,United Kingdom,Free download,postcode|string|Unit postcode;fttp_availability|boolean|Full fibre to premises available;avg_download_speed_mbps|float|Average download speed;4g_coverage|boolean|4G outdoor coverage;5g_coverage|boolean|5G outdoor coverage,EC1A 1BB|True|500.2|True|True,"broadband,telecoms,mobile,coverage,5g,4g,fibre,ofcom,connectivity,digital infrastructure",snowflake,High,Postcode-level data. Strong use case for digital infrastructure analysis across London boroughs.
Ofcom Telecoms and Pay-TV Complaints,ofcom-telecoms-complaints,"Quarterly complaints data against major UK telecoms and pay-TV providers per 100,000 subscribers.","Ofcom publishes quarterly complaints data showing complaint volumes per 100,000 customers for the largest telecoms and pay-TV providers, covering broadband, landline, mobile and pay-TV services. Allows comparison of provider performance. Data published since May 2015.",Other,Ofcom,https://www.ofcom.org.uk/research-and-data/telecoms-research/complaints-data,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,CSV,Quarterly summary tables,May 2015 to present,United Kingdom,Free download,"quarter|date|Reporting quarter;provider|string|Telecoms provider name;service_type|string|Broadband/Landline/Mobile/Pay-TV;complaints_per_100k|float|Complaints per 100,000 customers",2024-Q4|BT|Broadband|18,"ofcom,telecoms,complaints,broadband,mobile,consumer,pay-tv,service quality",snowflake,Medium,
Ofcom UK Spectrum Awards,ofcom-spectrum-awards,Complete spectrum allocation data showing who holds licences across the UK's radio frequency spectrum.,"Dataset of all spectrum awards and licences across the UK radio frequency spectrum from 8.3kHz to 275GHz. Powers the Ofcom Interactive Spectrum Map. Contains licence holder, frequency band, geographic area and award date. Useful for telecoms infrastructure planning and spectrum analysis.",Other,Ofcom,https://www.data.gov.uk/dataset/a9ce41ce-d712-4208-a341-c97234eb4509/spectrum-awards,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Irregular,"JSON, XML",Thousands of licence records,Historical to present,United Kingdom,Free download,licence_id|string|Ofcom licence identifier;licence_holder|string|Name of licence holder;frequency_from_mhz|float|Lower frequency bound;frequency_to_mhz|float|Upper frequency bound;geographic_area|string|Coverage area,1234567|EE Limited|700.0|800.0|National,"spectrum,radio,telecoms,ofcom,frequency,5g,4g,wireless,infrastructure",snowflake,Low,
ORR Passenger Rail Performance Statistics,orr-passenger-rail-performance,"Quarterly punctuality, reliability and delay statistics for mainline passenger train operators in Great Britain.","The ORR Data Portal publishes quarterly and 4-weekly rail performance statistics covering percentage of trains on time, cancellations, and delay minutes by cause. Data available by operator, line, and individual station. Covers all mainline passenger franchises. Used by rail operators, DfT and passengers to assess service quality.",Transportation,Office of Rail and Road,https://dataportal.orr.gov.uk/statistics/performance/passenger-rail-performance/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"JSON, XLSX, CSV",Quarterly by operator and route,2003 to present,Great Britain,Free download via data portal,period|date|Reporting period;operator|string|Train operating company;punctuality_pct|float|% trains on time;cancellations_pct|float|% trains cancelled;delay_minutes|integer|Total delay minutes attributed,2024-Q4|Elizabeth line|94.2|1.1|45230,"rail,trains,punctuality,delay,toc,orr,transport,performance,elizabeth line",snowflake,High,"Includes Elizabeth line, Overground, Thameslink — key for London transport analysis."
ORR Estimates of Station Usage,orr-station-usage,Annual passenger journey estimates for every railway station in Great Britain.,"Annual estimates of the number of passengers entering and exiting at every station on the national rail network in Great Britain. Based on ticket sales and survey data. Covers approximately 2,600 stations including all London terminals and commuter stations. Data published by ORR from ticket machine and barrier counts.",Transportation,Office of Rail and Road,https://dataportal.orr.gov.uk/statistics/usage/estimates-of-station-usage,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"XLSX, CSV","~2,600 stations",2004-05 to present,Great Britain,Free download,station_name|string|Name of railway station;station_code|string|3-letter CRS code;entries|integer|Passenger entries per year;exits|integer|Passenger exits per year;interchange|integer|Interchange journeys,London Waterloo|WAT|94000000|93500000|2100000,"rail,stations,passengers,footfall,orr,transport,commuting,london terminals",snowflake,High,
CAA UK Airport Statistics,caa-uk-airport-statistics,"Monthly and annual passenger, freight and aircraft movement statistics for 60+ UK airports.","The CAA publishes comprehensive aviation statistics for all UK airports with scheduled services. Covers passenger numbers by route, terminal and airline, aircraft movements, cargo tonnage and mail volumes. Data for Heathrow, Gatwick, Stansted, Luton and City Airport of particular relevance for London. Monthly data published with ~4-week lag.",Transportation,Civil Aviation Authority,https://www.caa.co.uk/data-and-analysis/uk-aviation-market/airports/uk-airport-data/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV, PDF",Monthly by airport and route,1990 to present,United Kingdom,Free download,airport|string|Airport name;month|date|Reporting month;pax_terminal|integer|Terminal passengers;pax_transit|integer|Transit passengers;cargo_tonnes|float|Total freight tonnes;atm_commercial|integer|Commercial aircraft movements,Heathrow|2024-12|6234000|12000|182000|42000,"aviation,airports,passengers,heathrow,gatwick,stansted,cargo,flights,caa",snowflake,High,
CQC Care Directory with Ratings,cqc-care-directory-ratings,Monthly download of all CQC-regulated care services in England with their latest inspection ratings.,"Complete directory of all health and social care services registered with the Care Quality Commission in England. Includes hospitals, care homes, GP practices, dental practices, home care agencies, hospices and more. Each record contains the latest CQC rating across five domains (Safe, Effective, Caring, Responsive, Well-led), location address, provider details and regulated activities. ~60,000 active locations.",Health,Care Quality Commission,https://www.cqc.org.uk/about-us/transparency/using-cqc-data,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"Excel, CSV","~60,000 registered locations",Current register with inspection history,England,Free bulk download,location_id|string|CQC location ID;location_name|string|Service name;postcode|string|Location postcode;location_type|string|Care home/Hospital/GP etc;overall_rating|string|Outstanding/Good/Requires Improvement/Inadequate,1-123456789|St Mary's Nursing Home|SW1A 1AA|Care home|Good,"cqc,care homes,hospitals,gp,health,social care,ratings,inspection,nursing,london",snowflake,High,Filter by postcode for London coverage. API also available — daily updates.
