title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
ONS Labour Market Statistics Time Series,ons-labour-market-statistics,"Monthly UK employment, unemployment, earnings and vacancy statistics including regional breakdowns.","The ONS Labour Market Statistics time series (dataset UNEM01) covers employment rates, unemployment rates, average weekly earnings, claimant count and vacancies for the UK and English regions including London. Monthly release with data back to the 1970s for some series. London-specific labour market indicators available. Published on the 3rd Tuesday of each month.",Demographics,Office for National Statistics,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourmarketstatistics/current,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV, XLSX",Hundreds of time series,1971 to present (varies by series),United Kingdom; English regions including London,Free download,cdid|string|Series identifier;title|string|Series description;date|date|Observation date;value|float|Statistical value;unit|string|Unit of measurement,MGSX|Employment rate aged 16-64|2024-12|75.1|%,"employment,unemployment,earnings,vacancies,labour market,ons,london,economy",snowflake,High,
ONS Consumer Price Inflation Time Series (MM23),ons-cpi-mm23,"Monthly CPI, CPIH and RPI inflation indices and component series for the UK.","The ONS MM23 dataset contains all CPI, CPIH and RPI series including headline rates, component indices and special aggregates. Over 1,000 individual series. Includes housing costs (owner-occupier costs in CPIH), London cost of living indicators and detailed category breakdowns. Published monthly with a full history back to 1988 (CPI) and 1947 (RPI).",Demographics,Office for National Statistics,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/consumerpriceindices/current,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV (23MB), XLSX (20MB)","1,000+ time series",1947 to present (RPI); 1988 (CPI),United Kingdom,Free download,cdid|string|Series code;description|string|Series title;date|date|Month/quarter;value|float|Index value or rate,D7BT|CPI INDEX 00: ALL ITEMS 2015=100|2024-12|133.6,"inflation,cpi,rpi,prices,cost of living,ons,economy,housing costs,basket",snowflake,High,
ONS Regional Gross Domestic Product — Local Authorities,ons-regional-gdp-local-authorities,Annual GDP estimates for all UK local authorities including all 32 London boroughs and the City of London.,ONS Regional Accounts GDP data providing annual gross value added (GVA) and GDP estimates at current prices and chained volume measures for all UK local authorities. Includes London boroughs broken down by sector (10 broad industry groups). The City of London consistently shows very high per-capita GVA due to its financial services concentration. Data from 1998.,Demographics,Office for National Statistics,https://www.ons.gov.uk/economy/grossdomesticproductgdp/datasets/regionalgrossdomesticproductlocalauthorities,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"CSV, XLSX",Annual by ~380 local authorities,1998 to present,United Kingdom; all London boroughs,Free download,la_code|string|Local authority code;la_name|string|Local authority name;year|integer|Reference year;gva_current_gbp_m|float|GVA at current prices £m;gdp_current_gbp_m|float|GDP at current prices £m,E09000001|City of London|2022|67890|68100,"gdp,gva,economy,local authorities,london boroughs,ons,regional accounts,output",snowflake,High,
ONS Census 2021 Bulk Data Download,ons-census-2021-bulk,Complete 2021 Census microdata and aggregate tables for England and Wales at all geographic levels.,"The 2021 Census bulk data download via Nomis provides all published census tables for England and Wales. Available at output area, LSOA, MSOA, local authority, region and national level. Covers population by age, sex, ethnicity, religion, country of birth, occupation, housing tenure, health, disability and travel to work. London-specific tables available with borough-level breakdowns across all topics.",Demographics,Office for National Statistics,https://www.nomisweb.co.uk/sources/census_2021_bulk,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One-off (2021 snapshot),CSV,Billions of cell values across 700+ tables,Census night 21 March 2021,England and Wales; London boroughs,Free bulk download via Nomis,geography_code|string|ONS area code;geography_name|string|Area name;variable|string|Census variable description;count|integer|Population count;percentage|float|% of area population,E09000001|City of London|Usual residents|9143|100,"census,population,demographics,ethnicity,housing,travel to work,ons,london,2021",snowflake,High,
ONS Business Demography UK,ons-business-demography,"Annual births, deaths and survival rates of UK businesses by geography, industry and size band.","ONS Business Demography provides annual statistics on business births, deaths, survivals and active enterprises by local authority, industry (SIC 2007) and employment size band. Covers London boroughs individually. A key dataset for understanding entrepreneurship, business churn and economic dynamism. Part of the UK Business Counts series on Nomis.",Demographics,Office for National Statistics,https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/datasets/businessdemographyreferencetable,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"CSV, XLSX",Annual by ~400 local authorities and 500 SIC codes,2004 to present,United Kingdom; all London boroughs,Free download,area_code|string|Geographic area code;area_name|string|Area name;year|integer|Reference year;sic_section|string|Industry section;births|integer|New business registrations;deaths|integer|Business deregistrations;active|integer|Active enterprises,E09000013|Hammersmith and Fulham|2022|K|1234|987|8900,"business,startups,enterprise,births,deaths,survival,ons,london,sme,economy",snowflake,High,
Companies House Free Company Data Product,companies-house-free-data,Monthly bulk download of basic data for all 5+ million live and dissolved UK companies.,"The Companies House Free Company Data Product provides a downloadable snapshot of basic company information for all companies on the UK register. Includes company name, registered address, company number, incorporation date, company type, status (active/dissolved), SIC codes and filing dates. Over 5 million companies across multiple CSV files. Updated monthly.",Corporate Registries,Companies House,https://download.companieshouse.gov.uk/en_output.html,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,CSV (ZIP),5+ million companies,Current snapshot; dissolution history included,United Kingdom,Free bulk download,CompanyNumber|string|Unique company number;CompanyName|string|Registered company name;RegAddress.PostCode|string|Registered office postcode;CompanyStatus|string|Active/Dissolved/Liquidation;SICCode.SicText_1|string|Primary SIC activity description,00000006|MARINE COAST LTD|CF14 3UZ|Active|41100 - Development of building projects,"companies house,company register,business,incorporation,sic codes,directors,london,uk",snowflake,High,
Companies House People with Significant Control (PSC) Data,companies-house-psc,Daily bulk download of beneficial ownership data for all UK companies — who owns and controls them.,"The PSC dataset from Companies House contains all beneficial ownership declarations made by UK companies. Each record identifies a person or entity with significant control (over 25% shares, voting rights or right to appoint directors). Includes name, nationality, country of residence, nature of control and date notified. Critical for anti-money laundering, compliance and ownership transparency research.",Corporate Registries,Companies House,https://download.companieshouse.gov.uk/en_pscdata.html,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,JSON,Millions of PSC records,2016 to present,United Kingdom,Free bulk download,company_number|string|Companies House number;name|string|PSC full name;nationality|string|Nationality;country_of_residence|string|Country of residence;nature_of_control|string|Basis of significant control,12345678|John Smith|British|England|ownership-of-shares-75-to-100-percent,"beneficial ownership,psc,companies house,transparency,aml,ownership,control,shareholders",snowflake,High,"Highly valuable for AML, fraud and ownership transparency use cases."
HMRC Tax Receipts and NIC Monthly Bulletin,hmrc-tax-receipts-monthly,Monthly UK tax receipt statistics covering all major taxes and National Insurance contributions.,"HMRC publishes monthly tax receipts and National Insurance contribution data for all major UK taxes including Income Tax, Corporation Tax, VAT, Stamp Duty, Capital Gains, Inheritance Tax and NIC. Published on the 15th working day of each month. Time series from 1999. Essential for UK fiscal analysis and economic forecasting.",Other,HM Revenue & Customs,https://www.gov.uk/government/statistics/hmrc-tax-and-nics-receipts-for-the-uk,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"Excel, CSV",Monthly series per tax type,1999 to present,United Kingdom,Free download,tax_type|string|Type of tax;month|date|Reporting month;receipts_gbp_m|float|Receipts in £ millions;cumulative_ytd|float|Year-to-date cumulative receipts,"Income Tax|2024-12|£18,500m|£190,000m","hmrc,tax,corporation tax,vat,income tax,stamp duty,fiscal,receipts,uk economy",snowflake,High,
HMRC Quarterly Stamp Duty Land Tax Statistics,hmrc-sdlt-statistics,Quarterly Stamp Duty Land Tax receipts and residential/commercial transactions by geography and price band.,"HMRC publishes quarterly SDLT statistics covering transactions and receipts for residential and non-residential property in England and Northern Ireland. Breakdowns by property value band, buyer type (first-time buyer, additional dwelling), local authority and parliamentary constituency. Strong London coverage given high transaction values. From 2004.",Real Estate,HM Revenue & Customs,https://www.gov.uk/government/statistics/quarterly-stamp-duty-land-tax-sdlt-statistics,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"Excel, CSV",Quarterly tables by ~380 local authorities,2004 to present,England and Northern Ireland; all London boroughs,Free download,quarter|date|Reporting quarter;local_authority|string|LA name;property_type|string|Residential/Non-residential;transactions|integer|Number of transactions;receipts_gbp_k|float|SDLT receipts in £000s,"2024-Q4|City of Westminster|Residential|4500|£890,000","stamp duty,sdlt,property,housing,transactions,hmrc,london,real estate,first time buyers",snowflake,High,
HMLR Price Paid Data,hmlr-price-paid-data,Every residential and commercial property transaction in England and Wales registered with HMLR since 1995.,"The HM Land Registry Price Paid Dataset contains records of all property transactions completed in England and Wales and submitted to HMLR for registration since January 1995. Includes property address (with UPRN), price paid, transaction date, property type (detached/semi/terraced/flat), new build flag and freehold/leasehold status. Over 28 million records. Monthly updates.",Real Estate,HM Land Registry,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV, Text, Turtle (Linked Data)",28+ million transactions,January 1995 to present,England and Wales,Free bulk download,transaction_id|string|Unique transaction identifier;price|integer|Sale price in GBP;date|date|Transfer date;postcode|string|Property postcode;property_type|string|D/S/T/F (Detached/Semi/Terraced/Flat),{2A5B3C4D-5E6F-7A8B-9C0D-1E2F3A4B5C6D}|850000|2024-12-15|SW1A 1AA|F,"property,house prices,transactions,hmlr,land registry,real estate,london,residential",snowflake,High,
