title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Coronavirus (COVID-19) Deaths,2l19x,Due to changes in the collection and availability of data on COVID-19 this page will no longer be updated. The webpage will no longer be available as of 11...,"Due to changes in the collection and availability of data on COVID-19 this page will no longer be updated. The webpage will no longer be available as of 11 May 2023. On-going, reliable sources of data for COVID-19 are available via the COVID-19 dashboard, Office for National Statistics, and the UKHSA This page provides a weekly summary of data on deaths related to COVID-19 published by NHS England and the Office for National Statistics. More frequent reporting on COVID-19 deaths is now available here , alongside data on cases, hospitalisations, and vaccinations. This update contains data on deaths related to COVID-19 from: NHS England COVID-19 Daily Deaths - last updated on 28 June 2022 with data up to and including 27 June 2022. ONS weekly deaths by Local Authority - last updated on 16 Au",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2l19x,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Weekly,CSV,UNKNOWN,UNKNOWN,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: covid-19, demographics, health. Last updated: 2023-04-12."
Coronavirus (COVID-19) Weekly Update,e6yg0,"Dataset no longer updated: Due to changes in the collection and availability of data on COVID-19, this dataset is no longer updated. Latest information...","Dataset no longer updated: Due to changes in the collection and availability of data on COVID-19, this dataset is no longer updated. Latest information about COVID-19 is available via the UKHSA data dashboard . The UK government publish daily data, updated weekly, on COVID-19 cases, vaccinations, hospital admissions and deaths. This note provides a summary of the key data for London from this release. Data are published through the UK Coronavirus Dashboard , last updated on 23 March 2023. This update contains: Data on the number of cases identified daily through Pillar 1 and Pillar 2 testing at the national, regional and local authority level Data on the number of people who have been vaccinated against COVID-19 Data on the number of COVID-19 patients in Hospital Data on the number of peop",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e6yg0,UNKNOWN,Daily,CSV,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,COVID-19,snowflake,Medium,"Topics: covid-19, health. Last updated: 2023-03-29."
Coronavirus (COVID-19) Mobility Report,2j036,"Due to changes in the collection and availability of data on COVID-19, this website will no longer be updated. The webpage will no longer be available as of...","Due to changes in the collection and availability of data on COVID-19, this website will no longer be updated. The webpage will no longer be available as of 11 May 2023. On-going, reliable sources of data for COVID-19 are available via the COVID-19 dashboard and the UKHSA GLA Covid-19 Mobility Report Since March 2020, London has seen many different levels of restrictions - including three separate lockdowns and many other tiers/levels of restrictions, as well as easing of restrictions and even measures to actively encourage people to go to work, their high streets and local restaurants. This reports gathers data from a number of sources, including google, apple, citymapper, purple wifi and opentable to assess the extent to which these levels of restrictions have translated to a reductions ",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2j036,UNKNOWN,Weekly,"CSV, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Busyness, highstreetdata",snowflake,Medium,Topics: covid-19. Last updated: 2022-11-07.
GLA COVID-19 vaccine polling,2l1z3,"This page contains GLA public polling data on Londoners' attitudes towards the COVID-19 vaccine, including likelihood to take the vaccine. All figures,...","This page contains GLA public polling data on Londoners' attitudes towards the COVID-19 vaccine, including likelihood to take the vaccine. All figures, unless otherwise stated, are from YouGov Plc on behalf of the GLA. The surveys were carried out online. The figures have been weighted and are representative of all London adults (aged 18+).",Health,GLA Opinion Research,https://data.london.gov.uk/dataset/2l1z3,UNKNOWN,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,COVID-19,snowflake,Medium,Topics: covid-19. Last updated: 2022-06-07.
More than just education: A Participatory Action Research project on adult education in London,2gjdr,This is a Toynbee Hall report on adult education commissioned by the Greater London Authority (GLA) to inform the preparation of the Mayor’s Skills Roadmap...,This is a Toynbee Hall report on adult education commissioned by the Greater London Authority (GLA) to inform the preparation of the Mayor’s Skills Roadmap for London. For this project Toynbee Hall worked with a group of peer researchers who had lived experience of being part of one or more of the priority groups identified by the GLA as having the most to gain from adult education. Over the course of five months peer researchers co-designed and co-produced the research and conducted in-depth interviews with over 50 people from across London about how adult education services could be improved. For this project Toynbee Hall adopted a Participatory Action Research (PAR) approach. This style of research involves professional researchers and members of communities (peer researchers) working i,Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2gjdr,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: covid-19, education, employment-and-skills, income-poverty-welfare. Last updated: 2022-04-26."
Summaries of external research on COVID-19,2kn73,This newsletter series presents a digest of external research that the Greater London Authority (GLA) is making available for the benefit of external...,"This newsletter series presents a digest of external research that the Greater London Authority (GLA) is making available for the benefit of external stakeholders in tackling the COVID-19 crisis. The City Intelligence Unit at the GLA started to produce the newsletters in April, initially as an internal product for staff in the organisation and in its functional bodies. As from 2nd June, past and current issues have been made available for download. These summaries have been prepared under challenging circumstances and to short timescales. They are not intended to be comprehensive and exhaustive and the do not represent the full body of evidence on which Mayoral Policies are or will be based. Each briefing will offer short summaries and a deep dive into one or two topics.",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2kn73,UNKNOWN,Unknown,PDF,UNKNOWN,2020-04 to 2021-11,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: covid-19. Last updated: 2021-11-03.
Food access for night time workers,2yp6y,Qualitative research undertaken by the GLA's Opinion Research team in 2020. The research explored in-depth the experiences of those who work night shifts in...,"Qualitative research undertaken by the GLA's Opinion Research team in 2020. The research explored in-depth the experiences of those who work night shifts in London hospitals (nurses, student nurses, and cleaners); their access to food during these shifts; and their subsequent ability to maintain a healthy diet. The research report covers: Positives and negatives of working at night in a hospital Barriers to accessing healthy food for night time health workers The most effective interventions to support those who work at night maintain a healthy diet and lifestyle",Health,GLA Opinion Research,https://data.london.gov.uk/dataset/2yp6y,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: covid-19, health. Last updated: 2021-10-29."
Briefing: Demographic impact of Covid-19,2j0m6,"This briefing brings together a range of data published on the demographic impact of Covid19 to understand how the city has been affected, covering what is...","This briefing brings together a range of data published on the demographic impact of Covid19 to understand how the city has been affected, covering what is known about Covid-19 cases, before looking at mortality. It provides comparisons with other cities and explains some of the issues which affect the accuracy of such comparisons. And it summarises the emerging evidence of unequal impacts for different demographic groups, especially ethnicity and workers in particular occupations.",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2j0m6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: covid-19. Last updated: 2021-10-21.
Covid-19 and financial hardship in London,2g98r,"At the end of 2020 the GLA commissioned the University of Essex to a nalyse the impact on Londoners of the Covid-19 crisis, of the emergency policies put in...","At the end of 2020 the GLA commissioned the University of Essex to a nalyse the impact on Londoners of the Covid-19 crisis, of the emergency policies put in place since March 2020 and of some counterfactual policy options, including the continuation of the £20 weekly uplift in Universal Credit and Working Tax Credit. The researchers used UKMOD , the UK tax-benefit microsimulation model, to conduct their analysis.",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2g98r,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: covid-19, demographics, income-poverty-welfare. Last updated: 2021-09-24."
Coronavirus (COVID-19) Vaccine Roll Out,2zpdy,"Vaccinations in London Between 8 December 2020 and 15 September 2021 5,838,305 1st doses and 5,232,885 2nd doses have been administered to London residents....","Vaccinations in London Between 8 December 2020 and 15 September 2021 5,838,305 1st doses and 5,232,885 2nd doses have been administered to London residents. Differences in vaccine roll out between London and the Rest of England London Rest of England Priority Group Vaccinations given Percentage vaccinated Vaccinations given Percentage vaccinated Group 1 Older Adult Care Home Residents 21,883 95% 275,964 96% Older Adult Care Home Staff 29,405 85% 381,637 88% Group 2 80+ years 251,021 83% 2,368,284 93% Health Care Worker 174,944 99% 1,139,243 100%* Group 3 75 - 79 years 177,665 90% 1,796,408 99% Group 4 70 - 74 years 252,609 90% 2,454,381 97% Clinically Extremely Vulnerable 278,967 88% 1,850,485 95% Group 5 65 - 69 years 285,768 90% 2,381,250 97% Group 6 At Risk or Carer (Under 65) 983,379 7",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2zpdy,UNKNOWN,Monthly,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: covid-19. Last updated: 2021-09-16.
