title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
CLEVER Cities Survey South Thamesmead,2jyjl,"CLEVER Cities is an EU funded international project which aims to regenerate cities with the strategic planning approach called ""Nature-Based-Solutions...","CLEVER Cities is an EU funded international project which aims to regenerate cities with the strategic planning approach called ""Nature-Based-Solutions (NBS)."" It focuses on three main front-runner cities; London, Hamburg, and Milan, to learn from their hands-on experiences and local knowledge in implementing NBS approach. As part of the CLEVER Cities project, regenerations and improvements have been made and planned for South Thamesmead in London. This community survey aims to explore local residents' opinions of the regeneration and their local area, with a particular focus nature and outdoor spaces. The questionnaires covered the following topics: Neighbourhood, including regeneration Community and socialising Outdoors and nature Satisfaction with local area Agreement with statements ab",Public Safety,CLEVER Cities - London partners,https://data.london.gov.uk/dataset/2jyjl,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Street and Neighbourhood,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"NBS, Thamesmead, regeneration, planning, community, survey, nature, wellbeing, neighbourhood, outdoors, mental health, demographics, CLEVER Cities, Peabody, demographics, well being, social cohesion, clevercities, satisfaction",snowflake,Medium,"Topics: crime-and-community-safety, demographics, environment, housing, planning. Last updated: 2024-01-15."
Fatal fires in Greater London - Fire Facts,24yo6,This Fire Facts publication - first published in 2018 - provides a range of statistical data about fire deaths in London. It includes a time series of data...,"This Fire Facts publication - first published in 2018 - provides a range of statistical data about fire deaths in London. It includes a time series of data back to 1966, data for fire deaths by London borough, where people die, what causes the fires where people die, plus ethnicity and gender data about those who die in fires.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/24yo6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"PDF, SPREADSHEET",UNKNOWN,2000-01 to 2022-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, fire, fire death, gender, ethnicity",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2023-07-28."
LFB Statement of Assurance - supporting data,24yl6,"Each year, London's fire and rescue authority is required to prepare an annual Statement of Assurance (SoA) in accordance with the Fire and Rescue National...","Each year, London's fire and rescue authority is required to prepare an annual Statement of Assurance (SoA) in accordance with the Fire and Rescue National Framework for England. This is to "" provide annual assurance on financial, governance and operational matters "". The format of the Statement follows guidance produced by the government (May 2013). Governance of London's fire and rescue service changed on 1 April 2018, when the former London Fire and Emergency Planning Authority (LFEPA) was abolished and the London Fire Commissioner (LFC) became the fire and rescue authority for London. The LFC runs the London Fire Brigade (LFB). The SoAs for 2017/18 onwards will be approved by the LFC - see the LFC decisions page here ; SoAs up to and including 2016/17 were approved by the former LFEPA ",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/24yl6,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,PDF,UNKNOWN,UNKNOWN,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"LFB London Fire Brigade, fiire, LFEPA, emergency services",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2023-07-20."
Fires in Greater London - Fire Facts,e6wr9,Our Fire Facts report Fires in Greater London provides the most in depth review of fire data in LFB's 150 year history. The publicly available data (2000 to...,"Our Fire Facts report Fires in Greater London provides the most in depth review of fire data in LFB's 150 year history. The publicly available data (2000 to 2021) is divided into four sections: long term trends, where fires happen, fires in the home and fires in other buildings. The published Fire Facts is available on the LFB website. The underpinning data for the publication for the latest report is available in an Excel file. For data privacy /sensitivity reasons, the data does not include the real incident number so cannot (at present) be joined to other data for incidents available on the London Datastore.",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e6wr9,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"PDF, SPREADSHEET",UNKNOWN,2000-01 to 2022-12,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"fires, LFB London Fire Brigade, london fire commissioner",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2023-05-25."
LFB Payments over £250 - 2022/23,e66d9,This dataset is for 2022/23 (April 2022 to March 2023) only. See also: Data for 2021/22 Data for 2020/21 Data for 2019/20 Data for 2018/19 Data for 2017/18...,This dataset is for 2022/23 (April 2022 to March 2023) only. See also: Data for 2021/22 Data for 2020/21 Data for 2019/20 Data for 2018/19 Data for 2017/18 Data for 2016/17 and earlier Payments over £250 made by the London Fire Brigade* as part of the government and Mayor of London's transparency agenda. The Local Government Transparency Code 2015 requires the data to indicate VAT for payments which cannot be recovered; there are no such payments for LFB as all VAT is recoverable. The Local Government Transparency Code also requires a 'merchant category' to be added to payment details. LFB has ' ProClass ' data and this is added to published data. Please note that most of LFB suppliers and contractors currently have a ProClass classification but a small number of payments may not have a ‘m,Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e66d9,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2023-04-19."
Assessment of Local Risks supporting the London Safety Plan 2017,v8o87,This page is about the Assessment of Local Risks (AoLR) which supported the Brigade's London Safety Plan 2017 (LSP2017). This 2017 plan has now been...,"This page is about the Assessment of Local Risks (AoLR) which supported the Brigade's London Safety Plan 2017 (LSP2017). This 2017 plan has now been replaced by the Brigade's new Community Risk Management Plan (CRMP) - Your London Fire Brigade: our plan for 2023-29. This new plan, plus the Assessment of Risk which supports , it are available on the LFB website here . The 2017 Assessment of Local Risk was a public facing document, designed to help increase the understanding of how risk (from fire and other emergencies) in London has changed over time and how different elements combine together to give a picture of risk. The AoLR 2017 was not the only process the LFB uses to determine and provide its services, but it does give a high level overview which can be used to understand the basic c",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/v8o87,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"CSV, PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"LFB London Fire Brigade, fire and rescue service",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2023-04-11."
Incident response times - Fire Facts,e797n,This Fire Facts report sets out the key information on the response times to the 999 calls received by the London Fire Brigade. It includes data and...,This Fire Facts report sets out the key information on the response times to the 999 calls received by the London Fire Brigade. It includes data and analysis on the various stages of emergency response from how long it takes people to call the fire brigade when a fire starts to how long it takes to handle the 999 call and for fire engines to arrive on scene and resolve the incident. The methodology for counting fire engine response times changed slightly in 2015; see annex B to the 2017 document to see the methodology; Annex B to the 2016 documents highlights the changes that were made in 2015.,Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e797n,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Annual,"PDF, SPREADSHEET",UNKNOWN,2005-01 to 2022-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"fire, 999-calls, london-fire-brigade, lfepa, fire-engine-times, lfb, fire-brigade, london fire brigade",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2023-03-22."
Community Safety Risks,2y9pw,A live Power BI report that shows an overview of Community Safety metrics per London Borough (including fires as well as special service incidents). This...,"A live Power BI report that shows an overview of Community Safety metrics per London Borough (including fires as well as special service incidents). This report, which is updated daily, provides data to support the development of Community Safety Strategy Plans and helps to identify high risk key areas and monitor trends over time. If you have any questions about this tool please email data@london-fire.gov.uk",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2y9pw,UNKNOWN,Daily,HTML,UNKNOWN,UNKNOWN,Coordinates,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"fire brigade, community, community safety, LFB London Fire Brigade, fire safety risks",snowflake,Medium,"Topics: crime-and-community-safety, demographics, planning, transparency. Last updated: 2022-07-05."
LFB electronic Purchasing Card Solution (ePCS) transactions,2l8yg,*** Legacy data *** The Local Government Transparency Code 2015 requires that Local authorities publish details of every transaction on a Government...,"*** Legacy data *** The Local Government Transparency Code 2015 requires that Local authorities publish details of every transaction on a Government Procurement Card. GPC's were replaced with ePCS (electronic Purchasing Card Solution). The LFB made little use of either cards. As no procurement cards were in use after 2022, the LFB stopped reporting on this data. The London Fire Commissioner is the fire authority for Greater London and runs the London Fire Brigade (from 1 April 2018).",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/2l8yg,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Quarterly,"CSV, SPREADSHEET",UNKNOWN,2017-04 to 2018-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"suppliers, payments, expenditure, goods, spending, LFEPA, fire, services, spend, LFB, finance",snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2022-06-08."
"LFEPA Members’ gifts, hospitality and expenses",e551x,This is historic data for the Members of the former London Fire and Emergency Planning Authority (LFEPA) which was abolished on 31 March 2018. This data set...,"This is historic data for the Members of the former London Fire and Emergency Planning Authority (LFEPA) which was abolished on 31 March 2018. This data set is not updated. LFEPA ran the London Fire Brigade (LFB). Details of LFEPA members’ gifts and hospitality received during their time in office plus expenses claimed. Data is by financial year for previous years but by financial year quarter s for the current financial year . Data is updated within a month of the quarter end. It includes LFEPA M embers’ names, details of the item, and the value . I n the case of gifts and hospitality the value may be an estimate and, where relevant, is indicated as such. It is possible that items may be included in a subsequent financial year where the notification has been made close to the end of a pre",Public Safety,London Fire Brigade,https://data.london.gov.uk/dataset/e551x,Open Data Commons Public Domain Dedication and License (PDDL) — http://www.opendefinition.org/licenses/odc-pddl,One off,CSV,UNKNOWN,2017-06 to 2017-09,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,LFB London Fire Brigade,snowflake,Medium,"Topics: crime-and-community-safety, transparency. Last updated: 2022-04-12."
