title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Country of Birth Ward Tools (2011 Census),e553n,A set of tools created by the Census Information Scheme that allows users to explore data from 2011 Census Commissioned Table CT0226: Detailed Country of...,A set of tools created by the Census Information Scheme that allows users to explore data from 2011 Census Commissioned Table CT0226: Detailed Country of Birth by Ward. The excel tool allows users to explore the data in four different ways: Single Ward Table - a table of the top thirty countries of birth for the selected ward. Also produces a chart of same data. All Wards in Borough - a table of the top ten countries of birth in the selected borough broken down by each individual ward. Country Table - a table of ward distribution for the selected country in the selected borough. Includes a chart that shows the same data. Raw Data - All London data from Commissioned table CT0226 The tableau tool allows users to explore the distribution people born in a selected country using an interactive ,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/e553n,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"HTML, SPREADSHEET",UNKNOWN,UNKNOWN,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"tool, foreign, birth, country, ward, wards, excel, migrant, communities, census information scheme, map, community, nation, viz, 2011 Census, visualisation, immigrant, census, dashboard, interactive, immigrants, tableau, French, English, Irish, Chinese, Caribbean, Indian, Poland, Middle East, India, Nigerian, South American, Bangladeshi, USA, Romania, German, Ghana, European, American, Germany, Romanian, China, Jamaican, EU, France, Polish, British, African",snowflake,Medium,Topics: demographics. Last updated: 2018-11-20.
CIS Commissioned 2011 Census Tables,eprjg,In addition to the standard census outputs released by ONS data users can request specially commissioned tables of census data. These tables are released by...,In addition to the standard census outputs released by ONS data users can request specially commissioned tables of census data. These tables are released by ONS on an ongoing basis. Members of the London CIS should forward all commissioned tables requests to the CIS team in the first instance. The Census tables that make up this dataset have all been commissioned by the CIS on behalf of its members.,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/eprjg,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: demographics, employment-and-skills, housing, young-people. Last updated: 2018-05-09."
Detailed EU/EFTA Passport held - Ward Tool,23nd7,The Excel tool provides information on London's usual residents holding an EU/EFTA passport at ward level.,The Excel tool provides information on London's usual residents holding an EU/EFTA passport at ward level.,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/23nd7,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,One off,SPREADSHEET,UNKNOWN,UNKNOWN,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Census, passports, EFTA, EU",snowflake,Medium,Topics: demographics. Last updated: 2018-04-18.
Migration indicators briefings,em88y,This page contains migration indicators briefings that are produced quarterly. Underlying data is available at...,This page contains migration indicators briefings that are produced quarterly. Underlying data is available at http://data.london.gov.uk/dataset/migration-indicators,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/em88y,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,PDF,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"migration, internal migration, Flag 4, international migration, NINo registrations, IPS, ONS, DWP, LTIM, NINo, migration indicators",snowflake,Medium,Topics: demographics. Last updated: 2018-04-13.
Projected Demand for School Places,2gydw,The pan-London demand for school places project is an attempt to provide a consistent view of the demand for school places across London. The project was...,The pan-London demand for school places project is an attempt to provide a consistent view of the demand for school places across London. The project was commissioned following an identifed need for a strategic overview of future demand for places in London. The figures in this model in no way replace or supersede those provided by individual boroughs to the DfE. These results should not be compared to local authority roll projections. The 2018 demand projections were published in March 2018 and incoporate 2016-based GLA population projections and data from the DfE's National Pupil Database (January 2017). These projections update the earlier 2015 pan-London demand projections.,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2gydw,UNKNOWN,Annual,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"education, model, school places",snowflake,Medium,"Topics: demographics, education. Last updated: 2018-03-08."
"Land Area and Population Density, Ward and Borough",e1zp8,Land area and population density figures for 2001 to 2050 for wards and boroughs. Ward data begins in 2011. Population figure included are GLA estimate...,"Land area and population density figures for 2001 to 2050 for wards and boroughs. Ward data begins in 2011. Population figure included are GLA estimate (2016-based projections), 2011 Census and ONS Mid-year Estimates. GLA figures are based on GLA population projections . Select which year you require from the drop-down box in the spreadsheet. Inland area takes account of water line. Areas with large bodies of water will have a smaller inland area than total area since some of the area will be water. Land area figures are taken from Ordnance Survey boundaries using MapInfo.",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e1zp8,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,"CSV, SPREADSHEET",UNKNOWN,2001-01 to 2050-12,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"2011-census, density, hectares, land, wards, population",snowflake,Medium,Topics: demographics. Last updated: 2018-03-05.
Mortality Risk from High Temperatures in London (Triple Jeopardy Mapping),20pz9,"A heatwave refers to a prolonged period of unusually hot weather. While there is no standard definition of a heatwave in England, the Met Office generally...","A heatwave refers to a prolonged period of unusually hot weather. While there is no standard definition of a heatwave in England, the Met Office generally uses the World Meteorological Organization definition of a heatwave, which is ""when the daily maximum temperature of more than five consecutive days exceeds the average maximum temperature by 5°C, the normal period being 1961-1990"". They are common in the northern and southern hemisphere during summer, and have historically been associated with health problems and an increase in mortality. The urban heat island (UHI) is the phenomenon where temperatures are relatively higher in cities compared to surrounding rural areas due to, for example, the urban surfaces and anthropogenic heat sources. For an example of an urban heat island map duri",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/20pz9,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,One off,"PDF, ZIP",UNKNOWN,2006-05 to 2006-07,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: demographics, environment, health, housing, income-poverty-welfare, planning, young-people. Last updated: 2017-10-12."
2016 Mid-Year Estimates,v8od3,The 2016-Mid Year Estimates were released by ONS in June 2017. This report provides an overview of the estimates and components of change for London and the...,The 2016-Mid Year Estimates were released by ONS in June 2017. This report provides an overview of the estimates and components of change for London and the London boroughs.,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8od3,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Annual,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, migration, births, deaths",snowflake,Medium,Topics: demographics. Last updated: 2017-06-29.
Migration Flows Data,2lzxm,Safeguarded migration flows data for London Boroughs.,Safeguarded migration flows data for London Boroughs.,Demographics,Census Information Scheme,https://data.london.gov.uk/dataset/2lzxm,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"census, migration, origin, destination, passports, tenure",snowflake,Medium,Topics: demographics. Last updated: 2017-06-06.
Projection Methodology Independent Review,epr4r,In late 2016 the GLA's Demography team commissioned the Centre for Change at the University of Southampton to udertake a comprehensive review of methodology...,In late 2016 the GLA's Demography team commissioned the Centre for Change at the University of Southampton to udertake a comprehensive review of methodology and implementation of the GLA Trend Population Projection Model. This report contains their findings and recommendations.,Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/epr4r,UNKNOWN,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, population, methodology, projections",snowflake,Medium,Topics: demographics. Last updated: 2017-02-09.
