title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Early Years Foundation Stage Profile Assessment Results,2gyk1,The Early Years Foundation Stage Profile (EYFSP) is a teacher assessment of children’s development at the end of the EYFS (the end of the academic year in...,"The Early Years Foundation Stage Profile (EYFSP) is a teacher assessment of children’s development at the end of the EYFS (the end of the academic year in which the child turns five). This dataset contains the results of the EYFSP by gender and location of school/educational institution. Also includes data by region by ethnic group, language, and free school meal (FSM) eligibility. Indicators include: The percentage of children achieving a Good Level of Development (GLD) The percentage of children achieving at least the expected level across all 17 early learning goals The average total point score across all the early learning goals The EYFS profile was significantly revised from 2021/22. It is therefore not possible to directly compare 2021/22 assessment outcomes with earlier years . Add",Education,Department for Education,https://data.london.gov.uk/dataset/2gyk1,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,2012-09 to 2025-07,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,economic-fairness,snowflake,Medium,"Topics: education, young-people. Last updated: 2025-12-18."
London Multiply Programme,2yo6y,"The Multiply Programme, announced by the then Chancellor in 2021, was a three-year adult learning programme with an objective to increase functional...","The Multiply Programme, announced by the then Chancellor in 2021, was a three-year adult learning programme with an objective to increase functional numeracy levels within the adult population across the UK. The city’s wide skills disparity, combined with its population density, resulted in a total Multiply funding allocation for the GLA of £41m for the programme duration of September 2022 to March 2025, the highest for any area in England. The London Multiply programme was delivered by 56 providers, all of whom were already delivering GLA Adult Skills Fund provision. To increase awareness of, and enrolment in, London Multiply provision, £3.5m of the GLA’s Multiply allocation was reserved for activities to support engagement and growth in the learner population. This included £1.4m for com",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2yo6y,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, employment-and-skills. Last updated: 2025-06-30."
Good Work for All programme deep dive,296lq,"In 2021, in the midst of a pandemic, which had profound and often tragic impact on the lives of Londoners, the Greater London Authority (GLA), launched Good...","In 2021, in the midst of a pandemic, which had profound and often tragic impact on the lives of Londoners, the Greater London Authority (GLA), launched Good Work for All (GWfA) programme to prioritise training, education, and employability support that enabled Londoners to gain relevant skills, retrain, and move into good work in sectors key to London’s recovery. The GLA have completed a deep dive of GWfA, which highlights the following: Learner Participation: This programme benefited more than 20,000 Londoners, who studied more than 27,000 learning aims. Increased Job Quality: 53% of enrolments were in priority sectors with long-term economic growth and job creation potential. 49% of learners had a positive economic outcome. Skills Development: The programme has successfully upskilled man",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/296lq,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Skills and Employment, employment",snowflake,Medium,"Topics: education, employment-and-skills. Last updated: 2025-03-07."
"Children Who Became or Were Subject to a Child Protection Plan (CPP), Borough",2l843,Children and young people who became or were subject of a Child Protection Plan (CPP). Where a child was made the subject of a child protection plan more...,"Children and young people who became or were subject of a Child Protection Plan (CPP). Where a child was made the subject of a child protection plan more than once in the year within the same authority, each occasion has been counted. Rates per 10,000 under 18. Includes unborn children. See more on the DfE website . Note: From February 2025, some previously published figures have been adjusted due to revised population estimates. As noted in the source dataset: ""Rates per 10,000 children are calculated based on ONS mid-year population estimates for children aged 0 to 17 years. Revised/new population estimates for 2012 to 2022, based on 2021 Census data, were used to calculate revised rates for 2013 to 2023 in this publication.""",Education,Department for Education,https://data.london.gov.uk/dataset/2l843,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2005-01 to 2024-03,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"social-services, protection, cpp, children",snowflake,Medium,Topics: education. Last updated: 2025-02-24.
Arbor meals data,2yp8w,Data is not routinely collected by the GLA on the take-up of meals offered through the London scheme. This decision was taken because it was felt to be too...,"Data is not routinely collected by the GLA on the take-up of meals offered through the London scheme. This decision was taken because it was felt to be too great an additional burden for schools in the context of a rapid roll out. Instead, GLA have sought to understand levels of take-up through a number of different sources. This has included work with the management information systems (MIS) provider Arbor, insights gathered through discussions with boroughs and where schools have claimed funding over the initial 90% allocations. These sources have shown a range of uptake levels, from around 58% up to 100%. Arbor provides Management Information Systems (MIS) to over 6,000 schools across the country. They kindly offered to provide data from the schools they support in London, so that the G",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2yp8w,UNKNOWN,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, health, young-people. Last updated: 2024-12-05."
Navigating the Transition: A Cost and Skills Analysis for Net Zero Carbon by 2030 in London's Further Education Colleges,23661,"The Mayor of London is committed to reducing emissions and addressing the climate emergency. As part of this, the Mayor is driving forward an ambitious plan...","The Mayor of London is committed to reducing emissions and addressing the climate emergency. As part of this, the Mayor is driving forward an ambitious plan to make the city Net Zero-Carbon by 2030 and expects GLA funded training providers to have a Net Zero-Carbon plan in place by 2024. To help providers meet this expectation, the Mayor launched a Net Zero- Carbon toolkit in November 2023, providing best practice and guidance. Building on this work, the GLA has commissioned a report, led by the Carbon Trust and Alliance for Sustainability Leadership in Education EAUC. This report estimates the potential cost and skills required for FE colleges to achieve Net Zero-Carbon by 2030. Whilst highlighting opportunities for the government to work more closely with the Mayor on this agenda, the re",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/23661,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, employment-and-skills, environment. Last updated: 2024-09-10."
Understanding the Impact of Covid-19 on Remote Learning in the FE sector in London,2gjq0,"Following the outbreak of the Covid-19 pandemic, London's adult education sector saw a shift in its approach to teaching and learning, requiring a swift...","Following the outbreak of the Covid-19 pandemic, London's adult education sector saw a shift in its approach to teaching and learning, requiring a swift pivot to online delivery methods. In response, the Mayor launched a £9m Skills for Londoners Covid-19 Response Fund. This initiative aimed to bolster the capabilities of adult education providers, ensuring not only the continuation of skills development among Londoners but also addressing the challenge of digital exclusion. To gain a better understanding of the post-pandemic landscape, the Greater London Authority (GLA) commissioned Learning and Work Institute (L&W) to carry out mixed-methods research into the experience of learners in adult education and the quality of adult education provision in London. This report provides an understan",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2gjq0,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, employment-and-skills. Last updated: 2024-09-06."
Transferable Skills: Understanding effective delivery through adult skills provision,e166j,Ask Research were commissioned to undertake research on the delivery of transferable skills through GLA adult skills funding in London. This research aims...,"Ask Research were commissioned to undertake research on the delivery of transferable skills through GLA adult skills funding in London. This research aims to improve the GLA's understanding on the delivery and impact of transferable skills on learners' economic and social outcomes. It provides a qualitative deep dive into the need for and impact of transferable skills provision and the challenges, approaches to and success factors in the delivery of transferable skills. This report includes recommendations for the GLA, providers and employers on how to engender a more consistent understanding and delivery of transferable skills and how to support more Londoners to gain these vital skills.",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e166j,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: education, employment-and-skills. Last updated: 2024-09-06."
The Rising Cost of Living and Access to Adult Education in London ,e666z,"In September 2023, Learning and Work was commissioned by the GLA to conduct research into the impact of the rising cost of living on London’s adult...","In September 2023, Learning and Work was commissioned by the GLA to conduct research into the impact of the rising cost of living on London’s adult education landscape. GLA data shows that in 2023, 17% of Londoners were ‘struggling financially’, and another 30% were ‘just about managing’. Increased inflation also impacted the cost of doing business for London’s skills providers and Further Education (FE) workforce. This report and the summary report are based upon a survey, depth interviews and focus groups with learners, providers, and third sector organisations that provide and campaign for people on low incomes. The fieldwork took place between November 2023 and March 2024. The research provides an account of the impact of the rising cost of living on London’s FE sector.",Education,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e666z,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Skills and Employment, skills for londoners, cost of living, costofliving, further education",snowflake,Medium,"Topics: education, employment-and-skills, income-poverty-welfare. Last updated: 2024-09-06."
Participation of Under-Represented Groups in Higher Education,expgl,The UK Performance Indicators (which included non-continuation rates) have been discontinued after the 2020/21 release. These data provide information about...,"The UK Performance Indicators (which included non-continuation rates) have been discontinued after the 2020/21 release. These data provide information about the participation of certain groups that are under-represented in higher education. The data includes the percentage of students from state schools or colleges, specified socio-economic classes and low-participation neighbourhoods and provide a breakdown by Higher Education institution. Included in the table are Young full-time undergraduate entrants and Mature full-time undergraduate entrants. Much more data is available from the HESA website .",Education,Higher Education Statistics Agency,https://data.london.gov.uk/dataset/expgl,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,HTML,UNKNOWN,UNKNOWN,Education Institution,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"education, ethnicity, higher, university, poverty, inequality",snowflake,Medium,Topics: education. Last updated: 2023-11-09.
