title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
"Children in Poverty, Borough and Ward",2kmgj,Numbers and percentages of children in poverty for Borough and London Wards (at 31 August each year). This Children in Low-Income Families Local Measure...,"Numbers and percentages of children in poverty for Borough and London Wards (at 31 August each year). This Children in Low-Income Families Local Measure shows the proportion of children living in families in receipt of out-of-work (means-tested) benefits or in receipt of tax credits where their reported income is less than 60 per cent of UK median income. This measure provides a broad proxy for relative low income child poverty as set out in the Child Poverty Act 2010, and enables analysis at a local level. Statistics are published at various levels of geography providing an annual snapshot as at 31 August from 2006 onwards. The definitive national measure of relative child poverty as set out in the Child Poverty Act 2010, is contained in the DWP Households Below Average Income (HBAI) publ",Demographics,HM Revenue & Customs,https://data.london.gov.uk/dataset/2kmgj,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2006-08 to 2016-08,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"children, deprivation, poverty, local authority, ward, income, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
"Children in Out-of-Work Benefit Households, Ward and Borough",e79on,Children in out-of-work benefit households by age and ward and borough. The numbers and percentages of children living in households where a parent or...,"Children in out-of-work benefit households by age and ward and borough. The numbers and percentages of children living in households where a parent or guardian claimed out-of-work benefits. Children of Working-age DWP Clients. Data represent a snapshot as at 31 May. Data represent the number of children dependent on a parent or guardian who is claiming one or a combination of the following out-of-work benefits: Income Support, Jobseeker's Allowance, Employment and Support Allowance, Incapacity Benefit and Severe Disablement Allowance, and Pension Credit. The postcode of the DWP claimant is used to assign regions to children. Figures are rounded to the nearest ten. Some additional disclosure controls have also been applied. Totals may not sum due to rounding. Output area and constituency da",Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/e79on,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2010-05 to 2017-05,Ward,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"benefits, poverty, work, employment, children, out, child, deprivation, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
"Housing Benefit Claimants, Borough",2og5n,"Housing Benefit Caseload by month (each May since 2009), by age group, employment status and tenure. Housing Benefit claimant statistics are derived from...","Housing Benefit Caseload by month (each May since 2009), by age group, employment status and tenure. Housing Benefit claimant statistics are derived from the Single Housing Benefit Extract (SHBE). SHBE is compiled from monthly returns of housing benefit claimants from each individual local authority. Recording and clerical errors can occur within SHBE - for this reason, no reliance should be placed on very small numbers. Based on the Local Authority that is responsible for administering the claimant's Housing Benefit. Note that caseloads for some LAs could be affected by missing or incomplete data. The count of Housing Benefit claimants relates to claimants receiving a payment of at least 50 pence per week on the second Thursday in the month. Passported benefits are benefits or schemes whi",Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/2og5n,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2009-05 to 2015-05,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"poverty, welfare, benefits, housing, income, borough-economic",snowflake,Medium,"Topics: employment-and-skills, housing. Last updated: 2019-10-17."
Hours Worked,e1zm6,Estimates of the number of hours worked per week by those in employment. Data are broken down by banded durations and gender. Data are taken from the Annual...,"Estimates of the number of hours worked per week by those in employment. Data are broken down by banded durations and gender. Data are taken from the Annual Population Survey, produced by the Office for National Statistics.",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/e1zm6,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, HTML, SPREADSHEET",UNKNOWN,2004-01 to 2013-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"hours-worked, economic-inactivity, employment, employment-status, unemployment, economic-activity, gender, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
"Borough Commuting Patterns, Census 2001",2npwx,"Commuter movements of Londoners by borough and regions outside London, from 2001 Census. Figures vary slightly between tables due to rounding. Place of...","Commuter movements of Londoners by borough and regions outside London, from 2001 Census. Figures vary slightly between tables due to rounding. Place of residence down the left, place of work along the top. Numbers include commuters only, does not include people who work from home. Table includes all people aged 16 to 74 in employment resident in UK. 2001 Census, Special Workplace Statistics Table SWS103 Relevant link: http://www.ons.gov.uk/ons/guide-method/census/2011/index.html",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/2npwx,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, SPREADSHEET",UNKNOWN,2001-01 to 2001-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"origin, destination, census, commuting, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
Worklessness in London 2012,24r5n,This report from the GLA Intelligence Unit looks at the recent release of Worklessness Statistics from the Office for National Statistics and presents the...,"This report from the GLA Intelligence Unit looks at the recent release of Worklessness Statistics from the Office for National Statistics and presents the key messages for London. Key findings London has among the lowest proportions of all-working households of any region in the UK, but also below average proportion of workless households. The proportion of households in London with both working and non-working adults has been rising faster than for most of the UK, while workless households have been decreasing, particularly in Inner London. The number of children in workless households has been falling quite sharply, but London is the only region where the proportion of children in workless households is higher than the overall proportion of households that are workless.",Demographics,Office for National Statistics (ONS),https://data.london.gov.uk/dataset/24r5n,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2014-10 to 2014-10,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"jobs, worklessness, employment, children, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
Work Programme Statistics for London,2n8rm,This package contains data and analysis of the Government's Work Programme and its peformance in London. The Work Programme is the Government's flagship...,This package contains data and analysis of the Government's Work Programme and its peformance in London. The Work Programme is the Government's flagship welfare to work programme which launched across Great Britain in June 2011. The data presented here look at the performance of the Work Programme in London and compare this to other parts of Great Britain.,Demographics,Department for Work and Pensions,https://data.london.gov.uk/dataset/2n8rm,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2014-10 to 2014-10,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"employment, unemployment, work-programme, welfare, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
Focus on London - Labour Market,2r8km,"FOCUS ON LONDON 2011: LABOUR MARKET: BEYOND HEADLINES In 2009, the overall proportion of the London working-age population who were in work was around two...","FOCUS ON LONDON 2011: LABOUR MARKET: BEYOND HEADLINES In 2009, the overall proportion of the London working-age population who were in work was around two percentage points below the UK figure but this does not begin to tell the story of London’s labour market. London is a complex city of extremes with significant differences between various sub-groups of population. It is important to understand which groups are doing well and those doing poorly. This report, authored by Gareth Piggott in the Intelligence Unit, aims to shed light on some of the complexities of London’s labour market, beyond headline findings. It looks at employment rates and pay for different groups within the population and compares London with other regions and the UK average. PRESENTATION: What factors influence a Lond",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r8km,UNKNOWN,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"fol, labour market, employment, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
Focus on London - Poverty,2l855,FOCUS ON LONDON 2011: POVERTY :THE HIDDEN CITY One of the defining features of London is that it is a city of contrasts. Although it is considered one of...,"FOCUS ON LONDON 2011: POVERTY :THE HIDDEN CITY One of the defining features of London is that it is a city of contrasts. Although it is considered one of the richest cities in the world, over a million Londoners are living in relative poverty, even before the additional costs of living in the capital are considered. This edition of Focus on London, authored by Rachel Leeser, presents a detailed analysis of poverty in London that reveals the scale and distribution of poverty in the capital. CHARTS: The motion chart shows the relationship between child poverty and worklessness at borough level, and shows how these two measures have changed since 2006. It reveals a significant reduction in workless households in Hackney (down 12 per cent), and to a lesser extent in Brent (down 7 per cent). Th",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2l855,UNKNOWN,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"fol, poverty, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
Focus on London - Income and Spending,2ojqn,"FOCUS ON LONDON 2010: INCOME AND SPENDING AT HOME Household income in London far exceeds that of any other region in the UK. At £900 per week, London’s...","FOCUS ON LONDON 2010: INCOME AND SPENDING AT HOME Household income in London far exceeds that of any other region in the UK. At £900 per week, London’s gross weekly household income is 15 per cent higher than the next highest region. Despite this, the costs to each household are also higher in the capital. Londoners pay a greater amount of their income in tax and national insurance than the UK average as well as footing a higher bill for housing and everyday necessities. All of which leaves London households less well off than the headline figures suggest. This chapter, authored by Richard Walker in the GLA Intelligence Unit, begins with an analysis of income at both individual and household level, before discussing the distribution and sources of income. This is followed by a look at weal",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2ojqn,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"spending, expenditure, income, fol, borough-economic",snowflake,Medium,Topics: employment-and-skills. Last updated: 2019-10-17.
