title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Clean Air Consultation – July 2016,e6w9p,"On his election in 2016, the Mayor committed to a large scale consultation on a range of actions to address poor air quality in London. Measures under...","On his election in 2016, the Mayor committed to a large scale consultation on a range of actions to address poor air quality in London. Measures under consideration include implementing the Ultra Low Emission Zone (ULEZ) in 2019 rather than 2020, expanding the boundaries of the ULEZ, and introducing an Emissions Surcharge on the most polluting vehicles driving in central London from 2017. In addition the Mayor has committed to cleaning up London bus fleets, using air quality alerts, and exploring options for a diesel scrappage scheme. This report and associated data sets out the results from the Stage 1 consultation, which will inform Transport for London’s further consultation in the Autumn. Technical Details Talk London Clean Air Survey – approximately 15,000 responses. Fieldwork from 5-",Environment,GLA Opinion Research,https://data.london.gov.uk/dataset/e6w9p,UNKNOWN,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,air-quality,snowflake,Medium,"Topics: environment, transparency. Last updated: 2016-09-23."
LLAQM bespoke borough by borough 2013 air quality modelling and data,e6wn9,"The new bespoke borough packages provide a set of maps, data and graphs in order to facilitate the usability of LAEI 2013 data. Modelling and emission data...","The new bespoke borough packages provide a set of maps, data and graphs in order to facilitate the usability of LAEI 2013 data. Modelling and emission data from the LAEI 2013 has been used for NO x , NO 2 , PM 10 and PM 2.5 . All boroughs can download the following files: Excel Tools LLAQM Source Apportionment, providing emissions split by source at a chosen location (1km 2 resolution) - 14/04/16 Update: Please note that the Source Apportionment tool has been updated (v1.1 - providing a breakdown of emissions at Borough level as well). Borough table showing population and percentage of population within areas where NO 2 concentrations are greater than 40µg/m 3 Greater London Concentration Maps (PDF and JPEG) - Greater London maps showing NO 2 , NO x , and PMs concentrations for 2013, 2020,",Environment,GLA and TFL Air Quality,https://data.london.gov.uk/dataset/e6wn9,UNKNOWN,Unknown,ZIP,UNKNOWN,2012-01 to 2012-12,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"emissions, PM10d, PM25, NOx, PM10, NO2",snowflake,Medium,Topics: environment. Last updated: 2016-08-03.
London Atmospheric Emissions Inventory (LAEI) 2010,e6410,The LAEI 2010 has since been superseded. Click here for the full list of releases. Estimates of eight key and six subisdary pollutants are included for the...,"The LAEI 2010 has since been superseded. Click here for the full list of releases. Estimates of eight key and six subisdary pollutants are included for the base year 2010 and projected forward to 2012, 2015, and 2020. The LAEI area covers the 32 London Boroughs and the City of London and up to the M25 motorway. Due to the size of the LAEI database this dataset has been zipped and needs to be downloaded in five parts. Due to the size of this database we recommend working on a local drive rather than over a network.",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e6410,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,ZIP,UNKNOWN,2008-01 to 2020-12,1km Grid Squares,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"nitrogen-dioxide, laei, particulate-matter, air-pollution",snowflake,Medium,Topics: environment. Last updated: 2016-03-18.
Air quality summary statistics,2w184,Data for London air quality monitoring sites showing whether annual monitoring objectives were met for different species of pollutant. Data for 2016...,"Data for London air quality monitoring sites showing whether annual monitoring objectives were met for different species of pollutant. Data for 2016 includes the first two months of the year only so this is an indicative outlook. This data was accessed using the London Air API . For some species, all monitoring sites taking measurements have met the monitoring objectives over the last decade. Note that the total number of sites measuring a given species changes from year to year. Here all sites are grouped together regardless of their type (e.g. roadside, suburban, industrial) or geographic location. For other species, 60-100% of the monitoring sites taking measurements have met annual objectives over the last decade. All reportable sites are now compliant with the PM10 objective. The perc",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2w184,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,CSV,UNKNOWN,1993-01 to 2016-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: environment. Last updated: 2016-03-16.
"Road Transport Energy Consumption, Borough",v8pmm,"Estimates of road transport consumption statistics for fuels used in road transport. (1) Personal travel includes buses, diesel cars, petrol cars and...","Estimates of road transport consumption statistics for fuels used in road transport. (1) Personal travel includes buses, diesel cars, petrol cars and motorcycles. (2) Freight includes HGV, diesel LGV and petrol LGV. The UK total excludes motorcycles in Northern Ireland. There were major revisions to this data due to improvements in methodology, for more details please see the General Guidance Note . 2002-04 are experimental statistics. Later years are National Statistics. Therefore data created using differing methodologies should not be directly compared. Data for Middle Super Output Areas (MSOA) available. See more on Sub-national road transport data or Road transport energy consumption at regional and local authority level .",Environment,"Department for Business, Energy & Industrial Strategy (BEIS)",https://data.london.gov.uk/dataset/v8pmm,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2002-01 to 2013-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"transport, freight, bus, consumption, resources, motorcycle, cars, road",snowflake,Medium,"Topics: environment, transport. Last updated: 2016-01-25."
Understanding Health Impacts of Air Pollution in London,2lzn5,"Borough Tables from Understanding the Health Impacts of Air Pollution in London report. King’s College London, commissioned by the Greater London Authority...","Borough Tables from Understanding the Health Impacts of Air Pollution in London report. King’s College London, commissioned by the Greater London Authority and Transport for London, have calculated the health impacts associated with the air pollutant nitrogen dioxide (NO 2 ) in London. This new study shows that in 2010 there was the equivalent of up to 5,900 deaths across London associated with NO 2 long term exposure. (Please note: these figures are also broken down on a borough-by-borough basis in the report.) At the same time the deaths associated with long-term exposure to PM 2.5 were recalculated. The equivalent number of PM 2.5 deaths has decreased from 4,300 (in 2008 based on 2006 concentrations) to 3,500 (in 2010). The PM 2.5 and NO 2 figures can be combined to create a total figur",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2lzn5,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"PDF, SPREADSHEET",UNKNOWN,2008-01 to 2012-12,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"air-quality, deaths, mortality, air-pollution",snowflake,Medium,Topics: environment. Last updated: 2015-09-29.
"Land Use - Previously Developed Land, Borough",e1zl8,"An estimate of the amount of previously-developed (or brownfield) land in England which may be available for re-development, and also an estimate of the...","An estimate of the amount of previously-developed (or brownfield) land in England which may be available for re-development, and also an estimate of the potential number of dwellings that could be provided on this land. Available to Lower Super Outpur Area (LSOA). Download from DCLG website",Environment,"Ministry of Housing, Communities & Local Government (MHCLG)",https://data.london.gov.uk/dataset/e1zl8,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2004-01 to 2010-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"house-building, land-use, development, planning",snowflake,Medium,"Topics: environment, planning. Last updated: 2015-09-24."
'Climate Just' data,2w1d4,The ' Climate Just' Map Tool shows the geography of England’s vulnerability to climate change at a neighbourhood scale. The Climate Just Map Tool shows...,"The ' Climate Just' Map Tool shows the geography of England’s vulnerability to climate change at a neighbourhood scale. The Climate Just Map Tool shows which places may be most disadvantaged through climate impacts. It aims to raise awareness about how social vulnerability combined with exposure to hazards, like flooding and heat, may lead to uneven impacts in different neighbourhoods, causing climate disadvantage. Climate Just Map Tool includes maps on: Flooding (river/coastal and surface water) Heat Fuel poverty. The flood and heat analysis for England is based on an assessment of social vulnerability in 2011 carried out by the University of Manchester. This has been combined with national datasets on exposure to flooding, using Environment Agency data, and exposure to heat, using UKCP09",Environment,Environment Agency,https://data.london.gov.uk/dataset/2w1d4,UNKNOWN,Unknown,"HTML, SPREADSHEET",UNKNOWN,UNKNOWN,Middle Super Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"poverty, climate, disadvantage, flooding, vulnerable",snowflake,Medium,Topics: environment. Last updated: 2015-08-27.
Climate Change Mitigation and Energy Annual Report data 2013-14,2nl98,"The Climate Change Mitigation and Energy Annual Report 2013-14 data provides levels of CO2 emissions reductions achieved through direct Mayoral programmes,...","The Climate Change Mitigation and Energy Annual Report 2013-14 data provides levels of CO2 emissions reductions achieved through direct Mayoral programmes, including RE:NEW, RE:FIT, new development and decentralised energy programmes. It is produced by the Greater London Authority, and it is intended that data is produced annually.",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2nl98,UNKNOWN,Annual,SPREADSHEET,UNKNOWN,2009-04 to 2014-03,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"co2, carbon dioxide, climate change",snowflake,Medium,Topics: environment. Last updated: 2015-08-25.
Energy Certificates for Public Buildings,2yjxy,"Display Energy Certificate (DEC) Register dataset for all UK public buildings. Energy use, floorspace, emissions and efficiency ratings for 40,000 buildings...","Display Energy Certificate (DEC) Register dataset for all UK public buildings. Energy use, floorspace, emissions and efficiency ratings for 40,000 buildings of over 1,000m2 in England and Wales that are visited by the public. DECs for individual buildings can be downloaded from www.ndepcregister.com using the Certificate Reference Number (variable RRN in the datasets). Errors in the data collection or data entry can result in a building being given the wrong energy rating value - for example, buildings for which there is no kWh or CO2 data but which nonetheless have an A rating. This data was downloaded obtained from CSE and they cannot accept responsibility for errors in this data which originated from DCLG.",Environment,"Ministry of Housing, Communities & Local Government (MHCLG)",https://data.london.gov.uk/dataset/2yjxy,UNKNOWN,Unknown,"SPREADSHEET, ZIP",UNKNOWN,2008-01 to 2010-12,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"heating, emissions, energy use, carbon dioxide, efficiency ratings, floorspace, electricity, co2, insulation, non-domestic",snowflake,Medium,Topics: environment. Last updated: 2015-01-16.
Postcodes not on the gas network,2n8o3,This spreadsheet contains a list of postcodes where Xoserve holds no record of a gas connection by either large or small gas transporters. This data was...,"This spreadsheet contains a list of postcodes where Xoserve holds no record of a gas connection by either large or small gas transporters. This data was produced using Xoserve's list of off-gas postcodes, which is available at http://www.xoserve.com/wp-content/uploads/Off-Gas-Postcodes.xlsx Xoserve's data shows all postcodes which do NOT have any gas connection, domestic or non-domestic. The data is dated March 2013 and was published in November 2013. Note this file contains London postcodes only. For the rest of Great Britain data visit the CSE website. http://www.cse.org.uk/resources/open-data/off-gas-postcodes A list of other administrative areas that the postcode relates to is included in the file.",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2n8o3,UNKNOWN,Unknown,SPREADSHEET,UNKNOWN,2013-03 to 2013-03,Unit Postcode,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"gas, poverty",snowflake,Medium,"Topics: environment, housing. Last updated: 2015-01-16."
Areas that qualify for Carbon Saving Community Obligation (CSCo) support,20o91,List of areas (LSOAs) that qualify for Carbon Saving Community Obligation (CSCo) support under the ECO element of the Green Deal. The Energy Company...,"List of areas (LSOAs) that qualify for Carbon Saving Community Obligation (CSCo) support under the ECO element of the Green Deal. The Energy Company Obligation (ECO) is designed to complement the domestic Green Deal in a number of areas. The areas of low income that will be eligible for ECO support have been selected using the Indices of Multiple Deprivation (IMD) in England, Scotland and Wales. In England, Scotland and Wales the lowest 15% of areas ranked in the IMD will qualify for inclusion within the CSCo element of ECO. From the DECC report Energy Company Obligation, Carbon Saving Community Obligation: Rural and Low Income Areas.",Environment,"Department for Business, Energy & Industrial Strategy (BEIS)",https://data.london.gov.uk/dataset/20o91,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,2010-01 to 2010-12,Output Area,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"emissions, carbon, insulation, poverty, housing",snowflake,Medium,Topics: environment. Last updated: 2015-01-16.
