title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
"Breast Cancer Screening, Borough",e648w,Proportion of women (age 53-70) offered screening for breast cancer by borough. Women between the ages of 50 and 70 are invited for regular breast screening...,Proportion of women (age 53-70) offered screening for breast cancer by borough. Women between the ages of 50 and 70 are invited for regular breast screening (every three years) under a national programme. This is intended to detect breast cancer at an early stage. Click here to find out how to access historical data from The Health Needs Assessment toolkit as well as how to access more recent data.,Health,Department of Health,https://data.london.gov.uk/dataset/e648w,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2007-01 to 2025-03,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,breast-cancer-screening,snowflake,Medium,Topics: health. Last updated: 2026-02-24.
Public Health Spending by London Boroughs,epqxr,Responsibility for public health was devolved to local authorities in 2013/14. They are now responsible for improving the health of their local population...,"Responsibility for public health was devolved to local authorities in 2013/14. They are now responsible for improving the health of their local population and reducing health inequalities. The reports featured on this page are rapid analyses conducted by City Intelligence at the GLA, examining the public health grants that are allocated to London local authorities each year. Reports are available for the grants allocated for 2020 to 2021, 2022 to 2023, 2024 to 2025 and 2025 to 2026.",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/epqxr,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: health. Last updated: 2025-07-03.
Integrated Care Systems London Housing Profile,236w1,"The Integrated Care Systems Housing Profile (ICS Housing Profile) is a resource that aims to support people working in ICSs and ICBs to understand, and work...","The Integrated Care Systems Housing Profile (ICS Housing Profile) is a resource that aims to support people working in ICSs and ICBs to understand, and work jointly with partners to mitigate and tackle the key housing-related issues that drive poor health in London. The ICS Housing Profile presents key housing data for London at sub-regional ICS geography and borough level. The data is presented across the three narrative themes of housing quality, security, and affordability. Whilst those working in ICSs and ICBs will be aware of the broad impacts of housing on health, we hope this resource will help colleagues to better understand the specific housing issues that are driving health inequalities and healthcare usage, in the area they’re working in. ​ For those looking to delve deeper into",Health,GLA Health Team,https://data.london.gov.uk/dataset/236w1,UNKNOWN,One off,"PDF, SLIDESHOW, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: health, housing. Last updated: 2025-03-26."
Housing and Health,24638,Description This data companion pack is a resource intended to frame and be read alongside the linked Evidence Review: Housing and Health Inequalities in...,"Description This data companion pack is a resource intended to frame and be read alongside the linked Evidence Review: Housing and Health Inequalities in London (available on the Institute of Health Equity website) . The resource provides intelligence and context on the housing and health inequalities in London only, while the accompanying rapid review of evidence for interventions contains the recommendations for action. ​ This pack is intended to provide a high-level overview of the best available data on housing in London and the key housing-related health inequalities issues faced by Londoners, in correlation with the IHE Evidence Review: Housing and Health Inequalities in London.​ This pack identifies how certain groups in the population are at greatest risk of housing-related health ",Health,GLA Health Team,https://data.london.gov.uk/dataset/24638,UNKNOWN,One off,"PDF, SLIDESHOW",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Housing, health, inequalities, Homelessness, overheating, overcrowding, private rented sector, social housing, population, housing",snowflake,Medium,"Topics: health, housing. Last updated: 2025-01-29."
Snapshot of Health Inequalities in London,2n1qm,"While London tends to have better health outcomes than the rest of the UK, stark ethnic and socioeconomic inequalities remain. The Snapshot of Health...","While London tends to have better health outcomes than the rest of the UK, stark ethnic and socioeconomic inequalities remain. The Snapshot of Health Inequalities in London provides a high-level overview of major inequalities issues affecting Londoners with thematic packs on climate, children and young people, and the cost of living. This is a resource intended to inform health and non-health specialists. It will inform action on health inequalities across all strategies, policies and programmes, supporting a health in all policies approach. Webinar ‘Exploring the London Snapshot of Health Inequalities’ webinar presents the key findings followed by a panel discussion, covering five priority areas: Child health equity Cardiovascular health Mental health Poverty and economy Climate and envir",Health,GLA Health Team,https://data.london.gov.uk/dataset/2n1qm,UNKNOWN,One off,"PDF, SLIDESHOW",UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"inequalities, health, inequality, healthcare",snowflake,Medium,Topics: health. Last updated: 2024-12-05.
"Immunisation Rates for Children at 1st, 2nd and 5th Birthdays",2k8l8,"Centre for Infections (CfI) for information on childhood immunisation uptake at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly...","Centre for Infections (CfI) for information on childhood immunisation uptake at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly (COVER). Long-term trends for MMR immunisations in London and England are available, back to 1988/89. It is not possible to easily display the long term trends for all regions since the definitions and boundaries of the other English regions has changed a number of times during this period - though data for London has always remained available. Related links",Health,Department of Health,https://data.london.gov.uk/dataset/2k8l8,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2004-04 to 2024-03,Primary Care Organisations,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"health, immunised, menc, diptheria, pneumococcal-disease, disease, hib, 1st, young-people, children, polio, immunisations, tetanus, pertussis, nhs",snowflake,Medium,"Topics: health, young-people. Last updated: 2024-10-14."
Legal Abortion Rates,2r8o4,The annual Abortion Statistics for England and Wales: 2022 has been provisionally delayed from 22 June 2023 until May 2024. This is due to a backlog in the...,"The annual Abortion Statistics for England and Wales: 2022 has been provisionally delayed from 22 June 2023 until May 2024. This is due to a backlog in the HSA4 form processing, which the publication is based on. Legal abortions: rates by Primary Care Organisation by age. Rates per 1,000 in age group. Age not stated have been distributed pro-rata across age group 20-24. Rates for under 16 are based on populations 13-15. Rates for all ages, under 18 and 35 and over are based on populations 15-44, 15-17 and 35-44 respectively. External links: https://www.gov.uk/government/collections/abortion-statistics-for-england-and-wales",Health,Department of Health,https://data.london.gov.uk/dataset/2r8o4,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,2003-01 to 2022-12,Primary Care Organisations,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"abortion, health",snowflake,Medium,Topics: health. Last updated: 2024-05-29.
Monitoring the impact of universal free school meals,e1686,GLA's Opinion Research team carried out qualitative research with parents to understand the impact of implementing universal free school meals to children...,GLA's Opinion Research team carried out qualitative research with parents to understand the impact of implementing universal free school meals to children in years 3 to 6 in London's state schools.,Health,GLA Opinion Research,https://data.london.gov.uk/dataset/e1686,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: health, young-people. Last updated: 2024-01-11."
Impacts of rising cost of living on London ,emx6l,Description and Purpose This data companion pack is a resource intended to frame and be read alongside the linked rapid review of evidence for interventions...,"Description and Purpose This data companion pack is a resource intended to frame and be read alongside the linked rapid review of evidence for interventions to address the cost of living crisis (available on the Institute of Health Equity website) . The resource provides intelligence and context on the cost of living crisis in London only, while the accompanying rapid review of evidence for interventions to mitigate the impacts of the rising cost of living on London, contains the recommendations for action. ​ This pack is intended to provide a high-level overview of the impacts of the costs of living crisis on London and the need Londoners have for support to deal with the cost of living crisis through intelligence available in the public domain. This pack identifies how certain groups in ",Health,GLA Health Team,https://data.london.gov.uk/dataset/emx6l,UNKNOWN,One off,"PDF, SLIDESHOW",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: health, housing, income-poverty-welfare. Last updated: 2023-01-23."
Food security in London: Headline findings from The Survey of Londoners 2018-19,23nj1,"The Mayor of London committed to measuring food security in London in his Food Strategy. The Survey of Londoners collected this data, which will be used to...","The Mayor of London committed to measuring food security in London in his Food Strategy. The Survey of Londoners collected this data, which will be used to support the development of long-term solutions to the causes and impacts of food insecurity. Being food insecure means that at times a person’s food intake is reduced and their eating patterns are disrupted because of a lack of money and other resources for obtaining food.",Health,Greater London Authority (GLA),https://data.london.gov.uk/dataset/23nj1,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,GLA Constituency,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: health, income-poverty-welfare, young-people. Last updated: 2022-11-11."
