title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
LLDC Expenditure over £250,e6wqp,The LLDC publishes all items of expenditure over £250....,The LLDC publishes all items of expenditure over £250. https://www.queenelizabetholympicpark.co.uk/our-story/how-we-work/good-governance/accounts/monthly-expenditure,Other,London Legacy Development Corporation,https://data.london.gov.uk/dataset/e6wqp,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2022-01-11.
Young Londoners Fund Projects,2r4mw,"Information on projects funded by the Mayor of London's Young Londoners Fund . This spreadsheet details the value of grants, types of activities delivered,...","Information on projects funded by the Mayor of London's Young Londoners Fund . This spreadsheet details the value of grants, types of activities delivered, the age range of people to be supported and the Boroughs in which the projects are delivered. The Mayor's Young Londoners Fund will help children and young people to fulfil their potential, particularly those at risk of getting caught up in crime. It will support a range of education, sport, cultural and other activities for children and young people.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r4mw,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: transparency, young-people. Last updated: 2021-07-13."
GLA Poll Results 2019,exyyr,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here....","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here. January 2019 – YouGov poll results Link to PDF of topline (PDF) Link to excel tables (XLS) January 2019 – Survation poll results Link to excel tables (XLS) February 2019 – YouGov poll #1 results Link to PDF of topline (PDF) Link to excel tables (XLS) February 2019 – YouGov poll #2 results Link to PDF of topline (PDF) Link to excel tables (XLS) February 2019 – Survation poll results Link to excel tables (XLS) March 2019 – Ultra-Low Emission Zone awareness YouGov poll results Link to PDF of topline (PDF) Link to excel tables (XLS) April 2019 – YouGov poll results Link to PDF of topline (PDF) Link to excel tables (XLS) May 2019 – YouGov poll r",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/exyyr,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2020-03-09.
GLA Poll Results 2018,2nlgn,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2nlgn,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2020-01-23.
GLA Poll Results 2017,2ogm5,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here....","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here. December 2017 – YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) November 2017 - YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) October 2017 - YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) October 2017 – Communal heating consumer face-to-face survey Link to PDF of topline (PDF) Link to crosstabs tables (XLS) Link to final report (PDF) September 2017 – YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) August 2017 – YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) Ju",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2ogm5,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2019-09-24.
GLA Poll Results 2012,2r85m,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2r85m,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2019-09-24.
GLA Poll Results 2013,2o815,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here.",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2o815,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2019-09-24.
GLA Poll Results 2015,ep87z,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here....","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here. September 2015 - economy, sugar, awareness of London government and work of Mayor Link to PDF of toplines (PDF) Link to crosstabs tables (XLS) July 2015 - Energy, renting, online shopping and airports Link to PDF of toplines (PDF) Link to Excel tables (XLS) March 2015 - Growth, recycling and reuse Link to PDF of toplines (PDF) Link to PDF of tables January 2015 – Economy, cost of living, living wage, affordable eating, cooking fats, physical activity major events Link to PDF of toplines (PDF) Link to Excel tables (XLS)",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/ep87z,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2019-09-24.
GLA Poll Results 2016,2lzk5,"The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here....","The GLA undertakes regular polling of Londoners' views. The results from these polls appear on this page, if interested in other years data click here. December 2016 – YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) December 2016 – Transport Link to PDF of topline (PDF) November 2016 – YouGov/GLA poll results Link to PDF of topline (PDF) Link to crosstabs tables (XLS) October 2016 – Public spending and taxation Link to PDF of topline (PDF) Link to analysis of results (PDF) August 2016 – Promoting London Abroad Link to PDF of topline (PDF) August 2016 – Pubs and Clubs Link to PDF of topline (PDF) July 2016 – Devolution Link to PDF of topline (PDF) March 2016 – congestion, night-tube, noise, volunteering and growth Link to PDF of toplines (PDF) Link to cro",Other,GLA Opinion Research,https://data.london.gov.uk/dataset/2lzk5,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2019-09-23.
New London Plan Examination in Public (EiP) 2019,e55m0,"The draft London Plan must be considered by a formal Examination in Public, or EiP. This is led by independent inspectors appointed by the Secretary of...","The draft London Plan must be considered by a formal Examination in Public, or EiP. This is led by independent inspectors appointed by the Secretary of State. The EiP opened on Tuesday 15 January 2019. Audio recordings of sessions held can be found here.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e55m0,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: transparency. Last updated: 2019-06-05.
