title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Flights and Passengers from London Airports,2l80m,UK Airport Statistics are available each month from the Civil Aviation Authority....,"UK Airport Statistics are available each month from the Civil Aviation Authority. http://www.caa.co.uk/Data-and-analysis/UK-aviation-market/Airports/Datasets/UK-airport-data/ Table shows number of passengers handled by each London airport, and the country of destination of each passenger arriving into or departing from London's airports in the whole of 2011.",Transportation,Civil Aviation Authority,https://data.london.gov.uk/dataset/2l80m,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,1990-01 to 2014-12,Airports,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"passengers, flights, planes, visitors, airports",snowflake,Medium,Topics: transport. Last updated: 2015-12-18.
"Pedal Cyclist Casualties, Killed and Seriously Injured",2yjnq,"Pedal Cyclist Casualties in London, Killed and Seriously Injured, 1989-2014. Data shows cyclists who were killed, serious injured and slight injured. Data...","Pedal Cyclist Casualties in London, Killed and Seriously Injured, 1989-2014. Data shows cyclists who were killed, serious injured and slight injured. Data presented is for personal injury road traffic collisions occurring on the public highway, and reported to the police, in accordance with the Stats 19 national reporting system. Click here to visit the Transport for London Road Safety pages",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2yjnq,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,SPREADSHEET,UNKNOWN,1989-01 to 2014-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"deaths, casualty, croydon, accidents, injury, casualties, seriously-injured, ksi, road, bicycle, injuries, cycle, cycling, bike, bikes",snowflake,Medium,Topics: transport. Last updated: 2015-06-04.
TfL Bus Stop Locations and Routes,e68zn,"TfL's operates one of the largest bus networks in the world consisting of over 19,000 bus stops and approximately 700 routes served by some 8000 buses...","TfL's operates one of the largest bus networks in the world consisting of over 19,000 bus stops and approximately 700 routes served by some 8000 buses daily. This datafile defines the network in terms of routes and stops and stop-sequences allowing third parties to accurately locate bus stops and to plot bus routes and services. Find out more about the feeds available from Transport for London. The live data is only available following registration with TFL. See TFL feeds page for more information.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/e68zn,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, HTML",UNKNOWN,2010-01 to 2010-12,Point Location,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"travel, bus-stop, bus-routes, transport, bus",snowflake,Medium,Topics: transport. Last updated: 2015-04-26.
Annual percentage change in passengers,e5m6w,Annual percentage change in passengers travelling on London underground and buses.,Annual percentage change in passengers travelling on London underground and buses.,Transportation,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e5m6w,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"CSV, SPREADSHEET",UNKNOWN,1993-01 to 2014-10,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,bus-underground-transport-passengers,snowflake,Medium,Topics: transport. Last updated: 2014-09-25.
TFL Complaints Reports,e64xp,"Publication of first Complaints Report demonstrates increasing transparency , a key Mayoral commitment. The report sets out main areas of customer...","Publication of first Complaints Report demonstrates increasing transparency , a key Mayoral commitment. The report sets out main areas of customer complaints and steps being taken to address them. The first TfL Complaints Report for 2011/12 was published as part of the Commissioner's report to the TfL board held on 20 September. Complaints rates are stated per 100,000 journeys. Data is broken down by Santander Cycle Hire, Congestion Charge, Dial-a-Ride, Docklands Light Railway, London Buses, London Overground, London Underground, Oyster, River Services, and Tramlink. Future quarterly reports will be published as part of TfL's Operational and Financial Performance Report. More information about this data can be found in this TFL press release .",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/e64xp,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Quarterly,"HTML, PDF",UNKNOWN,2014-10 to 2014-10,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"buses, transport, complaints, underground, feedback",snowflake,Medium,Topics: transport. Last updated: 2014-07-07.
"Travel Patterns and Trends, London",29jdj,This spreadsheet summarises of the key travel patterns and trends relating to the TFL network and Airports around London. List of tables included in the...,"This spreadsheet summarises of the key travel patterns and trends relating to the TFL network and Airports around London. List of tables included in the spreadsheet: Aggregate travel volumes in Greater London. Estimated daily average number of journey stages, 1993-2009 Modal shares of daily journey stages in London, 2009 Annual passenger kilometres travelled by public transport (millions), London, 2008/09 - 2010/11 Annual journey stages by public transport (millions), 1991/92 - 2010/11 Index of London road traffic, major and minor roads, all motor vehicles, 2000-2009 Trends in road casualties, by personal injury severity, London and GB, 1991-2010 London road casualties by mode of travel, 2010 Trends in cycle flows on the TLRN, annualised indices, 2000/01 - 2010/11 People entering central L",Transportation,Greater London Authority (GLA),https://data.london.gov.uk/dataset/29jdj,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,"HTML, PDF, SPREADSHEET",UNKNOWN,2014-10 to 2014-10,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"commuting, travel, transport",snowflake,Medium,Topics: transport. Last updated: 2014-07-04.
Tube Network Upgrade Data from Transport Committee Report,2r8ko,"Data on the Tube upgrade programme between 2003/04 and 2010/11, requested by the London Assembly to inform London Assembly's Transport Committee report,...","Data on the Tube upgrade programme between 2003/04 and 2010/11, requested by the London Assembly to inform London Assembly's Transport Committee report, State of the Underground , September 2011. Data on the Tube upgrade programme for the network and by line including: progress with the upgrade programme for the period 2003/04 to 2010/11 (e.g amount of track and station refurbishment per year); future milestones for the upgrade programme; and improvements to line capacity and capability due to be delivered The data used in the report is available in Excel format and we will work to make this available in an open format in due course. Tube performance data from the report is also available on the Datastore",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2r8ko,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2003-01 to 2011-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"ppp, transport, upgrades, underground, tube",snowflake,Medium,Topics: transport. Last updated: 2014-07-04.
Tube Network Performance Data from Transport Committee Report,2g1xw,"Data on the performance of the Tube between 2003/04 and 2010/11, used to inform London Assembly's Transport Committee report, State of the Underground ,...","Data on the performance of the Tube between 2003/04 and 2010/11, used to inform London Assembly's Transport Committee report, State of the Underground , September 2011. Data includes: delays (lost customer hours); customer satisfaction; service operated; and journey times. The data used in the report is available in Excel format and we will work to make this available in an open format in due course. Tube upgrade data from the report is also available on the Datastore",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2g1xw,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,SPREADSHEET,UNKNOWN,2003-01 to 2011-12,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"perfomance, tube, transport, underground",snowflake,Medium,Topics: transport. Last updated: 2014-07-04.
London Underground Signals Passed at Danger,2wzwz,"The number of signals passed at danger by London Underground or on London Underground's infrastructure. The number of signals passed at danger are reported,...","The number of signals passed at danger by London Underground or on London Underground's infrastructure. The number of signals passed at danger are reported, with details of the line, location, date of occurrence, the delay (minutes) incurred to the service and a brief description of the incident. The TfL Group Health Safety Report is available in the TfL Publications and Reports webpage. This includes a report on signals passed at danger on London Underground.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2wzwz,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,CSV,UNKNOWN,2010-01 to 2012-12,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"transport, underground, spad, travel, lu, signals",snowflake,Medium,Topics: transport. Last updated: 2014-07-04.
Accessibility of London Underground Stations,e68jn,"Detail relating to the physical accessibility of London Underground stations. This dataset provides walking distances, number of stairs, location of...","Detail relating to the physical accessibility of London Underground stations. This dataset provides walking distances, number of stairs, location of amenities and a whole host of other data relating to the physical design of London Underground stations. This dataset consists of 18 separate tables relating to various accessibility issues. This data will be made available shortly in an open format, but requires further processing. Excel versions are available via the links below. We will also be making the various links to photographs within some of the spreadsheets available as a related table.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/e68jn,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,"CSV, SPREADSHEET",UNKNOWN,2009-01 to 2009-12,Point Location,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"transport, accessibility, stations",snowflake,Medium,Topics: transport. Last updated: 2014-07-04.
"Length of the Road Network, Borough and Region",20oy6,"Road lengths in miles, by road class for each local authority and region of Great Britain since 2005. Includes, Motorways, Trunk roads, Principal roads, and...","Road lengths in miles, by road class for each local authority and region of Great Britain since 2005. Includes, Motorways, Trunk roads, Principal roads, and Minor roads - both Rural and Urban. Using the National Roads Database from the Department for Transport (DFT). https://www.gov.uk/government/statistical-data-sets/rdl01-road-lengths-miles",Transportation,Department for Transport,https://data.london.gov.uk/dataset/20oy6,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Annual,HTML,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"transport, roads",snowflake,Medium,Topics: transport. Last updated: 2014-05-21.
TfL Live Traffic Disruptions,248xn,"The London Streets Traffic Control Centre records and monitors accidents, incidents, road works and public events, which are likely to the impact the normal...","The London Streets Traffic Control Centre records and monitors accidents, incidents, road works and public events, which are likely to the impact the normal flow of traffic on London's busiest roads. The Live Traffic Disruptions XML feed contains information about the location, nature, impact and timing of a range of disruptions being monitored by TfL's 24/7 traffic control centre. The feed comes direct from the control centre's information database and is updated every five minutes. The feed contains a date and time stamp which should be used to check that the information is up-to-date and be displayed when publishing the information. Some ideas... Each disruption event contains location coordinates, so any website offering travel information for customers could display the data, filtered",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/248xn,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"travel, feeds, disruption, transport, traffic",snowflake,Medium,Topics: transport. Last updated: 2014-04-15.
TfL Live Roadside Message Signs,2983o,"TfL has a network of over 130 roadside message signs, which provide drivers with information about local traffic disruptions. The signs are set by TfL's...","TfL has a network of over 130 roadside message signs, which provide drivers with information about local traffic disruptions. The signs are set by TfL's London Streets Traffic Control Centre. The Live Roadside Message Signs XML feed comes direct from TfL's traffic control centre system and contains the location and live message on every sign currently displaying information in London. The feed contains a date and time stamp which should be used to check that the information is up-to-date and be displayed when publishing the information. Some ideas... The information could be combined with TfL's Traffic Camera and Live Traffic Disruptions data feeds to provide a complete picture of traffic along a route or in an area",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2983o,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"messages, travel, transport, feeds, traffic",snowflake,Medium,Topics: transport. Last updated: 2014-04-15.
TfL Timetable Listings,2ry6o,"Multimodal working timetable data from the TfL Journey Planner, including Tube, Bus and DLR. Please note that this data is updated weekly (every Thursday...","Multimodal working timetable data from the TfL Journey Planner, including Tube, Bus and DLR. Please note that this data is updated weekly (every Thursday morning) by Transport for London. You should check the TfL Developer portal for details of the latest data updates.",Transportation,Transport for London (TfL),https://data.london.gov.uk/dataset/2ry6o,UK Open Government Licence (OGL v2) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Weekly,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"riverboat, tube, timetable, bus, transport, dlr, travel",snowflake,Medium,Topics: transport. Last updated: 2014-04-15.
